Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,1,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,1,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,1,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,0,30,4
2014,31,0,31,4
2014,32,2,32,6
2014,33,0,33,6
2014,34,1,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,1,40,8
2014,41,0,41,8
2014,42,0,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,0,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,0,57,8
2015,5,0,58,8
2015,6,0,59,8
2015,7,0,60,8
2015,8,0,61,8
2015,9,0,62,8
2015,10,1,63,9
2015,11,1,64,10
2015,12,0,65,10
2015,13,0,66,10
2015,14,1,67,11
2015,15,0,68,11
2015,16,0,69,11
2015,17,0,70,11
2015,18,1,71,12
2015,19,0,72,12
2015,20,0,73,12
2015,21,0,74,12
2015,22,1,75,13
2015,23,0,76,13
2015,24,0,77,13
2015,25,0,78,13
2015,26,0,79,13
2015,27,0,80,13
2015,28,2,81,15
2015,29,0,82,15
2015,30,0,83,15
2015,31,1,84,16
2015,32,0,85,16
2015,33,0,86,16
2015,34,1,87,17
2015,35,0,88,17
2015,36,0,89,17
2015,37,0,90,17
2015,38,0,91,17
2015,39,0,92,17
2015,40,0,93,17
2015,41,1,94,18
2015,42,0,95,18
2015,43,0,96,18
2015,44,1,97,19
2015,45,0,98,19
2015,46,1,99,20
2015,47,0,100,20
2015,48,0,101,20
2015,49,0,102,20
2015,50,0,103,20
2015,51,0,104,20
2015,52,0,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,0,110,20
2016,6,0,111,20
2016,7,0,112,20
2016,8,0,113,20
2016,9,1,114,21
2016,10,0,115,21
2016,11,0,116,21
2016,12,0,117,21
2016,13,0,118,21
2016,14,0,119,21
2016,15,0,120,21
2016,16,0,121,21
2016,17,1,122,22
2016,18,0,123,22
2016,19,0,124,22
2016,20,0,125,22
2016,21,0,126,22
2016,22,1,127,23
2016,23,0,128,23
2016,24,1,129,24
2016,25,1,130,25
2016,26,1,131,26
2016,27,0,132,26
2016,28,0,133,26
2016,29,5,134,31
2016,30,0,135,31
2016,31,0,136,31
2016,32,0,137,31
2016,33,0,138,31
2016,34,0,139,31
2016,35,0,140,31
2016,36,0,141,31
2016,37,0,142,31
2016,38,0,143,31
2016,39,0,144,31
2016,40,0,145,31
2016,41,0,146,31
2016,42,0,147,31
2016,43,0,148,31
2016,44,0,149,31
2016,45,0,150,31
2016,46,0,151,31
2016,47,0,152,31
2016,48,0,153,31
2016,49,0,154,31
2016,50,0,155,31
2016,51,0,156,31
2016,52,0,157,31
2017,1,0,158,31
2017,2,0,159,31
2017,3,0,160,31
2017,4,0,161,31
2017,5,0,162,31
2017,6,0,163,31
2017,7,0,164,31
2017,8,0,165,31
2017,9,0,166,31
2017,10,0,167,31
2017,11,0,168,31
2017,12,0,169,31
2017,13,0,170,31
2017,14,0,171,31
2017,15,0,172,31
