Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,1,10,1
2014,11,0,11,1
2014,12,1,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,1,17,3
2014,18,0,18,3
2014,19,1,19,4
2014,20,1,20,5
2014,21,0,21,5
2014,22,1,22,6
2014,23,2,23,8
2014,24,0,24,8
2014,25,1,25,9
2014,26,1,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,1,29,11
2014,30,0,30,11
2014,31,1,31,12
2014,32,3,32,15
2014,33,1,33,16
2014,34,1,34,17
2014,35,0,35,17
2014,36,3,36,20
2014,37,2,37,22
2014,38,2,38,24
2014,39,1,39,25
2014,40,1,40,26
2014,41,0,41,26
2014,42,0,42,26
2014,43,0,43,26
2014,44,0,44,26
2014,45,0,45,26
2014,46,0,46,26
2014,47,0,47,26
2014,48,0,48,26
2014,49,0,49,26
2014,50,0,50,26
2014,51,0,51,26
2014,52,0,52,26
2014,53,0,53,26
2015,1,0,54,26
2015,2,1,55,27
2015,3,0,56,27
2015,4,0,57,27
2015,5,0,58,27
2015,6,1,59,28
2015,7,0,60,28
2015,8,0,61,28
2015,9,0,62,28
2015,10,1,63,29
2015,11,0,64,29
2015,12,0,65,29
2015,13,0,66,29
2015,14,0,67,29
2015,15,0,68,29
2015,16,1,69,30
2015,17,2,70,32
2015,18,0,71,32
2015,19,1,72,33
2015,20,0,73,33
2015,21,0,74,33
2015,22,1,75,34
2015,23,0,76,34
2015,24,0,77,34
2015,25,1,78,35
2015,26,0,79,35
2015,27,0,80,35
2015,28,1,81,36
2015,29,0,82,36
2015,30,0,83,36
2015,31,1,84,37
2015,32,1,85,38
2015,33,0,86,38
2015,34,0,87,38
2015,35,1,88,39
2015,36,0,89,39
2015,37,1,90,40
2015,38,0,91,40
2015,39,0,92,40
2015,40,1,93,41
2015,41,0,94,41
2015,42,0,95,41
2015,43,2,96,43
2015,44,0,97,43
2015,45,0,98,43
2015,46,0,99,43
2015,47,0,100,43
2015,48,0,101,43
2015,49,2,102,45
2015,50,0,103,45
2015,51,1,104,46
2015,52,1,105,47
2016,1,0,106,47
2016,2,3,107,50
2016,3,0,108,50
2016,4,0,109,50
2016,5,2,110,52
2016,6,0,111,52
2016,7,1,112,53
2016,8,0,113,53
2016,9,1,114,54
2016,10,1,115,55
2016,11,0,116,55
2016,12,1,117,56
2016,13,6,118,62
2016,14,0,119,62
2016,15,2,120,64
2016,16,1,121,65
2016,17,1,122,66
2016,18,0,123,66
2016,19,1,124,67
2016,20,1,125,68
2016,21,1,126,69
2016,22,1,127,70
2016,23,1,128,71
2016,24,1,129,72
2016,25,1,130,73
2016,26,1,131,74
2016,27,0,132,74
2016,28,3,133,77
2016,29,0,134,77
2016,30,1,135,78
2016,31,0,136,78
2016,32,3,137,81
2016,33,1,138,82
2016,34,1,139,83
2016,35,0,140,83
2016,36,2,141,85
2016,37,0,142,85
2016,38,0,143,85
2016,39,1,144,86
2016,40,0,145,86
2016,41,0,146,86
2016,42,0,147,86
2016,43,0,148,86
2016,44,1,149,87
2016,45,1,150,88
2016,46,0,151,88
2016,47,2,152,90
2016,48,1,153,91
2016,49,1,154,92
2016,50,0,155,92
2016,51,2,156,94
2016,52,1,157,95
2017,1,0,158,95
2017,2,1,159,96
2017,3,0,160,96
2017,4,1,161,97
2017,5,0,162,97
2017,6,0,163,97
2017,7,0,164,97
2017,8,0,165,97
2017,9,0,166,97
2017,10,0,167,97
2017,11,0,168,97
2017,12,1,169,98
2017,13,2,170,100
2017,14,0,171,100
2017,15,0,172,100
