Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,2,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,1,18,4
2014,19,2,19,6
2014,20,1,20,7
2014,21,0,21,7
2014,22,3,22,10
2014,23,1,23,11
2014,24,0,24,11
2014,25,0,25,11
2014,26,1,26,12
2014,27,0,27,12
2014,28,0,28,12
2014,29,1,29,13
2014,30,2,30,15
2014,31,0,31,15
2014,32,0,32,15
2014,33,0,33,15
2014,34,1,34,16
2014,35,2,35,18
2014,36,1,36,19
2014,37,0,37,19
2014,38,0,38,19
2014,39,0,39,19
2014,40,0,40,19
2014,41,0,41,19
2014,42,0,42,19
2014,43,0,43,19
2014,44,0,44,19
2014,45,0,45,19
2014,46,0,46,19
2014,47,0,47,19
2014,48,0,48,19
2014,49,1,49,20
2014,50,0,50,20
2014,51,0,51,20
2014,52,0,52,20
2014,53,0,53,20
2015,1,0,54,20
2015,2,0,55,20
2015,3,0,56,20
2015,4,0,57,20
2015,5,0,58,20
2015,6,0,59,20
2015,7,0,60,20
2015,8,0,61,20
2015,9,0,62,20
2015,10,0,63,20
2015,11,0,64,20
2015,12,0,65,20
2015,13,0,66,20
2015,14,0,67,20
2015,15,0,68,20
2015,16,0,69,20
2015,17,0,70,20
2015,18,0,71,20
2015,19,0,72,20
2015,20,0,73,20
2015,21,0,74,20
2015,22,0,75,20
2015,23,0,76,20
2015,24,0,77,20
2015,25,0,78,20
2015,26,0,79,20
2015,27,0,80,20
2015,28,0,81,20
2015,29,0,82,20
2015,30,0,83,20
2015,31,0,84,20
2015,32,0,85,20
2015,33,0,86,20
2015,34,0,87,20
2015,35,0,88,20
2015,36,0,89,20
2015,37,0,90,20
2015,38,0,91,20
2015,39,0,92,20
2015,40,0,93,20
2015,41,0,94,20
2015,42,0,95,20
2015,43,0,96,20
2015,44,0,97,20
2015,45,0,98,20
2015,46,0,99,20
2015,47,0,100,20
2015,48,0,101,20
2015,49,0,102,20
2015,50,0,103,20
2015,51,0,104,20
2015,52,0,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,0,110,20
2016,6,0,111,20
2016,7,0,112,20
2016,8,0,113,20
2016,9,0,114,20
2016,10,0,115,20
2016,11,0,116,20
2016,12,0,117,20
2016,13,0,118,20
2016,14,0,119,20
2016,15,0,120,20
2016,16,0,121,20
2016,17,0,122,20
2016,18,0,123,20
2016,19,0,124,20
2016,20,0,125,20
2016,21,0,126,20
2016,22,0,127,20
2016,23,0,128,20
2016,24,0,129,20
2016,25,0,130,20
2016,26,0,131,20
2016,27,0,132,20
2016,28,0,133,20
2016,29,0,134,20
2016,30,0,135,20
2016,31,0,136,20
2016,32,0,137,20
2016,33,0,138,20
2016,34,0,139,20
2016,35,0,140,20
2016,36,0,141,20
2016,37,0,142,20
2016,38,0,143,20
2016,39,0,144,20
2016,40,0,145,20
2016,41,0,146,20
2016,42,0,147,20
2016,43,0,148,20
2016,44,0,149,20
2016,45,0,150,20
2016,46,0,151,20
2016,47,0,152,20
2016,48,0,153,20
2016,49,0,154,20
2016,50,0,155,20
2016,51,0,156,20
2016,52,0,157,20
2017,1,0,158,20
2017,2,0,159,20
2017,3,0,160,20
2017,4,0,161,20
2017,5,0,162,20
2017,6,0,163,20
2017,7,0,164,20
2017,8,0,165,20
2017,9,0,166,20
2017,10,0,167,20
2017,11,0,168,20
2017,12,0,169,20
2017,13,2,170,22
2017,14,0,171,22
2017,15,2,172,24
