Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,3,2,5
2014,3,10,3,15
2014,4,4,4,19
2014,5,2,5,21
2014,6,6,6,27
2014,7,1,7,28
2014,8,3,8,31
2014,9,5,9,36
2014,10,5,10,41
2014,11,4,11,45
2014,12,3,12,48
2014,13,7,13,55
2014,14,2,14,57
2014,15,6,15,63
2014,16,12,16,75
2014,17,10,17,85
2014,18,3,18,88
2014,19,5,19,93
2014,20,10,20,103
2014,21,10,21,113
2014,22,5,22,118
2014,23,6,23,124
2014,24,0,24,124
2014,25,13,25,137
2014,26,9,26,146
2014,27,3,27,149
2014,28,14,28,163
2014,29,5,29,168
2014,30,7,30,175
2014,31,3,31,178
2014,32,15,32,193
2014,33,7,33,200
2014,34,9,34,209
2014,35,14,35,223
2014,36,11,36,234
2014,37,13,37,247
2014,38,9,38,256
2014,39,12,39,268
2014,40,10,40,278
2014,41,10,41,288
2014,42,10,42,298
2014,43,6,43,304
2014,44,10,44,314
2014,45,7,45,321
2014,46,3,46,324
2014,47,9,47,333
2014,48,2,48,335
2014,49,4,49,339
2014,50,3,50,342
2014,51,6,51,348
2014,52,4,52,352
2014,53,5,53,357
2015,1,0,54,357
2015,2,1,55,358
2015,3,6,56,364
2015,4,2,57,366
2015,5,2,58,368
2015,6,2,59,370
2015,7,5,60,375
2015,8,2,61,377
2015,9,3,62,380
2015,10,9,63,389
2015,11,8,64,397
2015,12,7,65,404
2015,13,9,66,413
2015,14,0,67,413
2015,15,3,68,416
2015,16,6,69,422
2015,17,8,70,430
2015,18,10,71,440
2015,19,7,72,447
2015,20,7,73,454
2015,21,6,74,460
2015,22,7,75,467
2015,23,6,76,473
2015,24,6,77,479
2015,25,12,78,491
2015,26,6,79,497
2015,27,7,80,504
2015,28,9,81,513
2015,29,12,82,525
2015,30,8,83,533
2015,31,11,84,544
2015,32,10,85,554
2015,33,14,86,568
2015,34,9,87,577
2015,35,14,88,591
2015,36,7,89,598
2015,37,13,90,611
2015,38,8,91,619
2015,39,12,92,631
2015,40,7,93,638
2015,41,7,94,645
2015,42,10,95,655
2015,43,6,96,661
2015,44,7,97,668
2015,45,7,98,675
2015,46,6,99,681
2015,47,1,100,682
2015,48,7,101,689
2015,49,6,102,695
2015,50,7,103,702
2015,51,3,104,705
2015,52,3,105,708
2016,1,5,106,713
2016,2,7,107,720
2016,3,4,108,724
2016,4,8,109,732
2016,5,8,110,740
2016,6,10,111,750
2016,7,4,112,754
2016,8,6,113,760
2016,9,6,114,766
2016,10,3,115,769
2016,11,6,116,775
2016,12,10,117,785
2016,13,4,118,789
2016,14,33,119,822
2016,15,24,120,846
2016,16,11,121,857
2016,17,24,122,881
2016,18,9,123,890
2016,19,18,124,908
2016,20,7,125,915
2016,21,3,126,918
2016,22,0,127,918
2016,23,8,128,926
2016,24,11,129,937
2016,25,21,130,958
2016,26,8,131,966
2016,27,7,132,973
2016,28,8,133,981
2016,29,16,134,997
2016,30,13,135,1010
2016,31,8,136,1018
2016,32,16,137,1034
2016,33,0,138,1034
2016,34,0,139,1034
2016,35,14,140,1048
2016,36,12,141,1060
2016,37,8,142,1068
2016,38,17,143,1085
2016,39,7,144,1092
2016,40,20,145,1112
2016,41,4,146,1116
2016,42,5,147,1121
2016,43,14,148,1135
2016,44,11,149,1146
2016,45,8,150,1154
2016,46,0,151,1154
2016,47,4,152,1158
2016,48,16,153,1174
2016,49,5,154,1179
2016,50,7,155,1186
2016,51,0,156,1186
2016,52,4,157,1190
2017,1,7,158,1197
2017,2,4,159,1201
2017,3,8,160,1209
2017,4,1,161,1210
2017,5,7,162,1217
2017,6,3,163,1220
2017,7,4,164,1224
2017,8,5,165,1229
2017,9,10,166,1239
2017,10,11,167,1250
2017,11,2,168,1252
2017,12,6,169,1258
2017,13,6,170,1264
2017,14,1,171,1265
2017,15,0,172,1265
