Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,0,25,0
2014,26,0,26,0
2014,27,0,27,0
2014,28,0,28,0
2014,29,0,29,0
2014,30,0,30,0
2014,31,0,31,0
2014,32,0,32,0
2014,33,0,33,0
2014,34,0,34,0
2014,35,0,35,0
2014,36,0,36,0
2014,37,0,37,0
2014,38,0,38,0
2014,39,0,39,0
2014,40,0,40,0
2014,41,0,41,0
2014,42,0,42,0
2014,43,0,43,0
2014,44,0,44,0
2014,45,0,45,0
2014,46,0,46,0
2014,47,0,47,0
2014,48,0,48,0
2014,49,0,49,0
2014,50,0,50,0
2014,51,0,51,0
2014,52,0,52,0
2014,53,5,53,5
2015,1,1,54,6
2015,2,6,55,12
2015,3,3,56,15
2015,4,5,57,20
2015,5,6,58,26
2015,6,0,59,26
2015,7,2,60,28
2015,8,0,61,28
2015,9,1,62,29
2015,10,5,63,34
2015,11,7,64,41
2015,12,8,65,49
2015,13,10,66,59
2015,14,7,67,66
2015,15,0,68,66
2015,16,0,69,66
2015,17,11,70,77
2015,18,5,71,82
2015,19,11,72,93
2015,20,8,73,101
2015,21,7,74,108
2015,22,8,75,116
2015,23,0,76,116
2015,24,8,77,124
2015,25,9,78,133
2015,26,7,79,140
2015,27,11,80,151
2015,28,10,81,161
2015,29,4,82,165
2015,30,8,83,173
2015,31,0,84,173
2015,32,12,85,185
2015,33,8,86,193
2015,34,0,87,193
2015,35,4,88,197
2015,36,0,89,197
2015,37,0,90,197
2015,38,0,91,197
2015,39,8,92,205
2015,40,7,93,212
2015,41,8,94,220
2015,42,9,95,229
2015,43,10,96,239
2015,44,6,97,245
2015,45,0,98,245
2015,46,0,99,245
2015,47,5,100,250
2015,48,6,101,256
2015,49,4,102,260
2015,50,0,103,260
2015,51,4,104,264
2015,52,2,105,266
2016,1,2,106,268
2016,2,3,107,271
2016,3,2,108,273
2016,4,1,109,274
2016,5,3,110,277
2016,6,3,111,280
2016,7,2,112,282
2016,8,7,113,289
2016,9,6,114,295
2016,10,3,115,298
2016,11,8,116,306
2016,12,0,117,306
2016,13,0,118,306
2016,14,0,119,306
2016,15,4,120,310
2016,16,0,121,310
2016,17,8,122,318
2016,18,8,123,326
2016,19,8,124,334
2016,20,10,125,344
2016,21,0,126,344
2016,22,0,127,344
2016,23,6,128,350
2016,24,0,129,350
2016,25,5,130,355
2016,26,2,131,357
2016,27,5,132,362
2016,28,10,133,372
2016,29,7,134,379
2016,30,5,135,384
2016,31,5,136,389
2016,32,5,137,394
2016,33,0,138,394
2016,34,3,139,397
2016,35,8,140,405
2016,36,8,141,413
2016,37,5,142,418
2016,38,6,143,424
2016,39,3,144,427
2016,40,10,145,437
2016,41,8,146,445
2016,42,0,147,445
2016,43,4,148,449
2016,44,0,149,449
2016,45,2,150,451
2016,46,5,151,456
2016,47,5,152,461
2016,48,1,153,462
2016,49,1,154,463
2016,50,3,155,466
2016,51,0,156,466
2016,52,0,157,466
2017,1,0,158,466
2017,2,4,159,470
2017,3,1,160,471
2017,4,1,161,472
2017,5,2,162,474
2017,6,2,163,476
2017,7,6,164,482
2017,8,4,165,486
2017,9,4,166,490
2017,10,6,167,496
2017,11,3,168,499
2017,12,1,169,500
2017,13,6,170,506
2017,14,6,171,512
2017,15,5,172,517
