Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,1,10,2
2014,11,3,11,5
2014,12,2,12,7
2014,13,1,13,8
2014,14,0,14,8
2014,15,1,15,9
2014,16,1,16,10
2014,17,2,17,12
2014,18,2,18,14
2014,19,1,19,15
2014,20,2,20,17
2014,21,2,21,19
2014,22,0,22,19
2014,23,2,23,21
2014,24,1,24,22
2014,25,0,25,22
2014,26,0,26,22
2014,27,0,27,22
2014,28,0,28,22
2014,29,0,29,22
2014,30,1,30,23
2014,31,0,31,23
2014,32,1,32,24
2014,33,3,33,27
2014,34,0,34,27
2014,35,0,35,27
2014,36,1,36,28
2014,37,2,37,30
2014,38,0,38,30
2014,39,1,39,31
2014,40,0,40,31
2014,41,0,41,31
2014,42,0,42,31
2014,43,1,43,32
2014,44,1,44,33
2014,45,0,45,33
2014,46,0,46,33
2014,47,1,47,34
2014,48,0,48,34
2014,49,0,49,34
2014,50,1,50,35
2014,51,1,51,36
2014,52,0,52,36
2014,53,0,53,36
2015,1,0,54,36
2015,2,0,55,36
2015,3,0,56,36
2015,4,0,57,36
2015,5,0,58,36
2015,6,1,59,37
2015,7,0,60,37
2015,8,0,61,37
2015,9,0,62,37
2015,10,2,63,39
2015,11,1,64,40
2015,12,0,65,40
2015,13,0,66,40
2015,14,4,67,44
2015,15,0,68,44
2015,16,1,69,45
2015,17,1,70,46
2015,18,0,71,46
2015,19,1,72,47
2015,20,0,73,47
2015,21,0,74,47
2015,22,3,75,50
2015,23,2,76,52
2015,24,1,77,53
2015,25,0,78,53
2015,26,1,79,54
2015,27,0,80,54
2015,28,1,81,55
2015,29,1,82,56
2015,30,2,83,58
2015,31,0,84,58
2015,32,0,85,58
2015,33,3,86,61
2015,34,0,87,61
2015,35,0,88,61
2015,36,1,89,62
2015,37,0,90,62
2015,38,0,91,62
2015,39,0,92,62
2015,40,0,93,62
2015,41,0,94,62
2015,42,1,95,63
2015,43,0,96,63
2015,44,1,97,64
2015,45,2,98,66
2015,46,0,99,66
2015,47,0,100,66
2015,48,0,101,66
2015,49,0,102,66
2015,50,0,103,66
2015,51,1,104,67
2015,52,0,105,67
2016,1,0,106,67
2016,2,0,107,67
2016,3,0,108,67
2016,4,0,109,67
2016,5,0,110,67
2016,6,0,111,67
2016,7,0,112,67
2016,8,0,113,67
2016,9,0,114,67
2016,10,0,115,67
2016,11,0,116,67
2016,12,0,117,67
2016,13,0,118,67
2016,14,0,119,67
2016,15,0,120,67
2016,16,0,121,67
2016,17,0,122,67
2016,18,0,123,67
2016,19,0,124,67
2016,20,2,125,69
2016,21,0,126,69
2016,22,0,127,69
2016,23,2,128,71
2016,24,2,129,73
2016,25,0,130,73
2016,26,0,131,73
2016,27,1,132,74
2016,28,0,133,74
2016,29,0,134,74
2016,30,2,135,76
2016,31,1,136,77
2016,32,0,137,77
2016,33,0,138,77
2016,34,2,139,79
2016,35,0,140,79
2016,36,0,141,79
2016,37,0,142,79
2016,38,0,143,79
2016,39,1,144,80
2016,40,0,145,80
2016,41,0,146,80
2016,42,1,147,81
2016,43,0,148,81
2016,44,1,149,82
2016,45,1,150,83
2016,46,0,151,83
2016,47,0,152,83
2016,48,0,153,83
2016,49,1,154,84
2016,50,0,155,84
2016,51,0,156,84
2016,52,0,157,84
2017,1,0,158,84
2017,2,0,159,84
2017,3,0,160,84
2017,4,1,161,85
2017,5,0,162,85
2017,6,0,163,85
2017,7,0,164,85
2017,8,0,165,85
2017,9,1,166,86
2017,10,0,167,86
2017,11,0,168,86
2017,12,0,169,86
2017,13,2,170,88
2017,14,1,171,89
2017,15,0,172,89
