Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,13,16,13
2014,17,17,17,30
2014,18,7,18,37
2014,19,18,19,55
2014,20,12,20,67
2014,21,0,21,67
2014,22,16,22,83
2014,23,11,23,94
2014,24,10,24,104
2014,25,20,25,124
2014,26,11,26,135
2014,27,10,27,145
2014,28,16,28,161
2014,29,17,29,178
2014,30,14,30,192
2014,31,15,31,207
2014,32,0,32,207
2014,33,19,33,226
2014,34,13,34,239
2014,35,0,35,239
2014,36,0,36,239
2014,37,12,37,251
2014,38,27,38,278
2014,39,0,39,278
2014,40,17,40,295
2014,41,19,41,314
2014,42,0,42,314
2014,43,15,43,329
2014,44,10,44,339
2014,45,11,45,350
2014,46,12,46,362
2014,47,10,47,372
2014,48,11,48,383
2014,49,9,49,392
2014,50,0,50,392
2014,51,3,51,395
2014,52,0,52,395
2014,53,0,53,395
2015,1,0,54,395
2015,2,0,55,395
2015,3,0,56,395
2015,4,0,57,395
2015,5,0,58,395
2015,6,0,59,395
2015,7,8,60,403
2015,8,0,61,403
2015,9,0,62,403
2015,10,5,63,408
2015,11,0,64,408
2015,12,0,65,408
2015,13,0,66,408
2015,14,0,67,408
2015,15,0,68,408
2015,16,0,69,408
2015,17,0,70,408
2015,18,0,71,408
2015,19,0,72,408
2015,20,0,73,408
2015,21,0,74,408
2015,22,0,75,408
2015,23,0,76,408
2015,24,0,77,408
2015,25,0,78,408
2015,26,0,79,408
2015,27,0,80,408
2015,28,0,81,408
2015,29,0,82,408
2015,30,0,83,408
2015,31,0,84,408
2015,32,14,85,422
2015,33,23,86,445
2015,34,0,87,445
2015,35,0,88,445
2015,36,0,89,445
2015,37,0,90,445
2015,38,0,91,445
2015,39,0,92,445
2015,40,0,93,445
2015,41,0,94,445
2015,42,0,95,445
2015,43,0,96,445
2015,44,0,97,445
2015,45,0,98,445
2015,46,0,99,445
2015,47,0,100,445
2015,48,0,101,445
2015,49,0,102,445
2015,50,0,103,445
2015,51,0,104,445
2015,52,0,105,445
2016,1,0,106,445
2016,2,0,107,445
2016,3,0,108,445
2016,4,0,109,445
2016,5,0,110,445
2016,6,0,111,445
2016,7,0,112,445
2016,8,0,113,445
2016,9,0,114,445
2016,10,0,115,445
2016,11,0,116,445
2016,12,0,117,445
2016,13,0,118,445
2016,14,0,119,445
2016,15,0,120,445
2016,16,0,121,445
2016,17,0,122,445
2016,18,0,123,445
2016,19,0,124,445
2016,20,0,125,445
2016,21,0,126,445
2016,22,0,127,445
2016,23,0,128,445
2016,24,0,129,445
2016,25,0,130,445
2016,26,0,131,445
2016,27,0,132,445
2016,28,0,133,445
2016,29,0,134,445
2016,30,0,135,445
2016,31,0,136,445
2016,32,0,137,445
2016,33,0,138,445
2016,34,0,139,445
2016,35,0,140,445
2016,36,0,141,445
2016,37,0,142,445
2016,38,0,143,445
2016,39,0,144,445
2016,40,0,145,445
2016,41,0,146,445
2016,42,0,147,445
2016,43,0,148,445
2016,44,0,149,445
2016,45,0,150,445
2016,46,0,151,445
2016,47,0,152,445
2016,48,0,153,445
2016,49,0,154,445
2016,50,0,155,445
2016,51,0,156,445
2016,52,0,157,445
2017,1,6,158,451
2017,2,16,159,467
2017,3,8,160,475
2017,4,11,161,486
2017,5,9,162,495
2017,6,7,163,502
2017,7,8,164,510
2017,8,9,165,519
2017,9,0,166,519
2017,10,0,167,519
2017,11,0,168,519
2017,12,7,169,526
2017,13,20,170,546
2017,14,11,171,557
2017,15,14,172,571
