Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,1,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,1,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,1,21,4
2014,22,0,22,4
2014,23,2,23,6
2014,24,0,24,6
2014,25,1,25,7
2014,26,0,26,7
2014,27,1,27,8
2014,28,0,28,8
2014,29,0,29,8
2014,30,1,30,9
2014,31,0,31,9
2014,32,1,32,10
2014,33,0,33,10
2014,34,0,34,10
2014,35,0,35,10
2014,36,0,36,10
2014,37,0,37,10
2014,38,1,38,11
2014,39,1,39,12
2014,40,0,40,12
2014,41,0,41,12
2014,42,0,42,12
2014,43,0,43,12
2014,44,0,44,12
2014,45,0,45,12
2014,46,0,46,12
2014,47,0,47,12
2014,48,0,48,12
2014,49,0,49,12
2014,50,0,50,12
2014,51,0,51,12
2014,52,0,52,12
2014,53,0,53,12
2015,1,0,54,12
2015,2,0,55,12
2015,3,0,56,12
2015,4,0,57,12
2015,5,0,58,12
2015,6,0,59,12
2015,7,0,60,12
2015,8,0,61,12
2015,9,0,62,12
2015,10,0,63,12
2015,11,0,64,12
2015,12,0,65,12
2015,13,1,66,13
2015,14,0,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,0,70,13
2015,18,0,71,13
2015,19,0,72,13
2015,20,0,73,13
2015,21,0,74,13
2015,22,0,75,13
2015,23,0,76,13
2015,24,1,77,14
2015,25,0,78,14
2015,26,0,79,14
2015,27,0,80,14
2015,28,0,81,14
2015,29,1,82,15
2015,30,0,83,15
2015,31,2,84,17
2015,32,2,85,19
2015,33,0,86,19
2015,34,0,87,19
2015,35,0,88,19
2015,36,2,89,21
2015,37,2,90,23
2015,38,0,91,23
2015,39,1,92,24
2015,40,1,93,25
2015,41,0,94,25
2015,42,0,95,25
2015,43,0,96,25
2015,44,0,97,25
2015,45,0,98,25
2015,46,0,99,25
2015,47,0,100,25
2015,48,0,101,25
2015,49,0,102,25
2015,50,0,103,25
2015,51,0,104,25
2015,52,0,105,25
2016,1,0,106,25
2016,2,0,107,25
2016,3,0,108,25
2016,4,0,109,25
2016,5,0,110,25
2016,6,0,111,25
2016,7,0,112,25
2016,8,0,113,25
2016,9,1,114,26
2016,10,0,115,26
2016,11,1,116,27
2016,12,0,117,27
2016,13,0,118,27
2016,14,0,119,27
2016,15,0,120,27
2016,16,0,121,27
2016,17,1,122,28
2016,18,0,123,28
2016,19,0,124,28
2016,20,2,125,30
2016,21,1,126,31
2016,22,0,127,31
2016,23,0,128,31
2016,24,0,129,31
2016,25,0,130,31
2016,26,0,131,31
2016,27,0,132,31
2016,28,1,133,32
2016,29,0,134,32
2016,30,0,135,32
2016,31,1,136,33
2016,32,1,137,34
2016,33,0,138,34
2016,34,0,139,34
2016,35,0,140,34
2016,36,0,141,34
2016,37,0,142,34
2016,38,0,143,34
2016,39,0,144,34
2016,40,0,145,34
2016,41,0,146,34
2016,42,0,147,34
2016,43,0,148,34
2016,44,0,149,34
2016,45,0,150,34
2016,46,0,151,34
2016,47,0,152,34
2016,48,0,153,34
2016,49,0,154,34
2016,50,1,155,35
2016,51,0,156,35
2016,52,0,157,35
2017,1,0,158,35
2017,2,0,159,35
2017,3,1,160,36
2017,4,0,161,36
2017,5,0,162,36
2017,6,0,163,36
2017,7,0,164,36
2017,8,0,165,36
2017,9,1,166,37
2017,10,0,167,37
2017,11,1,168,38
2017,12,1,169,39
2017,13,1,170,40
2017,14,0,171,40
2017,15,1,172,41
