Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,2,2,5
2014,3,1,3,6
2014,4,1,4,7
2014,5,2,5,9
2014,6,1,6,10
2014,7,0,7,10
2014,8,1,8,11
2014,9,1,9,12
2014,10,1,10,13
2014,11,2,11,15
2014,12,4,12,19
2014,13,1,13,20
2014,14,4,14,24
2014,15,2,15,26
2014,16,3,16,29
2014,17,0,17,29
2014,18,1,18,30
2014,19,0,19,30
2014,20,2,20,32
2014,21,4,21,36
2014,22,0,22,36
2014,23,4,23,40
2014,24,2,24,42
2014,25,5,25,47
2014,26,5,26,52
2014,27,2,27,54
2014,28,1,28,55
2014,29,3,29,58
2014,30,3,30,61
2014,31,5,31,66
2014,32,1,32,67
2014,33,6,33,73
2014,34,5,34,78
2014,35,7,35,85
2014,36,4,36,89
2014,37,2,37,91
2014,38,4,38,95
2014,39,1,39,96
2014,40,3,40,99
2014,41,2,41,101
2014,42,6,42,107
2014,43,2,43,109
2014,44,1,44,110
2014,45,2,45,112
2014,46,2,46,114
2014,47,6,47,120
2014,48,0,48,120
2014,49,4,49,124
2014,50,4,50,128
2014,51,2,51,130
2014,52,1,52,131
2014,53,1,53,132
2015,1,2,54,134
2015,2,1,55,135
2015,3,0,56,135
2015,4,2,57,137
2015,5,2,58,139
2015,6,2,59,141
2015,7,3,60,144
2015,8,1,61,145
2015,9,3,62,148
2015,10,3,63,151
2015,11,3,64,154
2015,12,7,65,161
2015,13,4,66,165
2015,14,7,67,172
2015,15,31,68,203
2015,16,4,69,207
2015,17,4,70,211
2015,18,3,71,214
2015,19,3,72,217
2015,20,1,73,218
2015,21,4,74,222
2015,22,3,75,225
2015,23,49,76,274
2015,24,85,77,359
2015,25,45,78,404
2015,26,37,79,441
2015,27,25,80,466
2015,28,13,81,479
2015,29,6,82,485
2015,30,10,83,495
2015,31,4,84,499
2015,32,5,85,504
2015,33,8,86,512
2015,34,7,87,519
2015,35,4,88,523
2015,36,5,89,528
2015,37,6,90,534
2015,38,4,91,538
2015,39,10,92,548
2015,40,4,93,552
2015,41,6,94,558
2015,42,3,95,561
2015,43,3,96,564
2015,44,4,97,568
2015,45,7,98,575
2015,46,4,99,579
2015,47,2,100,581
2015,48,6,101,587
2015,49,3,102,590
2015,50,2,103,592
2015,51,0,104,592
2015,52,0,105,592
2016,1,1,106,593
2016,2,5,107,598
2016,3,2,108,600
2016,4,1,109,601
2016,5,2,110,603
2016,6,1,111,604
2016,7,0,112,604
2016,8,2,113,606
2016,9,1,114,607
2016,10,1,115,608
2016,11,1,116,609
2016,12,4,117,613
2016,13,4,118,617
2016,14,4,119,621
2016,15,0,120,621
2016,16,1,121,622
2016,17,4,122,626
2016,18,1,123,627
2016,19,4,124,631
2016,20,3,125,634
2016,21,0,126,634
2016,22,0,127,634
2016,23,6,128,640
2016,24,5,129,645
2016,25,0,130,645
2016,26,3,131,648
2016,27,3,132,651
2016,28,1,133,652
2016,29,3,134,655
2016,30,5,135,660
2016,31,3,136,663
2016,32,3,137,666
2016,33,2,138,668
2016,34,6,139,674
2016,35,3,140,677
2016,36,0,141,677
2016,37,3,142,680
2016,38,1,143,681
2016,39,0,144,681
2016,40,1,145,682
2016,41,5,146,687
2016,42,4,147,691
2016,43,2,148,693
2016,44,4,149,697
2016,45,1,150,698
2016,46,3,151,701
2016,47,0,152,701
2016,48,1,153,702
2016,49,1,154,703
2016,50,3,155,706
2016,51,2,156,708
2016,52,0,157,708
2017,1,0,158,708
2017,2,2,159,710
2017,3,2,160,712
2017,4,1,161,713
2017,5,3,162,716
2017,6,4,163,720
2017,7,2,164,722
2017,8,1,165,723
2017,9,4,166,727
2017,10,3,167,730
2017,11,0,168,730
2017,12,1,169,731
2017,13,4,170,735
2017,14,0,171,735
2017,15,3,172,738
