Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,3,6,4
2014,7,0,7,4
2014,8,1,8,5
2014,9,2,9,7
2014,10,0,10,7
2014,11,1,11,8
2014,12,0,12,8
2014,13,0,13,8
2014,14,1,14,9
2014,15,0,15,9
2014,16,2,16,11
2014,17,2,17,13
2014,18,1,18,14
2014,19,2,19,16
2014,20,2,20,18
2014,21,1,21,19
2014,22,0,22,19
2014,23,2,23,21
2014,24,1,24,22
2014,25,0,25,22
2014,26,3,26,25
2014,27,3,27,28
2014,28,1,28,29
2014,29,0,29,29
2014,30,3,30,32
2014,31,4,31,36
2014,32,1,32,37
2014,33,11,33,48
2014,34,3,34,51
2014,35,0,35,51
2014,36,1,36,52
2014,37,1,37,53
2014,38,2,38,55
2014,39,0,39,55
2014,40,2,40,57
2014,41,1,41,58
2014,42,4,42,62
2014,43,3,43,65
2014,44,3,44,68
2014,45,0,45,68
2014,46,0,46,68
2014,47,2,47,70
2014,48,0,48,70
2014,49,0,49,70
2014,50,4,50,74
2014,51,2,51,76
2014,52,1,52,77
2014,53,0,53,77
2015,1,2,54,79
2015,2,3,55,82
2015,3,2,56,84
2015,4,4,57,88
2015,5,1,58,89
2015,6,1,59,90
2015,7,3,60,93
2015,8,5,61,98
2015,9,0,62,98
2015,10,2,63,100
2015,11,4,64,104
2015,12,5,65,109
2015,13,3,66,112
2015,14,0,67,112
2015,15,7,68,119
2015,16,1,69,120
2015,17,1,70,121
2015,18,1,71,122
2015,19,3,72,125
2015,20,1,73,126
2015,21,6,74,132
2015,22,9,75,141
2015,23,0,76,141
2015,24,2,77,143
2015,25,1,78,144
2015,26,0,79,144
2015,27,4,80,148
2015,28,2,81,150
2015,29,8,82,158
2015,30,2,83,160
2015,31,2,84,162
2015,32,5,85,167
2015,33,5,86,172
2015,34,0,87,172
2015,35,4,88,176
2015,36,3,89,179
2015,37,9,90,188
2015,38,3,91,191
2015,39,0,92,191
2015,40,1,93,192
2015,41,1,94,193
2015,42,2,95,195
2015,43,4,96,199
2015,44,4,97,203
2015,45,2,98,205
2015,46,1,99,206
2015,47,0,100,206
2015,48,3,101,209
2015,49,0,102,209
2015,50,0,103,209
2015,51,0,104,209
2015,52,0,105,209
2016,1,6,106,215
2016,2,0,107,215
2016,3,5,108,220
2016,4,2,109,222
2016,5,3,110,225
2016,6,0,111,225
2016,7,1,112,226
2016,8,0,113,226
2016,9,0,114,226
2016,10,0,115,226
2016,11,0,116,226
2016,12,0,117,226
2016,13,4,118,230
2016,14,0,119,230
2016,15,0,120,230
2016,16,4,121,234
2016,17,0,122,234
2016,18,0,123,234
2016,19,0,124,234
2016,20,3,125,237
2016,21,0,126,237
2016,22,0,127,237
2016,23,0,128,237
2016,24,2,129,239
2016,25,0,130,239
2016,26,2,131,241
2016,27,1,132,242
2016,28,0,133,242
2016,29,1,134,243
2016,30,4,135,247
2016,31,0,136,247
2016,32,3,137,250
2016,33,0,138,250
2016,34,1,139,251
2016,35,8,140,259
2016,36,3,141,262
2016,37,3,142,265
2016,38,1,143,266
2016,39,0,144,266
2016,40,0,145,266
2016,41,0,146,266
2016,42,2,147,268
2016,43,1,148,269
2016,44,0,149,269
2016,45,3,150,272
2016,46,4,151,276
2016,47,0,152,276
2016,48,4,153,280
2016,49,0,154,280
2016,50,3,155,283
2016,51,0,156,283
2016,52,0,157,283
2017,1,1,158,284
2017,2,1,159,285
2017,3,1,160,286
2017,4,0,161,286
2017,5,2,162,288
2017,6,1,163,289
2017,7,0,164,289
2017,8,1,165,290
2017,9,1,166,291
2017,10,0,167,291
2017,11,0,168,291
2017,12,3,169,294
2017,13,2,170,296
2017,14,6,171,302
2017,15,0,172,302
