Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,2,5,2
2014,6,2,6,4
2014,7,0,7,4
2014,8,0,8,4
2014,9,0,9,4
2014,10,0,10,4
2014,11,1,11,5
2014,12,3,12,8
2014,13,0,13,8
2014,14,2,14,10
2014,15,1,15,11
2014,16,2,16,13
2014,17,0,17,13
2014,18,2,18,15
2014,19,4,19,19
2014,20,3,20,22
2014,21,1,21,23
2014,22,2,22,25
2014,23,1,23,26
2014,24,2,24,28
2014,25,2,25,30
2014,26,0,26,30
2014,27,2,27,32
2014,28,2,28,34
2014,29,2,29,36
2014,30,0,30,36
2014,31,0,31,36
2014,32,1,32,37
2014,33,0,33,37
2014,34,4,34,41
2014,35,1,35,42
2014,36,1,36,43
2014,37,3,37,46
2014,38,2,38,48
2014,39,2,39,50
2014,40,2,40,52
2014,41,0,41,52
2014,42,1,42,53
2014,43,0,43,53
2014,44,0,44,53
2014,45,4,45,57
2014,46,0,46,57
2014,47,1,47,58
2014,48,2,48,60
2014,49,1,49,61
2014,50,0,50,61
2014,51,1,51,62
2014,52,0,52,62
2014,53,0,53,62
2015,1,1,54,63
2015,2,1,55,64
2015,3,3,56,67
2015,4,1,57,68
2015,5,0,58,68
2015,6,1,59,69
2015,7,0,60,69
2015,8,0,61,69
2015,9,2,62,71
2015,10,0,63,71
2015,11,4,64,75
2015,12,0,65,75
2015,13,1,66,76
2015,14,0,67,76
2015,15,4,68,80
2015,16,2,69,82
2015,17,0,70,82
2015,18,1,71,83
2015,19,0,72,83
2015,20,5,73,88
2015,21,2,74,90
2015,22,2,75,92
2015,23,2,76,94
2015,24,5,77,99
2015,25,3,78,102
2015,26,0,79,102
2015,27,7,80,109
2015,28,3,81,112
2015,29,1,82,113
2015,30,3,83,116
2015,31,3,84,119
2015,32,0,85,119
2015,33,1,86,120
2015,34,3,87,123
2015,35,2,88,125
2015,36,1,89,126
2015,37,0,90,126
2015,38,1,91,127
2015,39,1,92,128
2015,40,0,93,128
2015,41,1,94,129
2015,42,1,95,130
2015,43,0,96,130
2015,44,0,97,130
2015,45,0,98,130
2015,46,0,99,130
2015,47,0,100,130
2015,48,0,101,130
2015,49,0,102,130
2015,50,3,103,133
2015,51,0,104,133
2015,52,0,105,133
2016,1,3,106,136
2016,2,0,107,136
2016,3,0,108,136
2016,4,0,109,136
2016,5,2,110,138
2016,6,0,111,138
2016,7,1,112,139
2016,8,0,113,139
2016,9,1,114,140
2016,10,0,115,140
2016,11,1,116,141
2016,12,0,117,141
2016,13,3,118,144
2016,14,0,119,144
2016,15,0,120,144
2016,16,2,121,146
2016,17,0,122,146
2016,18,1,123,147
2016,19,0,124,147
2016,20,2,125,149
2016,21,6,126,155
2016,22,1,127,156
2016,23,2,128,158
2016,24,0,129,158
2016,25,2,130,160
2016,26,2,131,162
2016,27,4,132,166
2016,28,1,133,167
2016,29,4,134,171
2016,30,0,135,171
2016,31,3,136,174
2016,32,5,137,179
2016,33,1,138,180
2016,34,2,139,182
2016,35,2,140,184
2016,36,0,141,184
2016,37,0,142,184
2016,38,0,143,184
2016,39,5,144,189
2016,40,2,145,191
2016,41,1,146,192
2016,42,1,147,193
2016,43,1,148,194
2016,44,3,149,197
2016,45,2,150,199
2016,46,0,151,199
2016,47,0,152,199
2016,48,2,153,201
2016,49,5,154,206
2016,50,1,155,207
2016,51,0,156,207
2016,52,1,157,208
2017,1,0,158,208
2017,2,1,159,209
2017,3,0,160,209
2017,4,1,161,210
2017,5,0,162,210
2017,6,2,163,212
2017,7,0,164,212
2017,8,0,165,212
2017,9,1,166,213
2017,10,0,167,213
2017,11,0,168,213
2017,12,0,169,213
2017,13,0,170,213
2017,14,2,171,215
2017,15,0,172,215
