Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,4,2,7
2014,3,4,3,11
2014,4,17,4,28
2014,5,3,5,31
2014,6,3,6,34
2014,7,4,7,38
2014,8,7,8,45
2014,9,6,9,51
2014,10,5,10,56
2014,11,8,11,64
2014,12,0,12,64
2014,13,5,13,69
2014,14,11,14,80
2014,15,9,15,89
2014,16,0,16,89
2014,17,0,17,89
2014,18,10,18,99
2014,19,11,19,110
2014,20,11,20,121
2014,21,16,21,137
2014,22,19,22,156
2014,23,26,23,182
2014,24,0,24,182
2014,25,0,25,182
2014,26,12,26,194
2014,27,21,27,215
2014,28,27,28,242
2014,29,18,29,260
2014,30,24,30,284
2014,31,25,31,309
2014,32,20,32,329
2014,33,0,33,329
2014,34,22,34,351
2014,35,23,35,374
2014,36,19,36,393
2014,37,0,37,393
2014,38,0,38,393
2014,39,12,39,405
2014,40,0,40,405
2014,41,15,41,420
2014,42,13,42,433
2014,43,14,43,447
2014,44,22,44,469
2014,45,12,45,481
2014,46,16,46,497
2014,47,0,47,497
2014,48,2,48,499
2014,49,9,49,508
2014,50,17,50,525
2014,51,21,51,546
2014,52,11,52,557
2014,53,9,53,566
2015,1,10,54,576
2015,2,6,55,582
2015,3,13,56,595
2015,4,6,57,601
2015,5,13,58,614
2015,6,12,59,626
2015,7,10,60,636
2015,8,5,61,641
2015,9,0,62,641
2015,10,0,63,641
2015,11,0,64,641
2015,12,0,65,641
2015,13,0,66,641
2015,14,0,67,641
2015,15,0,68,641
2015,16,0,69,641
2015,17,0,70,641
2015,18,0,71,641
2015,19,0,72,641
2015,20,0,73,641
2015,21,0,74,641
2015,22,0,75,641
2015,23,0,76,641
2015,24,0,77,641
2015,25,0,78,641
2015,26,0,79,641
2015,27,0,80,641
2015,28,0,81,641
2015,29,0,82,641
2015,30,0,83,641
2015,31,0,84,641
2015,32,0,85,641
2015,33,0,86,641
2015,34,0,87,641
2015,35,0,88,641
2015,36,0,89,641
2015,37,0,90,641
2015,38,0,91,641
2015,39,0,92,641
2015,40,0,93,641
2015,41,0,94,641
2015,42,0,95,641
2015,43,0,96,641
2015,44,0,97,641
2015,45,0,98,641
2015,46,0,99,641
2015,47,0,100,641
2015,48,0,101,641
2015,49,0,102,641
2015,50,0,103,641
2015,51,0,104,641
2015,52,0,105,641
2016,1,0,106,641
2016,2,0,107,641
2016,3,0,108,641
2016,4,0,109,641
2016,5,0,110,641
2016,6,0,111,641
2016,7,0,112,641
2016,8,0,113,641
2016,9,0,114,641
2016,10,0,115,641
2016,11,0,116,641
2016,12,0,117,641
2016,13,0,118,641
2016,14,0,119,641
2016,15,0,120,641
2016,16,0,121,641
2016,17,0,122,641
2016,18,0,123,641
2016,19,0,124,641
2016,20,0,125,641
2016,21,0,126,641
2016,22,0,127,641
2016,23,0,128,641
2016,24,0,129,641
2016,25,0,130,641
2016,26,0,131,641
2016,27,0,132,641
2016,28,0,133,641
2016,29,0,134,641
2016,30,0,135,641
2016,31,0,136,641
2016,32,0,137,641
2016,33,0,138,641
2016,34,0,139,641
2016,35,0,140,641
2016,36,0,141,641
2016,37,0,142,641
2016,38,0,143,641
2016,39,0,144,641
2016,40,0,145,641
2016,41,0,146,641
2016,42,0,147,641
2016,43,0,148,641
2016,44,0,149,641
2016,45,0,150,641
2016,46,0,151,641
2016,47,0,152,641
2016,48,17,153,658
2016,49,0,154,658
2016,50,0,155,658
2016,51,0,156,658
2016,52,0,157,658
2017,1,0,158,658
2017,2,0,159,658
2017,3,0,160,658
2017,4,7,161,665
2017,5,0,162,665
2017,6,11,163,676
2017,7,3,164,679
2017,8,7,165,686
2017,9,12,166,698
2017,10,0,167,698
2017,11,7,168,705
2017,12,9,169,714
2017,13,7,170,721
2017,14,15,171,736
2017,15,18,172,754
