Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,1,12,1
2014,13,0,13,1
2014,14,1,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,1,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,0,31,3
2014,32,0,32,3
2014,33,0,33,3
2014,34,1,34,4
2014,35,0,35,4
2014,36,0,36,4
2014,37,0,37,4
2014,38,0,38,4
2014,39,2,39,6
2014,40,0,40,6
2014,41,0,41,6
2014,42,0,42,6
2014,43,0,43,6
2014,44,0,44,6
2014,45,2,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,0,50,8
2014,51,1,51,9
2014,52,0,52,9
2014,53,0,53,9
2015,1,0,54,9
2015,2,0,55,9
2015,3,0,56,9
2015,4,0,57,9
2015,5,0,58,9
2015,6,0,59,9
2015,7,0,60,9
2015,8,0,61,9
2015,9,0,62,9
2015,10,1,63,10
2015,11,0,64,10
2015,12,0,65,10
2015,13,0,66,10
2015,14,0,67,10
2015,15,0,68,10
2015,16,0,69,10
2015,17,0,70,10
2015,18,0,71,10
2015,19,0,72,10
2015,20,0,73,10
2015,21,0,74,10
2015,22,0,75,10
2015,23,0,76,10
2015,24,0,77,10
2015,25,0,78,10
2015,26,0,79,10
2015,27,0,80,10
2015,28,0,81,10
2015,29,2,82,12
2015,30,0,83,12
2015,31,2,84,14
2015,32,1,85,15
2015,33,1,86,16
2015,34,1,87,17
2015,35,0,88,17
2015,36,0,89,17
2015,37,1,90,18
2015,38,2,91,20
2015,39,0,92,20
2015,40,0,93,20
2015,41,1,94,21
2015,42,0,95,21
2015,43,0,96,21
2015,44,0,97,21
2015,45,0,98,21
2015,46,1,99,22
2015,47,0,100,22
2015,48,0,101,22
2015,49,0,102,22
2015,50,0,103,22
2015,51,0,104,22
2015,52,0,105,22
2016,1,1,106,23
2016,2,0,107,23
2016,3,1,108,24
2016,4,2,109,26
2016,5,0,110,26
2016,6,0,111,26
2016,7,0,112,26
2016,8,0,113,26
2016,9,0,114,26
2016,10,0,115,26
2016,11,0,116,26
2016,12,0,117,26
2016,13,0,118,26
2016,14,0,119,26
2016,15,0,120,26
2016,16,0,121,26
2016,17,1,122,27
2016,18,1,123,28
2016,19,0,124,28
2016,20,0,125,28
2016,21,0,126,28
2016,22,0,127,28
2016,23,0,128,28
2016,24,0,129,28
2016,25,0,130,28
2016,26,1,131,29
2016,27,0,132,29
2016,28,0,133,29
2016,29,0,134,29
2016,30,0,135,29
2016,31,0,136,29
2016,32,0,137,29
2016,33,0,138,29
2016,34,1,139,30
2016,35,0,140,30
2016,36,2,141,32
2016,37,0,142,32
2016,38,0,143,32
2016,39,0,144,32
2016,40,0,145,32
2016,41,0,146,32
2016,42,0,147,32
2016,43,0,148,32
2016,44,0,149,32
2016,45,0,150,32
2016,46,0,151,32
2016,47,0,152,32
2016,48,0,153,32
2016,49,0,154,32
2016,50,0,155,32
2016,51,1,156,33
2016,52,0,157,33
2017,1,1,158,34
2017,2,0,159,34
2017,3,0,160,34
2017,4,0,161,34
2017,5,0,162,34
2017,6,0,163,34
2017,7,1,164,35
2017,8,0,165,35
2017,9,0,166,35
2017,10,1,167,36
2017,11,0,168,36
2017,12,1,169,37
2017,13,0,170,37
2017,14,0,171,37
2017,15,1,172,38
