Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,8,1,8
2014,2,10,2,18
2014,3,11,3,29
2014,4,21,4,50
2014,5,15,5,65
2014,6,27,6,92
2014,7,18,7,110
2014,8,10,8,120
2014,9,16,9,136
2014,10,10,10,146
2014,11,10,11,156
2014,12,9,12,165
2014,13,20,13,185
2014,14,20,14,205
2014,15,13,15,218
2014,16,22,16,240
2014,17,27,17,267
2014,18,30,18,297
2014,19,31,19,328
2014,20,21,20,349
2014,21,28,21,377
2014,22,39,22,416
2014,23,32,23,448
2014,24,0,24,448
2014,25,19,25,467
2014,26,32,26,499
2014,27,28,27,527
2014,28,35,28,562
2014,29,47,29,609
2014,30,30,30,639
2014,31,39,31,678
2014,32,22,32,700
2014,33,29,33,729
2014,34,29,34,758
2014,35,31,35,789
2014,36,34,36,823
2014,37,34,37,857
2014,38,38,38,895
2014,39,28,39,923
2014,40,24,40,947
2014,41,28,41,975
2014,42,23,42,998
2014,43,23,43,1021
2014,44,35,44,1056
2014,45,24,45,1080
2014,46,22,46,1102
2014,47,15,47,1117
2014,48,12,48,1129
2014,49,21,49,1150
2014,50,0,50,1150
2014,51,17,51,1167
2014,52,12,52,1179
2014,53,14,53,1193
2015,1,26,54,1219
2015,2,15,55,1234
2015,3,20,56,1254
2015,4,15,57,1269
2015,5,23,58,1292
2015,6,4,59,1296
2015,7,10,60,1306
2015,8,9,61,1315
2015,9,12,62,1327
2015,10,22,63,1349
2015,11,18,64,1367
2015,12,22,65,1389
2015,13,18,66,1407
2015,14,22,67,1429
2015,15,13,68,1442
2015,16,25,69,1467
2015,17,26,70,1493
2015,18,22,71,1515
2015,19,30,72,1545
2015,20,33,73,1578
2015,21,34,74,1612
2015,22,38,75,1650
2015,23,30,76,1680
2015,24,45,77,1725
2015,25,46,78,1771
2015,26,31,79,1802
2015,27,49,80,1851
2015,28,38,81,1889
2015,29,46,82,1935
2015,30,33,83,1968
2015,31,34,84,2002
2015,32,43,85,2045
2015,33,40,86,2085
2015,34,28,87,2113
2015,35,40,88,2153
2015,36,34,89,2187
2015,37,32,90,2219
2015,38,28,91,2247
2015,39,29,92,2276
2015,40,25,93,2301
2015,41,25,94,2326
2015,42,27,95,2353
2015,43,32,96,2385
2015,44,23,97,2408
2015,45,22,98,2430
2015,46,26,99,2456
2015,47,8,100,2464
2015,48,23,101,2487
2015,49,26,102,2513
2015,50,17,103,2530
2015,51,12,104,2542
2015,52,21,105,2563
2016,1,30,106,2593
2016,2,19,107,2612
2016,3,22,108,2634
2016,4,15,109,2649
2016,5,13,110,2662
2016,6,15,111,2677
2016,7,16,112,2693
2016,8,15,113,2708
2016,9,13,114,2721
2016,10,41,115,2762
2016,11,23,116,2785
2016,12,14,117,2799
2016,13,17,118,2816
2016,14,26,119,2842
2016,15,26,120,2868
2016,16,26,121,2894
2016,17,25,122,2919
2016,18,29,123,2948
2016,19,30,124,2978
2016,20,46,125,3024
2016,21,30,126,3054
2016,22,27,127,3081
2016,23,36,128,3117
2016,24,34,129,3151
2016,25,38,130,3189
2016,26,45,131,3234
2016,27,44,132,3278
2016,28,47,133,3325
2016,29,50,134,3375
2016,30,44,135,3419
2016,31,49,136,3468
2016,32,56,137,3524
2016,33,44,138,3568
2016,34,71,139,3639
2016,35,42,140,3681
2016,36,50,141,3731
2016,37,52,142,3783
2016,38,43,143,3826
2016,39,41,144,3867
2016,40,32,145,3899
2016,41,27,146,3926
2016,42,23,147,3949
2016,43,24,148,3973
2016,44,19,149,3992
2016,45,27,150,4019
2016,46,26,151,4045
2016,47,21,152,4066
2016,48,23,153,4089
2016,49,21,154,4110
2016,50,18,155,4128
2016,51,0,156,4128
2016,52,0,157,4128
2017,1,21,158,4149
2017,2,8,159,4157
2017,3,21,160,4178
2017,4,18,161,4196
2017,5,8,162,4204
2017,6,0,163,4204
2017,7,11,164,4215
2017,8,13,165,4228
2017,9,19,166,4247
2017,10,17,167,4264
2017,11,0,168,4264
2017,12,16,169,4280
2017,13,20,170,4300
2017,14,25,171,4325
2017,15,20,172,4345
