Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,4,1,4
2014,2,8,2,12
2014,3,4,3,16
2014,4,4,4,20
2014,5,7,5,27
2014,6,9,6,36
2014,7,8,7,44
2014,8,5,8,49
2014,9,3,9,52
2014,10,2,10,54
2014,11,1,11,55
2014,12,2,12,57
2014,13,12,13,69
2014,14,5,14,74
2014,15,4,15,78
2014,16,10,16,88
2014,17,18,17,106
2014,18,13,18,119
2014,19,10,19,129
2014,20,11,20,140
2014,21,4,21,144
2014,22,6,22,150
2014,23,13,23,163
2014,24,10,24,173
2014,25,17,25,190
2014,26,20,26,210
2014,27,8,27,218
2014,28,18,28,236
2014,29,25,29,261
2014,30,16,30,277
2014,31,22,31,299
2014,32,16,32,315
2014,33,19,33,334
2014,34,13,34,347
2014,35,26,35,373
2014,36,25,36,398
2014,37,24,37,422
2014,38,19,38,441
2014,39,15,39,456
2014,40,7,40,463
2014,41,13,41,476
2014,42,11,42,487
2014,43,12,43,499
2014,44,20,44,519
2014,45,4,45,523
2014,46,7,46,530
2014,47,9,47,539
2014,48,3,48,542
2014,49,7,49,549
2014,50,9,50,558
2014,51,6,51,564
2014,52,2,52,566
2014,53,3,53,569
2015,1,6,54,575
2015,2,6,55,581
2015,3,5,56,586
2015,4,3,57,589
2015,5,7,58,596
2015,6,4,59,600
2015,7,4,60,604
2015,8,4,61,608
2015,9,4,62,612
2015,10,5,63,617
2015,11,7,64,624
2015,12,4,65,628
2015,13,3,66,631
2015,14,4,67,635
2015,15,12,68,647
2015,16,9,69,656
2015,17,10,70,666
2015,18,8,71,674
2015,19,6,72,680
2015,20,9,73,689
2015,21,14,74,703
2015,22,19,75,722
2015,23,12,76,734
2015,24,18,77,752
2015,25,10,78,762
2015,26,17,79,779
2015,27,12,80,791
2015,28,19,81,810
2015,29,18,82,828
2015,30,17,83,845
2015,31,11,84,856
2015,32,14,85,870
2015,33,8,86,878
2015,34,10,87,888
2015,35,6,88,894
2015,36,17,89,911
2015,37,8,90,919
2015,38,15,91,934
2015,39,8,92,942
2015,40,8,93,950
2015,41,12,94,962
2015,42,8,95,970
2015,43,10,96,980
2015,44,15,97,995
2015,45,7,98,1002
2015,46,12,99,1014
2015,47,5,100,1019
2015,48,3,101,1022
2015,49,7,102,1029
2015,50,7,103,1036
2015,51,6,104,1042
2015,52,0,105,1042
2016,1,6,106,1048
2016,2,5,107,1053
2016,3,2,108,1055
2016,4,7,109,1062
2016,5,8,110,1070
2016,6,5,111,1075
2016,7,5,112,1080
2016,8,7,113,1087
2016,9,3,114,1090
2016,10,9,115,1099
2016,11,7,116,1106
2016,12,3,117,1109
2016,13,10,118,1119
2016,14,8,119,1127
2016,15,14,120,1141
2016,16,6,121,1147
2016,17,16,122,1163
2016,18,14,123,1177
2016,19,12,124,1189
2016,20,10,125,1199
2016,21,8,126,1207
2016,22,10,127,1217
2016,23,7,128,1224
2016,24,17,129,1241
2016,25,7,130,1248
2016,26,17,131,1265
2016,27,11,132,1276
2016,28,15,133,1291
2016,29,13,134,1304
2016,30,11,135,1315
2016,31,29,136,1344
2016,32,18,137,1362
2016,33,14,138,1376
2016,34,11,139,1387
2016,35,12,140,1399
2016,36,7,141,1406
2016,37,24,142,1430
2016,38,14,143,1444
2016,39,22,144,1466
2016,40,12,145,1478
2016,41,9,146,1487
2016,42,12,147,1499
2016,43,12,148,1511
2016,44,10,149,1521
2016,45,4,150,1525
2016,46,14,151,1539
2016,47,6,152,1545
2016,48,8,153,1553
2016,49,12,154,1565
2016,50,10,155,1575
2016,51,10,156,1585
2016,52,4,157,1589
2017,1,3,158,1592
2017,2,4,159,1596
2017,3,6,160,1602
2017,4,10,161,1612
2017,5,6,162,1618
2017,6,3,163,1621
2017,7,3,164,1624
2017,8,2,165,1626
2017,9,4,166,1630
2017,10,1,167,1631
2017,11,3,168,1634
2017,12,1,169,1635
2017,13,4,170,1639
2017,14,4,171,1643
2017,15,4,172,1647
