Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,5,4,6
2014,5,2,5,8
2014,6,2,6,10
2014,7,0,7,10
2014,8,0,8,10
2014,9,0,9,10
2014,10,0,10,10
2014,11,0,11,10
2014,12,1,12,11
2014,13,0,13,11
2014,14,0,14,11
2014,15,0,15,11
2014,16,0,16,11
2014,17,0,17,11
2014,18,3,18,14
2014,19,1,19,15
2014,20,1,20,16
2014,21,1,21,17
2014,22,1,22,18
2014,23,0,23,18
2014,24,3,24,21
2014,25,1,25,22
2014,26,0,26,22
2014,27,0,27,22
2014,28,4,28,26
2014,29,3,29,29
2014,30,1,30,30
2014,31,2,31,32
2014,32,2,32,34
2014,33,0,33,34
2014,34,1,34,35
2014,35,0,35,35
2014,36,2,36,37
2014,37,1,37,38
2014,38,1,38,39
2014,39,1,39,40
2014,40,1,40,41
2014,41,0,41,41
2014,42,1,42,42
2014,43,0,43,42
2014,44,0,44,42
2014,45,2,45,44
2014,46,0,46,44
2014,47,0,47,44
2014,48,0,48,44
2014,49,1,49,45
2014,50,3,50,48
2014,51,2,51,50
2014,52,0,52,50
2014,53,0,53,50
2015,1,0,54,50
2015,2,0,55,50
2015,3,0,56,50
2015,4,2,57,52
2015,5,0,58,52
2015,6,1,59,53
2015,7,0,60,53
2015,8,1,61,54
2015,9,0,62,54
2015,10,1,63,55
2015,11,1,64,56
2015,12,1,65,57
2015,13,1,66,58
2015,14,1,67,59
2015,15,0,68,59
2015,16,0,69,59
2015,17,2,70,61
2015,18,1,71,62
2015,19,1,72,63
2015,20,0,73,63
2015,21,0,74,63
2015,22,1,75,64
2015,23,2,76,66
2015,24,3,77,69
2015,25,1,78,70
2015,26,0,79,70
2015,27,1,80,71
2015,28,1,81,72
2015,29,3,82,75
2015,30,0,83,75
2015,31,0,84,75
2015,32,2,85,77
2015,33,0,86,77
2015,34,1,87,78
2015,35,1,88,79
2015,36,0,89,79
2015,37,0,90,79
2015,38,1,91,80
2015,39,1,92,81
2015,40,1,93,82
2015,41,1,94,83
2015,42,0,95,83
2015,43,1,96,84
2015,44,0,97,84
2015,45,0,98,84
2015,46,0,99,84
2015,47,0,100,84
2015,48,1,101,85
2015,49,0,102,85
2015,50,0,103,85
2015,51,1,104,86
2015,52,1,105,87
2016,1,0,106,87
2016,2,0,107,87
2016,3,0,108,87
2016,4,1,109,88
2016,5,1,110,89
2016,6,2,111,91
2016,7,1,112,92
2016,8,0,113,92
2016,9,0,114,92
2016,10,0,115,92
2016,11,1,116,93
2016,12,1,117,94
2016,13,1,118,95
2016,14,0,119,95
2016,15,0,120,95
2016,16,0,121,95
2016,17,4,122,99
2016,18,5,123,104
2016,19,0,124,104
2016,20,1,125,105
2016,21,3,126,108
2016,22,0,127,108
2016,23,0,128,108
2016,24,1,129,109
2016,25,2,130,111
2016,26,1,131,112
2016,27,2,132,114
2016,28,0,133,114
2016,29,1,134,115
2016,30,0,135,115
2016,31,1,136,116
2016,32,1,137,117
2016,33,0,138,117
2016,34,1,139,118
2016,35,0,140,118
2016,36,1,141,119
2016,37,1,142,120
2016,38,1,143,121
2016,39,0,144,121
2016,40,0,145,121
2016,41,0,146,121
2016,42,0,147,121
2016,43,0,148,121
2016,44,0,149,121
2016,45,0,150,121
2016,46,0,151,121
2016,47,0,152,121
2016,48,1,153,122
2016,49,0,154,122
2016,50,0,155,122
2016,51,0,156,122
2016,52,0,157,122
2017,1,0,158,122
2017,2,0,159,122
2017,3,0,160,122
2017,4,0,161,122
2017,5,0,162,122
2017,6,0,163,122
2017,7,0,164,122
2017,8,0,165,122
2017,9,0,166,122
2017,10,1,167,123
2017,11,0,168,123
2017,12,2,169,125
2017,13,0,170,125
2017,14,0,171,125
2017,15,0,172,125
