Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,1,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,1,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,2,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,2,26,7
2014,27,1,27,8
2014,28,1,28,9
2014,29,1,29,10
2014,30,2,30,12
2014,31,0,31,12
2014,32,2,32,14
2014,33,2,33,16
2014,34,0,34,16
2014,35,0,35,16
2014,36,3,36,19
2014,37,0,37,19
2014,38,0,38,19
2014,39,0,39,19
2014,40,0,40,19
2014,41,0,41,19
2014,42,1,42,20
2014,43,1,43,21
2014,44,0,44,21
2014,45,0,45,21
2014,46,0,46,21
2014,47,0,47,21
2014,48,0,48,21
2014,49,0,49,21
2014,50,0,50,21
2014,51,0,51,21
2014,52,0,52,21
2014,53,0,53,21
2015,1,0,54,21
2015,2,1,55,22
2015,3,1,56,23
2015,4,1,57,24
2015,5,0,58,24
2015,6,0,59,24
2015,7,0,60,24
2015,8,0,61,24
2015,9,0,62,24
2015,10,0,63,24
2015,11,0,64,24
2015,12,0,65,24
2015,13,0,66,24
2015,14,0,67,24
2015,15,1,68,25
2015,16,0,69,25
2015,17,1,70,26
2015,18,0,71,26
2015,19,1,72,27
2015,20,3,73,30
2015,21,0,74,30
2015,22,1,75,31
2015,23,2,76,33
2015,24,0,77,33
2015,25,0,78,33
2015,26,0,79,33
2015,27,0,80,33
2015,28,0,81,33
2015,29,0,82,33
2015,30,0,83,33
2015,31,0,84,33
2015,32,3,85,36
2015,33,0,86,36
2015,34,0,87,36
2015,35,0,88,36
2015,36,0,89,36
2015,37,0,90,36
2015,38,0,91,36
2015,39,1,92,37
2015,40,0,93,37
2015,41,0,94,37
2015,42,1,95,38
2015,43,0,96,38
2015,44,0,97,38
2015,45,0,98,38
2015,46,0,99,38
2015,47,0,100,38
2015,48,0,101,38
2015,49,0,102,38
2015,50,0,103,38
2015,51,0,104,38
2015,52,0,105,38
2016,1,0,106,38
2016,2,0,107,38
2016,3,0,108,38
2016,4,0,109,38
2016,5,0,110,38
2016,6,0,111,38
2016,7,0,112,38
2016,8,0,113,38
2016,9,0,114,38
2016,10,0,115,38
2016,11,0,116,38
2016,12,0,117,38
2016,13,0,118,38
2016,14,0,119,38
2016,15,0,120,38
2016,16,0,121,38
2016,17,0,122,38
2016,18,0,123,38
2016,19,0,124,38
2016,20,0,125,38
2016,21,0,126,38
2016,22,0,127,38
2016,23,1,128,39
2016,24,0,129,39
2016,25,0,130,39
2016,26,0,131,39
2016,27,0,132,39
2016,28,4,133,43
2016,29,0,134,43
2016,30,0,135,43
2016,31,0,136,43
2016,32,0,137,43
2016,33,1,138,44
2016,34,0,139,44
2016,35,0,140,44
2016,36,0,141,44
2016,37,0,142,44
2016,38,0,143,44
2016,39,0,144,44
2016,40,0,145,44
2016,41,0,146,44
2016,42,0,147,44
2016,43,0,148,44
2016,44,0,149,44
2016,45,0,150,44
2016,46,0,151,44
2016,47,0,152,44
2016,48,0,153,44
2016,49,1,154,45
2016,50,0,155,45
2016,51,0,156,45
2016,52,0,157,45
2017,1,0,158,45
2017,2,0,159,45
2017,3,0,160,45
2017,4,0,161,45
2017,5,1,162,46
2017,6,0,163,46
2017,7,0,164,46
2017,8,0,165,46
2017,9,0,166,46
2017,10,0,167,46
2017,11,0,168,46
2017,12,0,169,46
2017,13,0,170,46
2017,14,0,171,46
2017,15,0,172,46
