Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,1,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,0,41,1
2014,42,0,42,1
2014,43,0,43,1
2014,44,0,44,1
2014,45,0,45,1
2014,46,0,46,1
2014,47,1,47,2
2014,48,0,48,2
2014,49,0,49,2
2014,50,0,50,2
2014,51,0,51,2
2014,52,0,52,2
2014,53,0,53,2
2015,1,0,54,2
2015,2,0,55,2
2015,3,0,56,2
2015,4,0,57,2
2015,5,0,58,2
2015,6,0,59,2
2015,7,0,60,2
2015,8,1,61,3
2015,9,0,62,3
2015,10,2,63,5
2015,11,0,64,5
2015,12,1,65,6
2015,13,0,66,6
2015,14,0,67,6
2015,15,0,68,6
2015,16,0,69,6
2015,17,1,70,7
2015,18,1,71,8
2015,19,1,72,9
2015,20,1,73,10
2015,21,0,74,10
2015,22,1,75,11
2015,23,2,76,13
2015,24,1,77,14
2015,25,0,78,14
2015,26,1,79,15
2015,27,3,80,18
2015,28,3,81,21
2015,29,3,82,24
2015,30,6,83,30
2015,31,2,84,32
2015,32,3,85,35
2015,33,2,86,37
2015,34,1,87,38
2015,35,2,88,40
2015,36,3,89,43
2015,37,1,90,44
2015,38,0,91,44
2015,39,0,92,44
2015,40,1,93,45
2015,41,1,94,46
2015,42,3,95,49
2015,43,3,96,52
2015,44,0,97,52
2015,45,1,98,53
2015,46,2,99,55
2015,47,3,100,58
2015,48,3,101,61
2015,49,0,102,61
2015,50,3,103,64
2015,51,0,104,64
2015,52,2,105,66
2016,1,1,106,67
2016,2,1,107,68
2016,3,2,108,70
2016,4,1,109,71
2016,5,0,110,71
2016,6,0,111,71
2016,7,2,112,73
2016,8,3,113,76
2016,9,1,114,77
2016,10,0,115,77
2016,11,1,116,78
2016,12,1,117,79
2016,13,5,118,84
2016,14,2,119,86
2016,15,0,120,86
2016,16,1,121,87
2016,17,0,122,87
2016,18,0,123,87
2016,19,3,124,90
2016,20,1,125,91
2016,21,0,126,91
2016,22,0,127,91
2016,23,3,128,94
2016,24,1,129,95
2016,25,2,130,97
2016,26,1,131,98
2016,27,2,132,100
2016,28,6,133,106
2016,29,3,134,109
2016,30,1,135,110
2016,31,2,136,112
2016,32,4,137,116
2016,33,2,138,118
2016,34,3,139,121
2016,35,1,140,122
2016,36,1,141,123
2016,37,2,142,125
2016,38,4,143,129
2016,39,1,144,130
2016,40,7,145,137
2016,41,2,146,139
2016,42,2,147,141
2016,43,2,148,143
2016,44,1,149,144
2016,45,1,150,145
2016,46,0,151,145
2016,47,0,152,145
2016,48,3,153,148
2016,49,5,154,153
2016,50,1,155,154
2016,51,2,156,156
2016,52,3,157,159
2017,1,0,158,159
2017,2,0,159,159
2017,3,0,160,159
2017,4,2,161,161
2017,5,3,162,164
2017,6,2,163,166
2017,7,0,164,166
2017,8,2,165,168
2017,9,2,166,170
2017,10,0,167,170
2017,11,0,168,170
2017,12,2,169,172
2017,13,3,170,175
2017,14,1,171,176
2017,15,3,172,179
