Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,1,4,2
2014,5,1,5,3
2014,6,2,6,5
2014,7,1,7,6
2014,8,0,8,6
2014,9,2,9,8
2014,10,2,10,10
2014,11,2,11,12
2014,12,1,12,13
2014,13,1,13,14
2014,14,2,14,16
2014,15,0,15,16
2014,16,0,16,16
2014,17,0,17,16
2014,18,0,18,16
2014,19,0,19,16
2014,20,4,20,20
2014,21,0,21,20
2014,22,1,22,21
2014,23,0,23,21
2014,24,2,24,23
2014,25,2,25,25
2014,26,0,26,25
2014,27,1,27,26
2014,28,2,28,28
2014,29,1,29,29
2014,30,2,30,31
2014,31,1,31,32
2014,32,1,32,33
2014,33,0,33,33
2014,34,0,34,33
2014,35,0,35,33
2014,36,0,36,33
2014,37,0,37,33
2014,38,0,38,33
2014,39,0,39,33
2014,40,1,40,34
2014,41,0,41,34
2014,42,0,42,34
2014,43,1,43,35
2014,44,1,44,36
2014,45,0,45,36
2014,46,1,46,37
2014,47,0,47,37
2014,48,2,48,39
2014,49,0,49,39
2014,50,1,50,40
2014,51,0,51,40
2014,52,0,52,40
2014,53,0,53,40
2015,1,0,54,40
2015,2,0,55,40
2015,3,1,56,41
2015,4,1,57,42
2015,5,0,58,42
2015,6,0,59,42
2015,7,0,60,42
2015,8,0,61,42
2015,9,0,62,42
2015,10,0,63,42
2015,11,0,64,42
2015,12,1,65,43
2015,13,2,66,45
2015,14,0,67,45
2015,15,0,68,45
2015,16,0,69,45
2015,17,1,70,46
2015,18,0,71,46
2015,19,0,72,46
2015,20,0,73,46
2015,21,0,74,46
2015,22,0,75,46
2015,23,0,76,46
2015,24,1,77,47
2015,25,0,78,47
2015,26,0,79,47
2015,27,0,80,47
2015,28,1,81,48
2015,29,2,82,50
2015,30,1,83,51
2015,31,0,84,51
2015,32,0,85,51
2015,33,1,86,52
2015,34,2,87,54
2015,35,0,88,54
2015,36,0,89,54
2015,37,0,90,54
2015,38,0,91,54
2015,39,0,92,54
2015,40,0,93,54
2015,41,1,94,55
2015,42,1,95,56
2015,43,1,96,57
2015,44,0,97,57
2015,45,0,98,57
2015,46,0,99,57
2015,47,0,100,57
2015,48,1,101,58
2015,49,0,102,58
2015,50,0,103,58
2015,51,4,104,62
2015,52,1,105,63
2016,1,1,106,64
2016,2,0,107,64
2016,3,0,108,64
2016,4,1,109,65
2016,5,0,110,65
2016,6,0,111,65
2016,7,0,112,65
2016,8,0,113,65
2016,9,0,114,65
2016,10,0,115,65
2016,11,0,116,65
2016,12,0,117,65
2016,13,0,118,65
2016,14,1,119,66
2016,15,0,120,66
2016,16,1,121,67
2016,17,1,122,68
2016,18,1,123,69
2016,19,1,124,70
2016,20,0,125,70
2016,21,0,126,70
2016,22,1,127,71
2016,23,1,128,72
2016,24,2,129,74
2016,25,3,130,77
2016,26,0,131,77
2016,27,2,132,79
2016,28,3,133,82
2016,29,1,134,83
2016,30,1,135,84
2016,31,1,136,85
2016,32,0,137,85
2016,33,0,138,85
2016,34,0,139,85
2016,35,1,140,86
2016,36,0,141,86
2016,37,0,142,86
2016,38,0,143,86
2016,39,0,144,86
2016,40,0,145,86
2016,41,0,146,86
2016,42,0,147,86
2016,43,0,148,86
2016,44,0,149,86
2016,45,0,150,86
2016,46,0,151,86
2016,47,0,152,86
2016,48,1,153,87
2016,49,0,154,87
2016,50,1,155,88
2016,51,1,156,89
2016,52,0,157,89
2017,1,0,158,89
2017,2,0,159,89
2017,3,0,160,89
2017,4,0,161,89
2017,5,0,162,89
2017,6,0,163,89
2017,7,0,164,89
2017,8,0,165,89
2017,9,0,166,89
2017,10,0,167,89
2017,11,0,168,89
2017,12,0,169,89
2017,13,1,170,90
2017,14,1,171,91
2017,15,0,172,91
