Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,1,13,1
2014,14,1,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,1,30,3
2014,31,1,31,4
2014,32,1,32,5
2014,33,0,33,5
2014,34,1,34,6
2014,35,1,35,7
2014,36,0,36,7
2014,37,1,37,8
2014,38,0,38,8
2014,39,1,39,9
2014,40,0,40,9
2014,41,0,41,9
2014,42,1,42,10
2014,43,2,43,12
2014,44,0,44,12
2014,45,0,45,12
2014,46,0,46,12
2014,47,0,47,12
2014,48,0,48,12
2014,49,1,49,13
2014,50,0,50,13
2014,51,0,51,13
2014,52,0,52,13
2014,53,0,53,13
2015,1,0,54,13
2015,2,0,55,13
2015,3,0,56,13
2015,4,0,57,13
2015,5,0,58,13
2015,6,0,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,1,62,14
2015,10,0,63,14
2015,11,0,64,14
2015,12,0,65,14
2015,13,0,66,14
2015,14,1,67,15
2015,15,0,68,15
2015,16,0,69,15
2015,17,0,70,15
2015,18,1,71,16
2015,19,1,72,17
2015,20,0,73,17
2015,21,0,74,17
2015,22,0,75,17
2015,23,0,76,17
2015,24,0,77,17
2015,25,0,78,17
2015,26,1,79,18
2015,27,0,80,18
2015,28,0,81,18
2015,29,0,82,18
2015,30,2,83,20
2015,31,1,84,21
2015,32,3,85,24
2015,33,1,86,25
2015,34,0,87,25
2015,35,0,88,25
2015,36,1,89,26
2015,37,0,90,26
2015,38,1,91,27
2015,39,0,92,27
2015,40,0,93,27
2015,41,0,94,27
2015,42,0,95,27
2015,43,0,96,27
2015,44,0,97,27
2015,45,0,98,27
2015,46,0,99,27
2015,47,0,100,27
2015,48,0,101,27
2015,49,1,102,28
2015,50,0,103,28
2015,51,0,104,28
2015,52,0,105,28
2016,1,0,106,28
2016,2,0,107,28
2016,3,0,108,28
2016,4,0,109,28
2016,5,0,110,28
2016,6,0,111,28
2016,7,0,112,28
2016,8,0,113,28
2016,9,0,114,28
2016,10,0,115,28
2016,11,0,116,28
2016,12,1,117,29
2016,13,0,118,29
2016,14,0,119,29
2016,15,0,120,29
2016,16,0,121,29
2016,17,0,122,29
2016,18,2,123,31
2016,19,0,124,31
2016,20,1,125,32
2016,21,1,126,33
2016,22,0,127,33
2016,23,0,128,33
2016,24,0,129,33
2016,25,2,130,35
2016,26,1,131,36
2016,27,0,132,36
2016,28,2,133,38
2016,29,1,134,39
2016,30,0,135,39
2016,31,3,136,42
2016,32,1,137,43
2016,33,0,138,43
2016,34,0,139,43
2016,35,0,140,43
2016,36,1,141,44
2016,37,0,142,44
2016,38,0,143,44
2016,39,2,144,46
2016,40,0,145,46
2016,41,0,146,46
2016,42,0,147,46
2016,43,0,148,46
2016,44,0,149,46
2016,45,0,150,46
2016,46,0,151,46
2016,47,0,152,46
2016,48,1,153,47
2016,49,1,154,48
2016,50,0,155,48
2016,51,0,156,48
2016,52,0,157,48
2017,1,0,158,48
2017,2,0,159,48
2017,3,0,160,48
2017,4,0,161,48
2017,5,0,162,48
2017,6,0,163,48
2017,7,0,164,48
2017,8,0,165,48
2017,9,0,166,48
2017,10,0,167,48
2017,11,0,168,48
2017,12,0,169,48
2017,13,1,170,49
2017,14,1,171,50
2017,15,0,172,50
