Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,3,6,4
2014,7,1,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,2,11,7
2014,12,0,12,7
2014,13,3,13,10
2014,14,0,14,10
2014,15,4,15,14
2014,16,0,16,14
2014,17,0,17,14
2014,18,1,18,15
2014,19,0,19,15
2014,20,1,20,16
2014,21,0,21,16
2014,22,5,22,21
2014,23,5,23,26
2014,24,0,24,26
2014,25,0,25,26
2014,26,3,26,29
2014,27,4,27,33
2014,28,6,28,39
2014,29,3,29,42
2014,30,5,30,47
2014,31,0,31,47
2014,32,3,32,50
2014,33,0,33,50
2014,34,3,34,53
2014,35,1,35,54
2014,36,2,36,56
2014,37,0,37,56
2014,38,0,38,56
2014,39,1,39,57
2014,40,0,40,57
2014,41,2,41,59
2014,42,2,42,61
2014,43,4,43,65
2014,44,5,44,70
2014,45,4,45,74
2014,46,0,46,74
2014,47,0,47,74
2014,48,1,48,75
2014,49,0,49,75
2014,50,1,50,76
2014,51,1,51,77
2014,52,0,52,77
2014,53,0,53,77
2015,1,0,54,77
2015,2,1,55,78
2015,3,3,56,81
2015,4,2,57,83
2015,5,0,58,83
2015,6,1,59,84
2015,7,0,60,84
2015,8,1,61,85
2015,9,0,62,85
2015,10,0,63,85
2015,11,0,64,85
2015,12,0,65,85
2015,13,0,66,85
2015,14,0,67,85
2015,15,0,68,85
2015,16,0,69,85
2015,17,0,70,85
2015,18,0,71,85
2015,19,0,72,85
2015,20,0,73,85
2015,21,0,74,85
2015,22,0,75,85
2015,23,0,76,85
2015,24,0,77,85
2015,25,0,78,85
2015,26,0,79,85
2015,27,0,80,85
2015,28,0,81,85
2015,29,0,82,85
2015,30,0,83,85
2015,31,0,84,85
2015,32,0,85,85
2015,33,0,86,85
2015,34,0,87,85
2015,35,0,88,85
2015,36,0,89,85
2015,37,0,90,85
2015,38,0,91,85
2015,39,0,92,85
2015,40,0,93,85
2015,41,0,94,85
2015,42,0,95,85
2015,43,0,96,85
2015,44,0,97,85
2015,45,0,98,85
2015,46,0,99,85
2015,47,0,100,85
2015,48,0,101,85
2015,49,0,102,85
2015,50,0,103,85
2015,51,0,104,85
2015,52,0,105,85
2016,1,0,106,85
2016,2,0,107,85
2016,3,0,108,85
2016,4,0,109,85
2016,5,0,110,85
2016,6,0,111,85
2016,7,0,112,85
2016,8,0,113,85
2016,9,0,114,85
2016,10,0,115,85
2016,11,0,116,85
2016,12,0,117,85
2016,13,0,118,85
2016,14,0,119,85
2016,15,0,120,85
2016,16,0,121,85
2016,17,0,122,85
2016,18,0,123,85
2016,19,0,124,85
2016,20,0,125,85
2016,21,0,126,85
2016,22,0,127,85
2016,23,0,128,85
2016,24,0,129,85
2016,25,0,130,85
2016,26,0,131,85
2016,27,0,132,85
2016,28,0,133,85
2016,29,0,134,85
2016,30,0,135,85
2016,31,0,136,85
2016,32,0,137,85
2016,33,0,138,85
2016,34,0,139,85
2016,35,0,140,85
2016,36,0,141,85
2016,37,0,142,85
2016,38,0,143,85
2016,39,0,144,85
2016,40,0,145,85
2016,41,0,146,85
2016,42,0,147,85
2016,43,0,148,85
2016,44,0,149,85
2016,45,0,150,85
2016,46,0,151,85
2016,47,0,152,85
2016,48,4,153,89
2016,49,0,154,89
2016,50,0,155,89
2016,51,0,156,89
2016,52,0,157,89
2017,1,0,158,89
2017,2,0,159,89
2017,3,0,160,89
2017,4,3,161,92
2017,5,0,162,92
2017,6,1,163,93
2017,7,1,164,94
2017,8,1,165,95
2017,9,2,166,97
2017,10,0,167,97
2017,11,3,168,100
2017,12,2,169,102
2017,13,2,170,104
2017,14,3,171,107
2017,15,8,172,115
