Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,1,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,2,23,5
2014,24,1,24,6
2014,25,2,25,8
2014,26,0,26,8
2014,27,0,27,8
2014,28,1,28,9
2014,29,0,29,9
2014,30,0,30,9
2014,31,0,31,9
2014,32,1,32,10
2014,33,2,33,12
2014,34,1,34,13
2014,35,0,35,13
2014,36,1,36,14
2014,37,1,37,15
2014,38,1,38,16
2014,39,0,39,16
2014,40,0,40,16
2014,41,0,41,16
2014,42,0,42,16
2014,43,1,43,17
2014,44,0,44,17
2014,45,0,45,17
2014,46,0,46,17
2014,47,0,47,17
2014,48,0,48,17
2014,49,0,49,17
2014,50,0,50,17
2014,51,0,51,17
2014,52,1,52,18
2014,53,0,53,18
2015,1,0,54,18
2015,2,0,55,18
2015,3,2,56,20
2015,4,1,57,21
2015,5,0,58,21
2015,6,1,59,22
2015,7,0,60,22
2015,8,0,61,22
2015,9,0,62,22
2015,10,1,63,23
2015,11,1,64,24
2015,12,0,65,24
2015,13,0,66,24
2015,14,0,67,24
2015,15,0,68,24
2015,16,1,69,25
2015,17,0,70,25
2015,18,2,71,27
2015,19,0,72,27
2015,20,0,73,27
2015,21,2,74,29
2015,22,2,75,31
2015,23,1,76,32
2015,24,1,77,33
2015,25,3,78,36
2015,26,1,79,37
2015,27,1,80,38
2015,28,1,81,39
2015,29,0,82,39
2015,30,1,83,40
2015,31,0,84,40
2015,32,3,85,43
2015,33,6,86,49
2015,34,1,87,50
2015,35,0,88,50
2015,36,1,89,51
2015,37,0,90,51
2015,38,2,91,53
2015,39,0,92,53
2015,40,1,93,54
2015,41,0,94,54
2015,42,0,95,54
2015,43,5,96,59
2015,44,4,97,63
2015,45,2,98,65
2015,46,1,99,66
2015,47,1,100,67
2015,48,0,101,67
2015,49,0,102,67
2015,50,0,103,67
2015,51,1,104,68
2015,52,1,105,69
2016,1,0,106,69
2016,2,0,107,69
2016,3,0,108,69
2016,4,1,109,70
2016,5,1,110,71
2016,6,0,111,71
2016,7,0,112,71
2016,8,0,113,71
2016,9,1,114,72
2016,10,1,115,73
2016,11,0,116,73
2016,12,1,117,74
2016,13,0,118,74
2016,14,0,119,74
2016,15,1,120,75
2016,16,0,121,75
2016,17,2,122,77
2016,18,0,123,77
2016,19,2,124,79
2016,20,1,125,80
2016,21,0,126,80
2016,22,0,127,80
2016,23,2,128,82
2016,24,2,129,84
2016,25,1,130,85
2016,26,3,131,88
2016,27,0,132,88
2016,28,1,133,89
2016,29,1,134,90
2016,30,1,135,91
2016,31,0,136,91
2016,32,0,137,91
2016,33,2,138,93
2016,34,2,139,95
2016,35,0,140,95
2016,36,0,141,95
2016,37,1,142,96
2016,38,1,143,97
2016,39,1,144,98
2016,40,1,145,99
2016,41,0,146,99
2016,42,0,147,99
2016,43,0,148,99
2016,44,1,149,100
2016,45,1,150,101
2016,46,3,151,104
2016,47,0,152,104
2016,48,5,153,109
2016,49,0,154,109
2016,50,0,155,109
2016,51,0,156,109
2016,52,0,157,109
2017,1,0,158,109
2017,2,0,159,109
2017,3,0,160,109
2017,4,0,161,109
2017,5,0,162,109
2017,6,1,163,110
2017,7,1,164,111
2017,8,0,165,111
2017,9,0,166,111
2017,10,1,167,112
2017,11,0,168,112
2017,12,0,169,112
2017,13,0,170,112
2017,14,1,171,113
2017,15,0,172,113
