Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,2,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,0,31,3
2014,32,2,32,5
2014,33,2,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,1,40,8
2014,41,0,41,8
2014,42,3,42,11
2014,43,2,43,13
2014,44,4,44,17
2014,45,1,45,18
2014,46,1,46,19
2014,47,0,47,19
2014,48,1,48,20
2014,49,3,49,23
2014,50,0,50,23
2014,51,0,51,23
2014,52,0,52,23
2014,53,0,53,23
2015,1,0,54,23
2015,2,0,55,23
2015,3,3,56,26
2015,4,1,57,27
2015,5,2,58,29
2015,6,1,59,30
2015,7,1,60,31
2015,8,1,61,32
2015,9,0,62,32
2015,10,1,63,33
2015,11,3,64,36
2015,12,4,65,40
2015,13,1,66,41
2015,14,0,67,41
2015,15,1,68,42
2015,16,3,69,45
2015,17,1,70,46
2015,18,1,71,47
2015,19,2,72,49
2015,20,0,73,49
2015,21,2,74,51
2015,22,2,75,53
2015,23,2,76,55
2015,24,5,77,60
2015,25,2,78,62
2015,26,2,79,64
2015,27,5,80,69
2015,28,1,81,70
2015,29,4,82,74
2015,30,4,83,78
2015,31,2,84,80
2015,32,2,85,82
2015,33,5,86,87
2015,34,1,87,88
2015,35,1,88,89
2015,36,0,89,89
2015,37,2,90,91
2015,38,0,91,91
2015,39,2,92,93
2015,40,0,93,93
2015,41,0,94,93
2015,42,0,95,93
2015,43,0,96,93
2015,44,0,97,93
2015,45,0,98,93
2015,46,0,99,93
2015,47,0,100,93
2015,48,0,101,93
2015,49,0,102,93
2015,50,0,103,93
2015,51,0,104,93
2015,52,0,105,93
2016,1,2,106,95
2016,2,2,107,97
2016,3,2,108,99
2016,4,0,109,99
2016,5,1,110,100
2016,6,2,111,102
2016,7,0,112,102
2016,8,2,113,104
2016,9,1,114,105
2016,10,0,115,105
2016,11,2,116,107
2016,12,1,117,108
2016,13,0,118,108
2016,14,0,119,108
2016,15,1,120,109
2016,16,4,121,113
2016,17,2,122,115
2016,18,1,123,116
2016,19,5,124,121
2016,20,6,125,127
2016,21,3,126,130
2016,22,1,127,131
2016,23,1,128,132
2016,24,1,129,133
2016,25,3,130,136
2016,26,5,131,141
2016,27,2,132,143
2016,28,0,133,143
2016,29,5,134,148
2016,30,3,135,151
2016,31,1,136,152
2016,32,0,137,152
2016,33,1,138,153
2016,34,2,139,155
2016,35,3,140,158
2016,36,4,141,162
2016,37,2,142,164
2016,38,1,143,165
2016,39,0,144,165
2016,40,0,145,165
2016,41,1,146,166
2016,42,0,147,166
2016,43,3,148,169
2016,44,2,149,171
2016,45,3,150,174
2016,46,1,151,175
2016,47,0,152,175
2016,48,2,153,177
2016,49,1,154,178
2016,50,2,155,180
2016,51,2,156,182
2016,52,0,157,182
2017,1,1,158,183
2017,2,1,159,184
2017,3,2,160,186
2017,4,1,161,187
2017,5,2,162,189
2017,6,0,163,189
2017,7,1,164,190
2017,8,1,165,191
2017,9,2,166,193
2017,10,1,167,194
2017,11,0,168,194
2017,12,4,169,198
2017,13,1,170,199
2017,14,0,171,199
2017,15,0,172,199
