Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,3,3,3
2014,4,0,4,3
2014,5,0,5,3
2014,6,0,6,3
2014,7,0,7,3
2014,8,0,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,1,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,2,17,6
2014,18,1,18,7
2014,19,0,19,7
2014,20,1,20,8
2014,21,0,21,8
2014,22,1,22,9
2014,23,0,23,9
2014,24,0,24,9
2014,25,0,25,9
2014,26,1,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,0,30,10
2014,31,3,31,13
2014,32,4,32,17
2014,33,1,33,18
2014,34,0,34,18
2014,35,0,35,18
2014,36,0,36,18
2014,37,0,37,18
2014,38,0,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,0,42,18
2014,43,0,43,18
2014,44,0,44,18
2014,45,1,45,19
2014,46,3,46,22
2014,47,0,47,22
2014,48,3,48,25
2014,49,4,49,29
2014,50,1,50,30
2014,51,0,51,30
2014,52,0,52,30
2014,53,0,53,30
2015,1,1,54,31
2015,2,4,55,35
2015,3,1,56,36
2015,4,0,57,36
2015,5,1,58,37
2015,6,1,59,38
2015,7,1,60,39
2015,8,0,61,39
2015,9,0,62,39
2015,10,0,63,39
2015,11,0,64,39
2015,12,1,65,40
2015,13,1,66,41
2015,14,0,67,41
2015,15,0,68,41
2015,16,1,69,42
2015,17,1,70,43
2015,18,2,71,45
2015,19,1,72,46
2015,20,1,73,47
2015,21,0,74,47
2015,22,2,75,49
2015,23,2,76,51
2015,24,0,77,51
2015,25,1,78,52
2015,26,1,79,53
2015,27,3,80,56
2015,28,4,81,60
2015,29,2,82,62
2015,30,0,83,62
2015,31,0,84,62
2015,32,3,85,65
2015,33,1,86,66
2015,34,2,87,68
2015,35,0,88,68
2015,36,0,89,68
2015,37,0,90,68
2015,38,3,91,71
2015,39,4,92,75
2015,40,2,93,77
2015,41,3,94,80
2015,42,3,95,83
2015,43,0,96,83
2015,44,5,97,88
2015,45,0,98,88
2015,46,0,99,88
2015,47,0,100,88
2015,48,2,101,90
2015,49,0,102,90
2015,50,0,103,90
2015,51,1,104,91
2015,52,1,105,92
2016,1,0,106,92
2016,2,0,107,92
2016,3,0,108,92
2016,4,0,109,92
2016,5,0,110,92
2016,6,0,111,92
2016,7,0,112,92
2016,8,0,113,92
2016,9,0,114,92
2016,10,0,115,92
2016,11,0,116,92
2016,12,0,117,92
2016,13,0,118,92
2016,14,0,119,92
2016,15,0,120,92
2016,16,0,121,92
2016,17,0,122,92
2016,18,0,123,92
2016,19,0,124,92
2016,20,0,125,92
2016,21,0,126,92
2016,22,0,127,92
2016,23,0,128,92
2016,24,0,129,92
2016,25,0,130,92
2016,26,0,131,92
2016,27,0,132,92
2016,28,0,133,92
2016,29,0,134,92
2016,30,0,135,92
2016,31,0,136,92
2016,32,0,137,92
2016,33,0,138,92
2016,34,0,139,92
2016,35,0,140,92
2016,36,0,141,92
2016,37,0,142,92
2016,38,0,143,92
2016,39,0,144,92
2016,40,0,145,92
2016,41,0,146,92
2016,42,0,147,92
2016,43,0,148,92
2016,44,0,149,92
2016,45,0,150,92
2016,46,0,151,92
2016,47,0,152,92
2016,48,0,153,92
2016,49,0,154,92
2016,50,0,155,92
2016,51,0,156,92
2016,52,0,157,92
2017,1,0,158,92
2017,2,0,159,92
2017,3,0,160,92
2017,4,0,161,92
2017,5,0,162,92
2017,6,0,163,92
2017,7,0,164,92
2017,8,0,165,92
2017,9,0,166,92
2017,10,0,167,92
2017,11,0,168,92
2017,12,0,169,92
2017,13,0,170,92
2017,14,0,171,92
2017,15,0,172,92
