Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,1,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,1,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,1,30,3
2014,31,0,31,3
2014,32,0,32,3
2014,33,0,33,3
2014,34,0,34,3
2014,35,0,35,3
2014,36,1,36,4
2014,37,1,37,5
2014,38,1,38,6
2014,39,0,39,6
2014,40,0,40,6
2014,41,0,41,6
2014,42,0,42,6
2014,43,0,43,6
2014,44,0,44,6
2014,45,0,45,6
2014,46,0,46,6
2014,47,1,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,0,50,7
2014,51,0,51,7
2014,52,0,52,7
2014,53,0,53,7
2015,1,0,54,7
2015,2,0,55,7
2015,3,0,56,7
2015,4,0,57,7
2015,5,0,58,7
2015,6,0,59,7
2015,7,0,60,7
2015,8,0,61,7
2015,9,0,62,7
2015,10,0,63,7
2015,11,0,64,7
2015,12,1,65,8
2015,13,0,66,8
2015,14,0,67,8
2015,15,0,68,8
2015,16,0,69,8
2015,17,0,70,8
2015,18,0,71,8
2015,19,0,72,8
2015,20,0,73,8
2015,21,0,74,8
2015,22,0,75,8
2015,23,0,76,8
2015,24,1,77,9
2015,25,0,78,9
2015,26,0,79,9
2015,27,2,80,11
2015,28,0,81,11
2015,29,1,82,12
2015,30,0,83,12
2015,31,0,84,12
2015,32,1,85,13
2015,33,0,86,13
2015,34,0,87,13
2015,35,0,88,13
2015,36,1,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,1,102,15
2015,50,0,103,15
2015,51,0,104,15
2015,52,0,105,15
2016,1,0,106,15
2016,2,0,107,15
2016,3,0,108,15
2016,4,0,109,15
2016,5,0,110,15
2016,6,0,111,15
2016,7,0,112,15
2016,8,0,113,15
2016,9,0,114,15
2016,10,0,115,15
2016,11,0,116,15
2016,12,0,117,15
2016,13,0,118,15
2016,14,0,119,15
2016,15,0,120,15
2016,16,0,121,15
2016,17,1,122,16
2016,18,0,123,16
2016,19,0,124,16
2016,20,0,125,16
2016,21,0,126,16
2016,22,0,127,16
2016,23,0,128,16
2016,24,0,129,16
2016,25,0,130,16
2016,26,0,131,16
2016,27,0,132,16
2016,28,0,133,16
2016,29,0,134,16
2016,30,0,135,16
2016,31,0,136,16
2016,32,2,137,18
2016,33,1,138,19
2016,34,0,139,19
2016,35,1,140,20
2016,36,1,141,21
2016,37,0,142,21
2016,38,0,143,21
2016,39,0,144,21
2016,40,0,145,21
2016,41,0,146,21
2016,42,0,147,21
2016,43,0,148,21
2016,44,0,149,21
2016,45,0,150,21
2016,46,1,151,22
2016,47,0,152,22
2016,48,0,153,22
2016,49,0,154,22
2016,50,0,155,22
2016,51,0,156,22
2016,52,0,157,22
2017,1,0,158,22
2017,2,0,159,22
2017,3,0,160,22
2017,4,0,161,22
2017,5,0,162,22
2017,6,0,163,22
2017,7,0,164,22
2017,8,0,165,22
2017,9,0,166,22
2017,10,0,167,22
2017,11,0,168,22
2017,12,0,169,22
2017,13,0,170,22
2017,14,0,171,22
2017,15,0,172,22
