Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,2,8,3
2014,9,0,9,3
2014,10,1,10,4
2014,11,1,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,1,16,6
2014,17,1,17,7
2014,18,0,18,7
2014,19,0,19,7
2014,20,1,20,8
2014,21,0,21,8
2014,22,0,22,8
2014,23,1,23,9
2014,24,1,24,10
2014,25,1,25,11
2014,26,1,26,12
2014,27,1,27,13
2014,28,1,28,14
2014,29,3,29,17
2014,30,0,30,17
2014,31,0,31,17
2014,32,2,32,19
2014,33,2,33,21
2014,34,3,34,24
2014,35,4,35,28
2014,36,0,36,28
2014,37,0,37,28
2014,38,1,38,29
2014,39,0,39,29
2014,40,0,40,29
2014,41,0,41,29
2014,42,0,42,29
2014,43,1,43,30
2014,44,0,44,30
2014,45,1,45,31
2014,46,4,46,35
2014,47,0,47,35
2014,48,0,48,35
2014,49,0,49,35
2014,50,0,50,35
2014,51,1,51,36
2014,52,0,52,36
2014,53,0,53,36
2015,1,0,54,36
2015,2,1,55,37
2015,3,1,56,38
2015,4,0,57,38
2015,5,0,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,0,62,38
2015,10,0,63,38
2015,11,0,64,38
2015,12,0,65,38
2015,13,1,66,39
2015,14,0,67,39
2015,15,1,68,40
2015,16,0,69,40
2015,17,1,70,41
2015,18,0,71,41
2015,19,2,72,43
2015,20,1,73,44
2015,21,0,74,44
2015,22,2,75,46
2015,23,1,76,47
2015,24,1,77,48
2015,25,0,78,48
2015,26,2,79,50
2015,27,0,80,50
2015,28,1,81,51
2015,29,0,82,51
2015,30,1,83,52
2015,31,1,84,53
2015,32,0,85,53
2015,33,2,86,55
2015,34,0,87,55
2015,35,0,88,55
2015,36,0,89,55
2015,37,0,90,55
2015,38,0,91,55
2015,39,0,92,55
2015,40,1,93,56
2015,41,1,94,57
2015,42,1,95,58
2015,43,1,96,59
2015,44,1,97,60
2015,45,1,98,61
2015,46,0,99,61
2015,47,0,100,61
2015,48,2,101,63
2015,49,0,102,63
2015,50,1,103,64
2015,51,1,104,65
2015,52,0,105,65
2016,1,0,106,65
2016,2,0,107,65
2016,3,0,108,65
2016,4,0,109,65
2016,5,0,110,65
2016,6,0,111,65
2016,7,0,112,65
2016,8,0,113,65
2016,9,0,114,65
2016,10,0,115,65
2016,11,1,116,66
2016,12,6,117,72
2016,13,1,118,73
2016,14,1,119,74
2016,15,0,120,74
2016,16,1,121,75
2016,17,0,122,75
2016,18,0,123,75
2016,19,3,124,78
2016,20,0,125,78
2016,21,0,126,78
2016,22,1,127,79
2016,23,0,128,79
2016,24,0,129,79
2016,25,0,130,79
2016,26,0,131,79
2016,27,1,132,80
2016,28,0,133,80
2016,29,1,134,81
2016,30,0,135,81
2016,31,1,136,82
2016,32,1,137,83
2016,33,2,138,85
2016,34,4,139,89
2016,35,1,140,90
2016,36,1,141,91
2016,37,0,142,91
2016,38,2,143,93
2016,39,1,144,94
2016,40,0,145,94
2016,41,2,146,96
2016,42,0,147,96
2016,43,0,148,96
2016,44,0,149,96
2016,45,0,150,96
2016,46,0,151,96
2016,47,0,152,96
2016,48,1,153,97
2016,49,1,154,98
2016,50,2,155,100
2016,51,0,156,100
2016,52,0,157,100
2017,1,0,158,100
2017,2,0,159,100
2017,3,0,160,100
2017,4,0,161,100
2017,5,0,162,100
2017,6,0,163,100
2017,7,0,164,100
2017,8,0,165,100
2017,9,0,166,100
2017,10,0,167,100
2017,11,0,168,100
2017,12,0,169,100
2017,13,0,170,100
2017,14,0,171,100
2017,15,0,172,100
