Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,1,16,1
2014,17,2,17,3
2014,18,1,18,4
2014,19,1,19,5
2014,20,1,20,6
2014,21,0,21,6
2014,22,2,22,8
2014,23,5,23,13
2014,24,6,24,19
2014,25,3,25,22
2014,26,2,26,24
2014,27,1,27,25
2014,28,1,28,26
2014,29,1,29,27
2014,30,3,30,30
2014,31,1,31,31
2014,32,0,32,31
2014,33,3,33,34
2014,34,2,34,36
2014,35,0,35,36
2014,36,0,36,36
2014,37,3,37,39
2014,38,5,38,44
2014,39,0,39,44
2014,40,2,40,46
2014,41,4,41,50
2014,42,0,42,50
2014,43,2,43,52
2014,44,1,44,53
2014,45,2,45,55
2014,46,2,46,57
2014,47,0,47,57
2014,48,2,48,59
2014,49,1,49,60
2014,50,0,50,60
2014,51,0,51,60
2014,52,0,52,60
2014,53,0,53,60
2015,1,0,54,60
2015,2,0,55,60
2015,3,0,56,60
2015,4,0,57,60
2015,5,0,58,60
2015,6,0,59,60
2015,7,0,60,60
2015,8,0,61,60
2015,9,0,62,60
2015,10,1,63,61
2015,11,0,64,61
2015,12,0,65,61
2015,13,0,66,61
2015,14,0,67,61
2015,15,0,68,61
2015,16,0,69,61
2015,17,0,70,61
2015,18,0,71,61
2015,19,0,72,61
2015,20,0,73,61
2015,21,0,74,61
2015,22,0,75,61
2015,23,0,76,61
2015,24,0,77,61
2015,25,0,78,61
2015,26,0,79,61
2015,27,0,80,61
2015,28,0,81,61
2015,29,0,82,61
2015,30,0,83,61
2015,31,0,84,61
2015,32,3,85,64
2015,33,4,86,68
2015,34,0,87,68
2015,35,0,88,68
2015,36,0,89,68
2015,37,0,90,68
2015,38,0,91,68
2015,39,0,92,68
2015,40,0,93,68
2015,41,1,94,69
2015,42,0,95,69
2015,43,0,96,69
2015,44,0,97,69
2015,45,0,98,69
2015,46,0,99,69
2015,47,0,100,69
2015,48,0,101,69
2015,49,0,102,69
2015,50,0,103,69
2015,51,0,104,69
2015,52,0,105,69
2016,1,0,106,69
2016,2,0,107,69
2016,3,0,108,69
2016,4,0,109,69
2016,5,0,110,69
2016,6,0,111,69
2016,7,0,112,69
2016,8,0,113,69
2016,9,0,114,69
2016,10,0,115,69
2016,11,0,116,69
2016,12,0,117,69
2016,13,0,118,69
2016,14,0,119,69
2016,15,0,120,69
2016,16,0,121,69
2016,17,0,122,69
2016,18,0,123,69
2016,19,0,124,69
2016,20,0,125,69
2016,21,0,126,69
2016,22,0,127,69
2016,23,0,128,69
2016,24,0,129,69
2016,25,0,130,69
2016,26,0,131,69
2016,27,0,132,69
2016,28,0,133,69
2016,29,0,134,69
2016,30,0,135,69
2016,31,0,136,69
2016,32,0,137,69
2016,33,0,138,69
2016,34,0,139,69
2016,35,0,140,69
2016,36,0,141,69
2016,37,0,142,69
2016,38,0,143,69
2016,39,0,144,69
2016,40,0,145,69
2016,41,0,146,69
2016,42,0,147,69
2016,43,0,148,69
2016,44,0,149,69
2016,45,0,150,69
2016,46,0,151,69
2016,47,0,152,69
2016,48,0,153,69
2016,49,0,154,69
2016,50,0,155,69
2016,51,0,156,69
2016,52,0,157,69
2017,1,4,158,73
2017,2,2,159,75
2017,3,6,160,81
2017,4,4,161,85
2017,5,9,162,94
2017,6,2,163,96
2017,7,3,164,99
2017,8,5,165,104
2017,9,0,166,104
2017,10,0,167,104
2017,11,0,168,104
2017,12,1,169,105
2017,13,3,170,108
2017,14,4,171,112
2017,15,2,172,114
