Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,0,25,0
2014,26,0,26,0
2014,27,0,27,0
2014,28,0,28,0
2014,29,0,29,0
2014,30,0,30,0
2014,31,0,31,0
2014,32,0,32,0
2014,33,0,33,0
2014,34,0,34,0
2014,35,0,35,0
2014,36,1,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,2,39,3
2014,40,0,40,3
2014,41,0,41,3
2014,42,1,42,4
2014,43,1,43,5
2014,44,0,44,5
2014,45,0,45,5
2014,46,0,46,5
2014,47,0,47,5
2014,48,0,48,5
2014,49,2,49,7
2014,50,1,50,8
2014,51,1,51,9
2014,52,0,52,9
2014,53,1,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,0,57,10
2015,5,0,58,10
2015,6,0,59,10
2015,7,0,60,10
2015,8,0,61,10
2015,9,1,62,11
2015,10,0,63,11
2015,11,2,64,13
2015,12,0,65,13
2015,13,0,66,13
2015,14,0,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,0,70,13
2015,18,0,71,13
2015,19,0,72,13
2015,20,0,73,13
2015,21,0,74,13
2015,22,0,75,13
2015,23,0,76,13
2015,24,0,77,13
2015,25,0,78,13
2015,26,0,79,13
2015,27,1,80,14
2015,28,0,81,14
2015,29,0,82,14
2015,30,0,83,14
2015,31,0,84,14
2015,32,0,85,14
2015,33,0,86,14
2015,34,0,87,14
2015,35,0,88,14
2015,36,0,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,0,102,14
2015,50,0,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,0,109,14
2016,5,0,110,14
2016,6,0,111,14
2016,7,0,112,14
2016,8,2,113,16
2016,9,0,114,16
2016,10,0,115,16
2016,11,0,116,16
2016,12,0,117,16
2016,13,0,118,16
2016,14,0,119,16
2016,15,0,120,16
2016,16,0,121,16
2016,17,1,122,17
2016,18,0,123,17
2016,19,1,124,18
2016,20,1,125,19
2016,21,0,126,19
2016,22,0,127,19
2016,23,0,128,19
2016,24,0,129,19
2016,25,2,130,21
2016,26,0,131,21
2016,27,0,132,21
2016,28,0,133,21
2016,29,0,134,21
2016,30,1,135,22
2016,31,0,136,22
2016,32,2,137,24
2016,33,1,138,25
2016,34,0,139,25
2016,35,0,140,25
2016,36,0,141,25
2016,37,0,142,25
2016,38,0,143,25
2016,39,0,144,25
2016,40,0,145,25
2016,41,0,146,25
2016,42,0,147,25
2016,43,0,148,25
2016,44,0,149,25
2016,45,1,150,26
2016,46,0,151,26
2016,47,0,152,26
2016,48,0,153,26
2016,49,0,154,26
2016,50,1,155,27
2016,51,0,156,27
2016,52,2,157,29
2017,1,3,158,32
2017,2,0,159,32
2017,3,0,160,32
2017,4,0,161,32
2017,5,0,162,32
2017,6,0,163,32
2017,7,0,164,32
2017,8,0,165,32
2017,9,0,166,32
2017,10,0,167,32
2017,11,0,168,32
2017,12,0,169,32
2017,13,0,170,32
2017,14,0,171,32
2017,15,0,172,32
