Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,0,2,3
2014,3,0,3,3
2014,4,0,4,3
2014,5,0,5,3
2014,6,2,6,5
2014,7,1,7,6
2014,8,0,8,6
2014,9,0,9,6
2014,10,0,10,6
2014,11,0,11,6
2014,12,0,12,6
2014,13,1,13,7
2014,14,0,14,7
2014,15,0,15,7
2014,16,0,16,7
2014,17,6,17,13
2014,18,0,18,13
2014,19,0,19,13
2014,20,0,20,13
2014,21,0,21,13
2014,22,3,22,16
2014,23,10,23,26
2014,24,5,24,31
2014,25,0,25,31
2014,26,4,26,35
2014,27,5,27,40
2014,28,12,28,52
2014,29,0,29,52
2014,30,0,30,52
2014,31,2,31,54
2014,32,7,32,61
2014,33,1,33,62
2014,34,7,34,69
2014,35,3,35,72
2014,36,0,36,72
2014,37,1,37,73
2014,38,0,38,73
2014,39,4,39,77
2014,40,1,40,78
2014,41,8,41,86
2014,42,2,42,88
2014,43,6,43,94
2014,44,5,44,99
2014,45,3,45,102
2014,46,3,46,105
2014,47,13,47,118
2014,48,4,48,122
2014,49,0,49,122
2014,50,0,50,122
2014,51,0,51,122
2014,52,0,52,122
2014,53,0,53,122
2015,1,6,54,128
2015,2,3,55,131
2015,3,4,56,135
2015,4,6,57,141
2015,5,24,58,165
2015,6,2,59,167
2015,7,1,60,168
2015,8,1,61,169
2015,9,1,62,170
2015,10,5,63,175
2015,11,6,64,181
2015,12,6,65,187
2015,13,2,66,189
2015,14,5,67,194
2015,15,2,68,196
2015,16,3,69,199
2015,17,13,70,212
2015,18,6,71,218
2015,19,7,72,225
2015,20,7,73,232
2015,21,14,74,246
2015,22,9,75,255
2015,23,0,76,255
2015,24,7,77,262
2015,25,5,78,267
2015,26,2,79,269
2015,27,1,80,270
2015,28,0,81,270
2015,29,3,82,273
2015,30,2,83,275
2015,31,3,84,278
2015,32,3,85,281
2015,33,0,86,281
2015,34,2,87,283
2015,35,0,88,283
2015,36,1,89,284
2015,37,3,90,287
2015,38,1,91,288
2015,39,0,92,288
2015,40,2,93,290
2015,41,6,94,296
2015,42,1,95,297
2015,43,3,96,300
2015,44,12,97,312
2015,45,0,98,312
2015,46,2,99,314
2015,47,1,100,315
2015,48,1,101,316
2015,49,0,102,316
2015,50,1,103,317
2015,51,0,104,317
2015,52,0,105,317
2016,1,6,106,323
2016,2,0,107,323
2016,3,0,108,323
2016,4,1,109,324
2016,5,3,110,327
2016,6,2,111,329
2016,7,3,112,332
2016,8,2,113,334
2016,9,4,114,338
2016,10,0,115,338
2016,11,4,116,342
2016,12,1,117,343
2016,13,1,118,344
2016,14,1,119,345
2016,15,0,120,345
2016,16,3,121,348
2016,17,1,122,349
2016,18,4,123,353
2016,19,0,124,353
2016,20,1,125,354
2016,21,1,126,355
2016,22,0,127,355
2016,23,2,128,357
2016,24,0,129,357
2016,25,1,130,358
2016,26,0,131,358
2016,27,0,132,358
2016,28,2,133,360
2016,29,0,134,360
2016,30,2,135,362
2016,31,0,136,362
2016,32,1,137,363
2016,33,1,138,364
2016,34,2,139,366
2016,35,2,140,368
2016,36,8,141,376
2016,37,1,142,377
2016,38,6,143,383
2016,39,0,144,383
2016,40,2,145,385
2016,41,4,146,389
2016,42,4,147,393
2016,43,3,148,396
2016,44,0,149,396
2016,45,8,150,404
2016,46,4,151,408
2016,47,0,152,408
2016,48,1,153,409
2016,49,4,154,413
2016,50,3,155,416
2016,51,0,156,416
2016,52,0,157,416
2017,1,5,158,421
2017,2,2,159,423
2017,3,0,160,423
2017,4,6,161,429
2017,5,1,162,430
2017,6,8,163,438
2017,7,1,164,439
2017,8,1,165,440
2017,9,4,166,444
2017,10,1,167,445
2017,11,0,168,445
2017,12,1,169,446
2017,13,0,170,446
2017,14,2,171,448
2017,15,2,172,450
