Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,1,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,2,18,4
2014,19,1,19,5
2014,20,1,20,6
2014,21,4,21,10
2014,22,3,22,13
2014,23,0,23,13
2014,24,2,24,15
2014,25,6,25,21
2014,26,4,26,25
2014,27,5,27,30
2014,28,9,28,39
2014,29,7,29,46
2014,30,3,30,49
2014,31,8,31,57
2014,32,1,32,58
2014,33,10,33,68
2014,34,1,34,69
2014,35,8,35,77
2014,36,0,36,77
2014,37,1,37,78
2014,38,1,38,79
2014,39,0,39,79
2014,40,1,40,80
2014,41,5,41,85
2014,42,1,42,86
2014,43,1,43,87
2014,44,1,44,88
2014,45,0,45,88
2014,46,3,46,91
2014,47,1,47,92
2014,48,1,48,93
2014,49,2,49,95
2014,50,3,50,98
2014,51,4,51,102
2014,52,1,52,103
2014,53,1,53,104
2015,1,0,54,104
2015,2,1,55,105
2015,3,1,56,106
2015,4,2,57,108
2015,5,1,58,109
2015,6,1,59,110
2015,7,0,60,110
2015,8,4,61,114
2015,9,4,62,118
2015,10,2,63,120
2015,11,3,64,123
2015,12,0,65,123
2015,13,1,66,124
2015,14,1,67,125
2015,15,1,68,126
2015,16,3,69,129
2015,17,4,70,133
2015,18,1,71,134
2015,19,5,72,139
2015,20,2,73,141
2015,21,1,74,142
2015,22,3,75,145
2015,23,2,76,147
2015,24,6,77,153
2015,25,4,78,157
2015,26,0,79,157
2015,27,2,80,159
2015,28,1,81,160
2015,29,3,82,163
2015,30,3,83,166
2015,31,0,84,166
2015,32,0,85,166
2015,33,6,86,172
2015,34,1,87,173
2015,35,1,88,174
2015,36,0,89,174
2015,37,6,90,180
2015,38,5,91,185
2015,39,3,92,188
2015,40,4,93,192
2015,41,2,94,194
2015,42,0,95,194
2015,43,5,96,199
2015,44,4,97,203
2015,45,1,98,204
2015,46,2,99,206
2015,47,1,100,207
2015,48,0,101,207
2015,49,2,102,209
2015,50,2,103,211
2015,51,2,104,213
2015,52,2,105,215
2016,1,3,106,218
2016,2,4,107,222
2016,3,2,108,224
2016,4,2,109,226
2016,5,1,110,227
2016,6,2,111,229
2016,7,0,112,229
2016,8,2,113,231
2016,9,0,114,231
2016,10,4,115,235
2016,11,3,116,238
2016,12,3,117,241
2016,13,0,118,241
2016,14,1,119,242
2016,15,3,120,245
2016,16,2,121,247
2016,17,3,122,250
2016,18,1,123,251
2016,19,5,124,256
2016,20,0,125,256
2016,21,3,126,259
2016,22,6,127,265
2016,23,4,128,269
2016,24,4,129,273
2016,25,9,130,282
2016,26,0,131,282
2016,27,9,132,291
2016,28,9,133,300
2016,29,3,134,303
2016,30,5,135,308
2016,31,7,136,315
2016,32,9,137,324
2016,33,9,138,333
2016,34,5,139,338
2016,35,3,140,341
2016,36,1,141,342
2016,37,4,142,346
2016,38,2,143,348
2016,39,3,144,351
2016,40,2,145,353
2016,41,9,146,362
2016,42,1,147,363
2016,43,1,148,364
2016,44,2,149,366
2016,45,2,150,368
2016,46,8,151,376
2016,47,4,152,380
2016,48,0,153,380
2016,49,1,154,381
2016,50,1,155,382
2016,51,0,156,382
2016,52,0,157,382
2017,1,0,158,382
2017,2,0,159,382
2017,3,0,160,382
2017,4,0,161,382
2017,5,0,162,382
2017,6,0,163,382
2017,7,0,164,382
2017,8,1,165,383
2017,9,0,166,383
2017,10,0,167,383
2017,11,0,168,383
2017,12,0,169,383
2017,13,3,170,386
2017,14,0,171,386
2017,15,0,172,386
