Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,5,11,5
2014,12,0,12,5
2014,13,1,13,6
2014,14,0,14,6
2014,15,0,15,6
2014,16,2,16,8
2014,17,0,17,8
2014,18,0,18,8
2014,19,0,19,8
2014,20,0,20,8
2014,21,1,21,9
2014,22,0,22,9
2014,23,1,23,10
2014,24,0,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,1,29,11
2014,30,0,30,11
2014,31,0,31,11
2014,32,0,32,11
2014,33,0,33,11
2014,34,0,34,11
2014,35,0,35,11
2014,36,0,36,11
2014,37,0,37,11
2014,38,1,38,12
2014,39,1,39,13
2014,40,1,40,14
2014,41,1,41,15
2014,42,0,42,15
2014,43,0,43,15
2014,44,0,44,15
2014,45,0,45,15
2014,46,0,46,15
2014,47,0,47,15
2014,48,0,48,15
2014,49,0,49,15
2014,50,0,50,15
2014,51,0,51,15
2014,52,0,52,15
2014,53,0,53,15
2015,1,0,54,15
2015,2,0,55,15
2015,3,0,56,15
2015,4,0,57,15
2015,5,0,58,15
2015,6,0,59,15
2015,7,0,60,15
2015,8,0,61,15
2015,9,3,62,18
2015,10,2,63,20
2015,11,0,64,20
2015,12,1,65,21
2015,13,0,66,21
2015,14,0,67,21
2015,15,0,68,21
2015,16,0,69,21
2015,17,0,70,21
2015,18,0,71,21
2015,19,0,72,21
2015,20,0,73,21
2015,21,0,74,21
2015,22,1,75,22
2015,23,0,76,22
2015,24,0,77,22
2015,25,0,78,22
2015,26,1,79,23
2015,27,0,80,23
2015,28,0,81,23
2015,29,0,82,23
2015,30,0,83,23
2015,31,0,84,23
2015,32,0,85,23
2015,33,0,86,23
2015,34,0,87,23
2015,35,1,88,24
2015,36,0,89,24
2015,37,0,90,24
2015,38,0,91,24
2015,39,0,92,24
2015,40,0,93,24
2015,41,0,94,24
2015,42,0,95,24
2015,43,0,96,24
2015,44,0,97,24
2015,45,0,98,24
2015,46,0,99,24
2015,47,0,100,24
2015,48,0,101,24
2015,49,0,102,24
2015,50,0,103,24
2015,51,0,104,24
2015,52,0,105,24
2016,1,1,106,25
2016,2,0,107,25
2016,3,0,108,25
2016,4,1,109,26
2016,5,0,110,26
2016,6,0,111,26
2016,7,0,112,26
2016,8,0,113,26
2016,9,0,114,26
2016,10,1,115,27
2016,11,0,116,27
2016,12,0,117,27
2016,13,0,118,27
2016,14,0,119,27
2016,15,0,120,27
2016,16,0,121,27
2016,17,0,122,27
2016,18,0,123,27
2016,19,0,124,27
2016,20,0,125,27
2016,21,0,126,27
2016,22,0,127,27
2016,23,0,128,27
2016,24,0,129,27
2016,25,0,130,27
2016,26,0,131,27
2016,27,0,132,27
2016,28,0,133,27
2016,29,0,134,27
2016,30,0,135,27
2016,31,0,136,27
2016,32,0,137,27
2016,33,1,138,28
2016,34,0,139,28
2016,35,0,140,28
2016,36,0,141,28
2016,37,0,142,28
2016,38,0,143,28
2016,39,0,144,28
2016,40,0,145,28
2016,41,0,146,28
2016,42,0,147,28
2016,43,0,148,28
2016,44,0,149,28
2016,45,1,150,29
2016,46,0,151,29
2016,47,0,152,29
2016,48,0,153,29
2016,49,0,154,29
2016,50,2,155,31
2016,51,0,156,31
2016,52,0,157,31
2017,1,3,158,34
2017,2,0,159,34
2017,3,0,160,34
2017,4,3,161,37
2017,5,2,162,39
2017,6,1,163,40
2017,7,1,164,41
2017,8,2,165,43
2017,9,1,166,44
2017,10,1,167,45
2017,11,0,168,45
2017,12,2,169,47
2017,13,0,170,47
2017,14,0,171,47
2017,15,0,172,47
