Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,1,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,1,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,1,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,0,30,4
2014,31,0,31,4
2014,32,0,32,4
2014,33,0,33,4
2014,34,1,34,5
2014,35,0,35,5
2014,36,0,36,5
2014,37,0,37,5
2014,38,1,38,6
2014,39,0,39,6
2014,40,0,40,6
2014,41,1,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,2,44,9
2014,45,1,45,10
2014,46,2,46,12
2014,47,2,47,14
2014,48,2,48,16
2014,49,4,49,20
2014,50,1,50,21
2014,51,6,51,27
2014,52,0,52,27
2014,53,2,53,29
2015,1,2,54,31
2015,2,0,55,31
2015,3,1,56,32
2015,4,1,57,33
2015,5,0,58,33
2015,6,0,59,33
2015,7,0,60,33
2015,8,0,61,33
2015,9,0,62,33
2015,10,1,63,34
2015,11,1,64,35
2015,12,0,65,35
2015,13,0,66,35
2015,14,0,67,35
2015,15,2,68,37
2015,16,0,69,37
2015,17,0,70,37
2015,18,1,71,38
2015,19,0,72,38
2015,20,0,73,38
2015,21,0,74,38
2015,22,0,75,38
2015,23,0,76,38
2015,24,0,77,38
2015,25,0,78,38
2015,26,0,79,38
2015,27,0,80,38
2015,28,0,81,38
2015,29,1,82,39
2015,30,0,83,39
2015,31,0,84,39
2015,32,1,85,40
2015,33,0,86,40
2015,34,0,87,40
2015,35,0,88,40
2015,36,0,89,40
2015,37,0,90,40
2015,38,0,91,40
2015,39,0,92,40
2015,40,0,93,40
2015,41,0,94,40
2015,42,0,95,40
2015,43,0,96,40
2015,44,0,97,40
2015,45,0,98,40
2015,46,0,99,40
2015,47,0,100,40
2015,48,0,101,40
2015,49,0,102,40
2015,50,0,103,40
2015,51,1,104,41
2015,52,0,105,41
2016,1,0,106,41
2016,2,0,107,41
2016,3,1,108,42
2016,4,0,109,42
2016,5,0,110,42
2016,6,0,111,42
2016,7,0,112,42
2016,8,0,113,42
2016,9,0,114,42
2016,10,1,115,43
2016,11,0,116,43
2016,12,0,117,43
2016,13,0,118,43
2016,14,0,119,43
2016,15,0,120,43
2016,16,0,121,43
2016,17,0,122,43
2016,18,0,123,43
2016,19,0,124,43
2016,20,0,125,43
2016,21,0,126,43
2016,22,0,127,43
2016,23,0,128,43
2016,24,0,129,43
2016,25,0,130,43
2016,26,0,131,43
2016,27,0,132,43
2016,28,0,133,43
2016,29,1,134,44
2016,30,0,135,44
2016,31,0,136,44
2016,32,0,137,44
2016,33,0,138,44
2016,34,0,139,44
2016,35,0,140,44
2016,36,0,141,44
2016,37,0,142,44
2016,38,0,143,44
2016,39,0,144,44
2016,40,0,145,44
2016,41,0,146,44
2016,42,0,147,44
2016,43,0,148,44
2016,44,0,149,44
2016,45,0,150,44
2016,46,0,151,44
2016,47,0,152,44
2016,48,0,153,44
2016,49,0,154,44
2016,50,0,155,44
2016,51,0,156,44
2016,52,0,157,44
2017,1,0,158,44
2017,2,0,159,44
2017,3,0,160,44
2017,4,0,161,44
2017,5,0,162,44
2017,6,0,163,44
2017,7,0,164,44
2017,8,0,165,44
2017,9,0,166,44
2017,10,0,167,44
2017,11,0,168,44
2017,12,0,169,44
2017,13,0,170,44
2017,14,0,171,44
2017,15,0,172,44
