Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,8,3,8
2014,4,5,4,13
2014,5,2,5,15
2014,6,4,6,19
2014,7,6,7,25
2014,8,8,8,33
2014,9,4,9,37
2014,10,2,10,39
2014,11,6,11,45
2014,12,5,12,50
2014,13,3,13,53
2014,14,3,14,56
2014,15,5,15,61
2014,16,3,16,64
2014,17,2,17,66
2014,18,2,18,68
2014,19,2,19,70
2014,20,2,20,72
2014,21,1,21,73
2014,22,4,22,77
2014,23,2,23,79
2014,24,1,24,80
2014,25,3,25,83
2014,26,4,26,87
2014,27,2,27,89
2014,28,4,28,93
2014,29,6,29,99
2014,30,1,30,100
2014,31,3,31,103
2014,32,5,32,108
2014,33,2,33,110
2014,34,2,34,112
2014,35,4,35,116
2014,36,4,36,120
2014,37,3,37,123
2014,38,7,38,130
2014,39,5,39,135
2014,40,5,40,140
2014,41,11,41,151
2014,42,2,42,153
2014,43,5,43,158
2014,44,3,44,161
2014,45,5,45,166
2014,46,5,46,171
2014,47,10,47,181
2014,48,6,48,187
2014,49,0,49,187
2014,50,15,50,202
2014,51,21,51,223
2014,52,6,52,229
2014,53,0,53,229
2015,1,10,54,239
2015,2,6,55,245
2015,3,14,56,259
2015,4,16,57,275
2015,5,19,58,294
2015,6,15,59,309
2015,7,16,60,325
2015,8,18,61,343
2015,9,9,62,352
2015,10,9,63,361
2015,11,4,64,365
2015,12,3,65,368
2015,13,8,66,376
2015,14,7,67,383
2015,15,10,68,393
2015,16,4,69,397
2015,17,3,70,400
2015,18,10,71,410
2015,19,4,72,414
2015,20,2,73,416
2015,21,5,74,421
2015,22,5,75,426
2015,23,5,76,431
2015,24,2,77,433
2015,25,5,78,438
2015,26,4,79,442
2015,27,6,80,448
2015,28,1,81,449
2015,29,2,82,451
2015,30,3,83,454
2015,31,7,84,461
2015,32,5,85,466
2015,33,5,86,471
2015,34,4,87,475
2015,35,0,88,475
2015,36,6,89,481
2015,37,6,90,487
2015,38,5,91,492
2015,39,3,92,495
2015,40,5,93,500
2015,41,2,94,502
2015,42,4,95,506
2015,43,3,96,509
2015,44,5,97,514
2015,45,4,98,518
2015,46,6,99,524
2015,47,4,100,528
2015,48,3,101,531
2015,49,4,102,535
2015,50,4,103,539
2015,51,5,104,544
2015,52,2,105,546
2016,1,2,106,548
2016,2,0,107,548
2016,3,4,108,552
2016,4,3,109,555
2016,5,2,110,557
2016,6,0,111,557
2016,7,4,112,561
2016,8,3,113,564
2016,9,4,114,568
2016,10,4,115,572
2016,11,1,116,573
2016,12,3,117,576
2016,13,2,118,578
2016,14,1,119,579
2016,15,3,120,582
2016,16,4,121,586
2016,17,6,122,592
2016,18,3,123,595
2016,19,2,124,597
2016,20,2,125,599
2016,21,1,126,600
2016,22,0,127,600
2016,23,4,128,604
2016,24,2,129,606
2016,25,4,130,610
2016,26,2,131,612
2016,27,0,132,612
2016,28,7,133,619
2016,29,7,134,626
2016,30,3,135,629
2016,31,4,136,633
2016,32,6,137,639
2016,33,4,138,643
2016,34,5,139,648
2016,35,0,140,648
2016,36,5,141,653
2016,37,9,142,662
2016,38,12,143,674
2016,39,5,144,679
2016,40,4,145,683
2016,41,3,146,686
2016,42,5,147,691
2016,43,3,148,694
2016,44,3,149,697
2016,45,5,150,702
2016,46,10,151,712
2016,47,2,152,714
2016,48,4,153,718
2016,49,4,154,722
2016,50,0,155,722
2016,51,1,156,723
2016,52,2,157,725
2017,1,2,158,727
2017,2,0,159,727
2017,3,0,160,727
2017,4,0,161,727
2017,5,0,162,727
2017,6,2,163,729
2017,7,5,164,734
2017,8,0,165,734
2017,9,3,166,737
2017,10,0,167,737
2017,11,0,168,737
2017,12,0,169,737
2017,13,3,170,740
2017,14,6,171,746
2017,15,9,172,755
