Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,3,4,3
2014,5,0,5,3
2014,6,2,6,5
2014,7,3,7,8
2014,8,0,8,8
2014,9,1,9,9
2014,10,0,10,9
2014,11,0,11,9
2014,12,0,12,9
2014,13,0,13,9
2014,14,0,14,9
2014,15,0,15,9
2014,16,0,16,9
2014,17,0,17,9
2014,18,0,18,9
2014,19,0,19,9
2014,20,3,20,12
2014,21,0,21,12
2014,22,0,22,12
2014,23,0,23,12
2014,24,1,24,13
2014,25,1,25,14
2014,26,2,26,16
2014,27,0,27,16
2014,28,2,28,18
2014,29,4,29,22
2014,30,0,30,22
2014,31,2,31,24
2014,32,1,32,25
2014,33,3,33,28
2014,34,2,34,30
2014,35,5,35,35
2014,36,2,36,37
2014,37,1,37,38
2014,38,1,38,39
2014,39,5,39,44
2014,40,2,40,46
2014,41,0,41,46
2014,42,3,42,49
2014,43,4,43,53
2014,44,16,44,69
2014,45,4,45,73
2014,46,1,46,74
2014,47,2,47,76
2014,48,2,48,78
2014,49,3,49,81
2014,50,2,50,83
2014,51,7,51,90
2014,52,7,52,97
2014,53,3,53,100
2015,1,0,54,100
2015,2,7,55,107
2015,3,5,56,112
2015,4,7,57,119
2015,5,5,58,124
2015,6,5,59,129
2015,7,2,60,131
2015,8,10,61,141
2015,9,13,62,154
2015,10,10,63,164
2015,11,7,64,171
2015,12,5,65,176
2015,13,8,66,184
2015,14,7,67,191
2015,15,7,68,198
2015,16,8,69,206
2015,17,4,70,210
2015,18,10,71,220
2015,19,17,72,237
2015,20,42,73,279
2015,21,33,74,312
2015,22,17,75,329
2015,23,0,76,329
2015,24,9,77,338
2015,25,46,78,384
2015,26,18,79,402
2015,27,2,80,404
2015,28,17,81,421
2015,29,13,82,434
2015,30,11,83,445
2015,31,7,84,452
2015,32,4,85,456
2015,33,165,86,621
2015,34,22,87,643
2015,35,15,88,658
2015,36,19,89,677
2015,37,32,90,709
2015,38,11,91,720
2015,39,43,92,763
2015,40,16,93,779
2015,41,16,94,795
2015,42,41,95,836
2015,43,17,96,853
2015,44,22,97,875
2015,45,30,98,905
2015,46,19,99,924
2015,47,14,100,938
2015,48,11,101,949
2015,49,18,102,967
2015,50,38,103,1005
2015,51,18,104,1023
2015,52,8,105,1031
2016,1,0,106,1031
2016,2,15,107,1046
2016,3,15,108,1061
2016,4,25,109,1086
2016,5,19,110,1105
2016,6,17,111,1122
2016,7,11,112,1133
2016,8,14,113,1147
2016,9,14,114,1161
2016,10,23,115,1184
2016,11,17,116,1201
2016,12,8,117,1209
2016,13,15,118,1224
2016,14,0,119,1224
2016,15,0,120,1224
2016,16,2,121,1226
2016,17,9,122,1235
2016,18,11,123,1246
2016,19,4,124,1250
2016,20,10,125,1260
2016,21,16,126,1276
2016,22,16,127,1292
2016,23,17,128,1309
2016,24,9,129,1318
2016,25,65,130,1383
2016,26,25,131,1408
2016,27,8,132,1416
2016,28,10,133,1426
2016,29,9,134,1435
2016,30,23,135,1458
2016,31,0,136,1458
2016,32,32,137,1490
2016,33,26,138,1516
2016,34,8,139,1524
2016,35,7,140,1531
2016,36,3,141,1534
2016,37,5,142,1539
2016,38,2,143,1541
2016,39,6,144,1547
2016,40,6,145,1553
2016,41,0,146,1553
2016,42,2,147,1555
2016,43,2,148,1557
2016,44,7,149,1564
2016,45,1,150,1565
2016,46,4,151,1569
2016,47,2,152,1571
2016,48,44,153,1615
2016,49,0,154,1615
2016,50,1,155,1616
2016,51,0,156,1616
2016,52,0,157,1616
2017,1,0,158,1616
2017,2,1,159,1617
2017,3,3,160,1620
2017,4,5,161,1625
2017,5,1,162,1626
2017,6,1,163,1627
2017,7,0,164,1627
2017,8,1,165,1628
2017,9,2,166,1630
2017,10,2,167,1632
2017,11,3,168,1635
2017,12,2,169,1637
2017,13,0,170,1637
2017,14,1,171,1638
2017,15,2,172,1640
