Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,1,3,2
2014,4,2,4,4
2014,5,2,5,6
2014,6,1,6,7
2014,7,0,7,7
2014,8,1,8,8
2014,9,0,9,8
2014,10,1,10,9
2014,11,0,11,9
2014,12,1,12,10
2014,13,0,13,10
2014,14,0,14,10
2014,15,0,15,10
2014,16,1,16,11
2014,17,0,17,11
2014,18,0,18,11
2014,19,0,19,11
2014,20,0,20,11
2014,21,1,21,12
2014,22,1,22,13
2014,23,4,23,17
2014,24,0,24,17
2014,25,0,25,17
2014,26,1,26,18
2014,27,2,27,20
2014,28,2,28,22
2014,29,1,29,23
2014,30,4,30,27
2014,31,0,31,27
2014,32,0,32,27
2014,33,1,33,28
2014,34,2,34,30
2014,35,1,35,31
2014,36,1,36,32
2014,37,0,37,32
2014,38,4,38,36
2014,39,1,39,37
2014,40,2,40,39
2014,41,1,41,40
2014,42,2,42,42
2014,43,4,43,46
2014,44,2,44,48
2014,45,8,45,56
2014,46,9,46,65
2014,47,3,47,68
2014,48,2,48,70
2014,49,1,49,71
2014,50,2,50,73
2014,51,3,51,76
2014,52,0,52,76
2014,53,1,53,77
2015,1,8,54,85
2015,2,3,55,88
2015,3,2,56,90
2015,4,1,57,91
2015,5,0,58,91
2015,6,0,59,91
2015,7,0,60,91
2015,8,3,61,94
2015,9,0,62,94
2015,10,0,63,94
2015,11,2,64,96
2015,12,1,65,97
2015,13,0,66,97
2015,14,0,67,97
2015,15,0,68,97
2015,16,4,69,101
2015,17,5,70,106
2015,18,0,71,106
2015,19,1,72,107
2015,20,0,73,107
2015,21,1,74,108
2015,22,8,75,116
2015,23,34,76,150
2015,24,3,77,153
2015,25,1,78,154
2015,26,1,79,155
2015,27,0,80,155
2015,28,2,81,157
2015,29,3,82,160
2015,30,0,83,160
2015,31,1,84,161
2015,32,2,85,163
2015,33,2,86,165
2015,34,2,87,167
2015,35,1,88,168
2015,36,1,89,169
2015,37,0,90,169
2015,38,4,91,173
2015,39,0,92,173
2015,40,3,93,176
2015,41,5,94,181
2015,42,8,95,189
2015,43,6,96,195
2015,44,1,97,196
2015,45,1,98,197
2015,46,2,99,199
2015,47,0,100,199
2015,48,4,101,203
2015,49,8,102,211
2015,50,39,103,250
2015,51,44,104,294
2015,52,1,105,295
2016,1,10,106,305
2016,2,8,107,313
2016,3,3,108,316
2016,4,4,109,320
2016,5,3,110,323
2016,6,3,111,326
2016,7,2,112,328
2016,8,4,113,332
2016,9,3,114,335
2016,10,7,115,342
2016,11,4,116,346
2016,12,5,117,351
2016,13,6,118,357
2016,14,3,119,360
2016,15,2,120,362
2016,16,7,121,369
2016,17,7,122,376
2016,18,4,123,380
2016,19,0,124,380
2016,20,3,125,383
2016,21,0,126,383
2016,22,1,127,384
2016,23,0,128,384
2016,24,0,129,384
2016,25,0,130,384
2016,26,0,131,384
2016,27,0,132,384
2016,28,0,133,384
2016,29,0,134,384
2016,30,0,135,384
2016,31,0,136,384
2016,32,0,137,384
2016,33,1,138,385
2016,34,0,139,385
2016,35,0,140,385
2016,36,0,141,385
2016,37,0,142,385
2016,38,0,143,385
2016,39,4,144,389
2016,40,0,145,389
2016,41,0,146,389
2016,42,0,147,389
2016,43,1,148,390
2016,44,1,149,391
2016,45,1,150,392
2016,46,2,151,394
2016,47,0,152,394
2016,48,2,153,396
2016,49,1,154,397
2016,50,6,155,403
2016,51,8,156,411
2016,52,0,157,411
2017,1,3,158,414
2017,2,2,159,416
2017,3,1,160,417
2017,4,2,161,419
2017,5,0,162,419
2017,6,0,163,419
2017,7,2,164,421
2017,8,0,165,421
2017,9,1,166,422
2017,10,2,167,424
2017,11,0,168,424
2017,12,3,169,427
2017,13,0,170,427
2017,14,1,171,428
2017,15,1,172,429
