Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,2,2,4
2014,3,0,3,4
2014,4,6,4,10
2014,5,3,5,13
2014,6,1,6,14
2014,7,1,7,15
2014,8,0,8,15
2014,9,0,9,15
2014,10,5,10,20
2014,11,1,11,21
2014,12,0,12,21
2014,13,0,13,21
2014,14,2,14,23
2014,15,0,15,23
2014,16,0,16,23
2014,17,0,17,23
2014,18,0,18,23
2014,19,0,19,23
2014,20,0,20,23
2014,21,0,21,23
2014,22,0,22,23
2014,23,0,23,23
2014,24,0,24,23
2014,25,0,25,23
2014,26,0,26,23
2014,27,0,27,23
2014,28,0,28,23
2014,29,1,29,24
2014,30,0,30,24
2014,31,2,31,26
2014,32,1,32,27
2014,33,1,33,28
2014,34,0,34,28
2014,35,1,35,29
2014,36,0,36,29
2014,37,2,37,31
2014,38,3,38,34
2014,39,1,39,35
2014,40,2,40,37
2014,41,0,41,37
2014,42,0,42,37
2014,43,0,43,37
2014,44,1,44,38
2014,45,0,45,38
2014,46,0,46,38
2014,47,0,47,38
2014,48,0,48,38
2014,49,0,49,38
2014,50,0,50,38
2014,51,0,51,38
2014,52,0,52,38
2014,53,0,53,38
2015,1,0,54,38
2015,2,0,55,38
2015,3,0,56,38
2015,4,0,57,38
2015,5,0,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,0,62,38
2015,10,0,63,38
2015,11,0,64,38
2015,12,0,65,38
2015,13,0,66,38
2015,14,0,67,38
2015,15,0,68,38
2015,16,0,69,38
2015,17,0,70,38
2015,18,0,71,38
2015,19,0,72,38
2015,20,0,73,38
2015,21,0,74,38
2015,22,0,75,38
2015,23,0,76,38
2015,24,1,77,39
2015,25,0,78,39
2015,26,0,79,39
2015,27,0,80,39
2015,28,0,81,39
2015,29,0,82,39
2015,30,0,83,39
2015,31,0,84,39
2015,32,0,85,39
2015,33,0,86,39
2015,34,0,87,39
2015,35,0,88,39
2015,36,0,89,39
2015,37,1,90,40
2015,38,0,91,40
2015,39,0,92,40
2015,40,0,93,40
2015,41,0,94,40
2015,42,0,95,40
2015,43,0,96,40
2015,44,0,97,40
2015,45,0,98,40
2015,46,0,99,40
2015,47,0,100,40
2015,48,0,101,40
2015,49,0,102,40
2015,50,0,103,40
2015,51,0,104,40
2015,52,0,105,40
2016,1,0,106,40
2016,2,0,107,40
2016,3,0,108,40
2016,4,0,109,40
2016,5,0,110,40
2016,6,0,111,40
2016,7,0,112,40
2016,8,0,113,40
2016,9,0,114,40
2016,10,0,115,40
2016,11,0,116,40
2016,12,0,117,40
2016,13,0,118,40
2016,14,0,119,40
2016,15,0,120,40
2016,16,0,121,40
2016,17,0,122,40
2016,18,0,123,40
2016,19,0,124,40
2016,20,0,125,40
2016,21,0,126,40
2016,22,0,127,40
2016,23,0,128,40
2016,24,0,129,40
2016,25,0,130,40
2016,26,0,131,40
2016,27,0,132,40
2016,28,0,133,40
2016,29,0,134,40
2016,30,0,135,40
2016,31,0,136,40
2016,32,0,137,40
2016,33,0,138,40
2016,34,0,139,40
2016,35,0,140,40
2016,36,0,141,40
2016,37,0,142,40
2016,38,0,143,40
2016,39,0,144,40
2016,40,0,145,40
2016,41,0,146,40
2016,42,0,147,40
2016,43,0,148,40
2016,44,0,149,40
2016,45,0,150,40
2016,46,0,151,40
2016,47,0,152,40
2016,48,0,153,40
2016,49,0,154,40
2016,50,0,155,40
2016,51,0,156,40
2016,52,0,157,40
2017,1,0,158,40
2017,2,0,159,40
2017,3,0,160,40
2017,4,0,161,40
2017,5,0,162,40
2017,6,0,163,40
2017,7,0,164,40
2017,8,0,165,40
2017,9,0,166,40
2017,10,0,167,40
2017,11,0,168,40
2017,12,0,169,40
2017,13,0,170,40
2017,14,0,171,40
2017,15,0,172,40
