Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,2,2,3
2014,3,0,3,3
2014,4,2,4,5
2014,5,1,5,6
2014,6,1,6,7
2014,7,0,7,7
2014,8,1,8,8
2014,9,2,9,10
2014,10,0,10,10
2014,11,3,11,13
2014,12,3,12,16
2014,13,0,13,16
2014,14,4,14,20
2014,15,0,15,20
2014,16,1,16,21
2014,17,1,17,22
2014,18,5,18,27
2014,19,1,19,28
2014,20,1,20,29
2014,21,2,21,31
2014,22,4,22,35
2014,23,4,23,39
2014,24,0,24,39
2014,25,1,25,40
2014,26,2,26,42
2014,27,1,27,43
2014,28,3,28,46
2014,29,0,29,46
2014,30,0,30,46
2014,31,2,31,48
2014,32,4,32,52
2014,33,8,33,60
2014,34,2,34,62
2014,35,2,35,64
2014,36,0,36,64
2014,37,1,37,65
2014,38,8,38,73
2014,39,4,39,77
2014,40,1,40,78
2014,41,1,41,79
2014,42,1,42,80
2014,43,1,43,81
2014,44,0,44,81
2014,45,0,45,81
2014,46,3,46,84
2014,47,2,47,86
2014,48,0,48,86
2014,49,0,49,86
2014,50,1,50,87
2014,51,3,51,90
2014,52,1,52,91
2014,53,0,53,91
2015,1,1,54,92
2015,2,0,55,92
2015,3,3,56,95
2015,4,1,57,96
2015,5,1,58,97
2015,6,0,59,97
2015,7,0,60,97
2015,8,0,61,97
2015,9,3,62,100
2015,10,3,63,103
2015,11,4,64,107
2015,12,1,65,108
2015,13,0,66,108
2015,14,3,67,111
2015,15,1,68,112
2015,16,2,69,114
2015,17,2,70,116
2015,18,1,71,117
2015,19,3,72,120
2015,20,5,73,125
2015,21,3,74,128
2015,22,5,75,133
2015,23,9,76,142
2015,24,5,77,147
2015,25,3,78,150
2015,26,6,79,156
2015,27,4,80,160
2015,28,9,81,169
2015,29,6,82,175
2015,30,8,83,183
2015,31,3,84,186
2015,32,2,85,188
2015,33,5,86,193
2015,34,1,87,194
2015,35,1,88,195
2015,36,1,89,196
2015,37,3,90,199
2015,38,5,91,204
2015,39,4,92,208
2015,40,4,93,212
2015,41,3,94,215
2015,42,2,95,217
2015,43,2,96,219
2015,44,1,97,220
2015,45,1,98,221
2015,46,8,99,229
2015,47,4,100,233
2015,48,2,101,235
2015,49,0,102,235
2015,50,5,103,240
2015,51,2,104,242
2015,52,3,105,245
2016,1,3,106,248
2016,2,2,107,250
2016,3,4,108,254
2016,4,5,109,259
2016,5,2,110,261
2016,6,3,111,264
2016,7,3,112,267
2016,8,4,113,271
2016,9,3,114,274
2016,10,5,115,279
2016,11,8,116,287
2016,12,8,117,295
2016,13,10,118,305
2016,14,4,119,309
2016,15,5,120,314
2016,16,4,121,318
2016,17,2,122,320
2016,18,4,123,324
2016,19,6,124,330
2016,20,4,125,334
2016,21,5,126,339
2016,22,4,127,343
2016,23,3,128,346
2016,24,8,129,354
2016,25,6,130,360
2016,26,1,131,361
2016,27,8,132,369
2016,28,0,133,369
2016,29,1,134,370
2016,30,3,135,373
2016,31,6,136,379
2016,32,5,137,384
2016,33,1,138,385
2016,34,3,139,388
2016,35,4,140,392
2016,36,3,141,395
2016,37,2,142,397
2016,38,1,143,398
2016,39,1,144,399
2016,40,0,145,399
2016,41,3,146,402
2016,42,1,147,403
2016,43,0,148,403
2016,44,2,149,405
2016,45,0,150,405
2016,46,5,151,410
2016,47,0,152,410
2016,48,2,153,412
2016,49,5,154,417
2016,50,2,155,419
2016,51,1,156,420
2016,52,0,157,420
2017,1,0,158,420
2017,2,3,159,423
2017,3,1,160,424
2017,4,1,161,425
2017,5,1,162,426
2017,6,1,163,427
2017,7,2,164,429
2017,8,0,165,429
2017,9,2,166,431
2017,10,2,167,433
2017,11,0,168,433
2017,12,1,169,434
2017,13,2,170,436
2017,14,1,171,437
2017,15,2,172,439
