Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,2,12,2
2014,13,0,13,2
2014,14,1,14,3
2014,15,0,15,3
2014,16,2,16,5
2014,17,4,17,9
2014,18,2,18,11
2014,19,4,19,15
2014,20,1,20,16
2014,21,3,21,19
2014,22,3,22,22
2014,23,9,23,31
2014,24,2,24,33
2014,25,4,25,37
2014,26,1,26,38
2014,27,1,27,39
2014,28,5,28,44
2014,29,4,29,48
2014,30,6,30,54
2014,31,8,31,62
2014,32,3,32,65
2014,33,3,33,68
2014,34,4,34,72
2014,35,3,35,75
2014,36,1,36,76
2014,37,2,37,78
2014,38,2,38,80
2014,39,3,39,83
2014,40,8,40,91
2014,41,4,41,95
2014,42,4,42,99
2014,43,2,43,101
2014,44,1,44,102
2014,45,3,45,105
2014,46,4,46,109
2014,47,5,47,114
2014,48,2,48,116
2014,49,0,49,116
2014,50,6,50,122
2014,51,0,51,122
2014,52,4,52,126
2014,53,1,53,127
2015,1,3,54,130
2015,2,5,55,135
2015,3,0,56,135
2015,4,0,57,135
2015,5,1,58,136
2015,6,1,59,137
2015,7,1,60,138
2015,8,2,61,140
2015,9,1,62,141
2015,10,0,63,141
2015,11,0,64,141
2015,12,0,65,141
2015,13,1,66,142
2015,14,0,67,142
2015,15,1,68,143
2015,16,0,69,143
2015,17,1,70,144
2015,18,4,71,148
2015,19,1,72,149
2015,20,1,73,150
2015,21,0,74,150
2015,22,0,75,150
2015,23,0,76,150
2015,24,0,77,150
2015,25,0,78,150
2015,26,1,79,151
2015,27,1,80,152
2015,28,2,81,154
2015,29,0,82,154
2015,30,0,83,154
2015,31,1,84,155
2015,32,1,85,156
2015,33,3,86,159
2015,34,1,87,160
2015,35,1,88,161
2015,36,1,89,162
2015,37,1,90,163
2015,38,2,91,165
2015,39,1,92,166
2015,40,0,93,166
2015,41,2,94,168
2015,42,0,95,168
2015,43,1,96,169
2015,44,1,97,170
2015,45,0,98,170
2015,46,1,99,171
2015,47,2,100,173
2015,48,5,101,178
2015,49,11,102,189
2015,50,0,103,189
2015,51,5,104,194
2015,52,1,105,195
2016,1,4,106,199
2016,2,3,107,202
2016,3,10,108,212
2016,4,15,109,227
2016,5,15,110,242
2016,6,5,111,247
2016,7,7,112,254
2016,8,4,113,258
2016,9,6,114,264
2016,10,7,115,271
2016,11,5,116,276
2016,12,5,117,281
2016,13,2,118,283
2016,14,6,119,289
2016,15,12,120,301
2016,16,5,121,306
2016,17,17,122,323
2016,18,14,123,337
2016,19,13,124,350
2016,20,11,125,361
2016,21,10,126,371
2016,22,11,127,382
2016,23,10,128,392
2016,24,6,129,398
2016,25,13,130,411
2016,26,10,131,421
2016,27,2,132,423
2016,28,1,133,424
2016,29,3,134,427
2016,30,0,135,427
2016,31,6,136,433
2016,32,9,137,442
2016,33,3,138,445
2016,34,5,139,450
2016,35,7,140,457
2016,36,2,141,459
2016,37,2,142,461
2016,38,3,143,464
2016,39,3,144,467
2016,40,4,145,471
2016,41,2,146,473
2016,42,1,147,474
2016,43,3,148,477
2016,44,0,149,477
2016,45,2,150,479
2016,46,0,151,479
2016,47,2,152,481
2016,48,8,153,489
2016,49,3,154,492
2016,50,1,155,493
2016,51,1,156,494
2016,52,0,157,494
2017,1,1,158,495
2017,2,5,159,500
2017,3,1,160,501
2017,4,0,161,501
2017,5,1,162,502
2017,6,1,163,503
2017,7,2,164,505
2017,8,0,165,505
2017,9,0,166,505
2017,10,5,167,510
2017,11,0,168,510
2017,12,1,169,511
2017,13,0,170,511
2017,14,1,171,512
2017,15,0,172,512
