Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,2,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,1,12,4
2014,13,0,13,4
2014,14,0,14,4
2014,15,2,15,6
2014,16,0,16,6
2014,17,1,17,7
2014,18,0,18,7
2014,19,2,19,9
2014,20,0,20,9
2014,21,0,21,9
2014,22,0,22,9
2014,23,0,23,9
2014,24,0,24,9
2014,25,1,25,10
2014,26,1,26,11
2014,27,1,27,12
2014,28,7,28,19
2014,29,0,29,19
2014,30,6,30,25
2014,31,5,31,30
2014,32,1,32,31
2014,33,1,33,32
2014,34,1,34,33
2014,35,0,35,33
2014,36,1,36,34
2014,37,1,37,35
2014,38,1,38,36
2014,39,3,39,39
2014,40,2,40,41
2014,41,3,41,44
2014,42,1,42,45
2014,43,2,43,47
2014,44,0,44,47
2014,45,0,45,47
2014,46,0,46,47
2014,47,0,47,47
2014,48,0,48,47
2014,49,0,49,47
2014,50,1,50,48
2014,51,0,51,48
2014,52,0,52,48
2014,53,0,53,48
2016,1,1,54,49
2016,2,0,55,49
2016,3,0,56,49
2016,4,0,57,49
2016,5,1,58,50
2016,6,2,59,52
2016,7,2,60,54
2016,8,0,61,54
2016,9,2,62,56
2016,10,3,63,59
2016,11,0,64,59
2016,12,0,65,59
2016,13,2,66,61
2016,14,2,67,63
2016,15,6,68,69
2016,16,2,69,71
2016,17,0,70,71
2016,18,7,71,78
2016,19,4,72,82
2016,20,5,73,87
2016,21,1,74,88
2016,22,12,75,100
2016,23,4,76,104
2016,24,2,77,106
2016,25,8,78,114
2016,26,0,79,114
2016,27,0,80,114
2016,28,2,81,116
2016,29,0,82,116
2016,30,3,83,119
2016,31,0,84,119
2016,32,4,85,123
2016,33,1,86,124
2016,34,0,87,124
2016,35,0,88,124
2016,36,0,89,124
2016,37,0,90,124
2016,38,0,91,124
2016,39,0,92,124
2016,40,0,93,124
2016,41,1,94,125
2016,42,6,95,131
2016,43,3,96,134
2016,44,4,97,138
2016,45,1,98,139
2016,46,5,99,144
2016,47,2,100,146
2016,48,2,101,148
2016,49,1,102,149
2016,50,3,103,152
2016,51,2,104,154
2016,52,2,105,156
