Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,2,13,3
2014,14,1,14,4
2014,15,1,15,5
2014,16,2,16,7
2014,17,0,17,7
2014,18,5,18,12
2014,19,6,19,18
2014,20,6,20,24
2014,21,7,21,31
2014,22,1,22,32
2014,23,11,23,43
2014,24,6,24,49
2014,25,1,25,50
2014,26,11,26,61
2014,27,3,27,64
2014,28,9,28,73
2014,29,11,29,84
2014,30,5,30,89
2014,31,10,31,99
2014,32,12,32,111
2014,33,5,33,116
2014,34,5,34,121
2014,35,4,35,125
2014,36,8,36,133
2014,37,0,37,133
2014,38,4,38,137
2014,39,4,39,141
2014,40,5,40,146
2014,41,0,41,146
2014,42,5,42,151
2014,43,1,43,152
2014,44,1,44,153
2014,45,9,45,162
2014,46,7,46,169
2014,47,1,47,170
2014,48,0,48,170
2014,49,5,49,175
2014,50,4,50,179
2014,51,0,51,179
2014,52,1,52,180
2014,53,0,53,180
2016,1,0,54,180
2016,2,1,55,181
2016,3,0,56,181
2016,4,0,57,181
2016,5,2,58,183
2016,6,0,59,183
2016,7,1,60,184
2016,8,0,61,184
2016,9,1,62,185
2016,10,0,63,185
2016,11,1,64,186
2016,12,0,65,186
2016,13,2,66,188
2016,14,2,67,190
2016,15,1,68,191
2016,16,5,69,196
2016,17,4,70,200
2016,18,3,71,203
2016,19,10,72,213
2016,20,6,73,219
2016,21,0,74,219
2016,22,0,75,219
2016,23,13,76,232
2016,24,22,77,254
2016,25,23,78,277
2016,26,13,79,290
2016,27,4,80,294
2016,28,41,81,335
2016,29,5,82,340
2016,30,29,83,369
2016,31,7,84,376
2016,32,26,85,402
2016,33,16,86,418
2016,34,7,87,425
2016,35,2,88,427
2016,36,1,89,428
2016,37,1,90,429
2016,38,13,91,442
2016,39,11,92,453
2016,40,7,93,460
2016,41,3,94,463
2016,42,4,95,467
2016,43,0,96,467
2016,44,0,97,467
2016,45,0,98,467
2016,46,1,99,468
2016,47,0,100,468
2016,48,1,101,469
2016,49,3,102,472
2016,50,3,103,475
2016,51,2,104,477
2016,52,0,105,477
