Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,1,8,2
2014,9,1,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,1,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,1,16,5
2014,17,0,17,5
2014,18,3,18,8
2014,19,1,19,9
2014,20,0,20,9
2014,21,2,21,11
2014,22,1,22,12
2014,23,1,23,13
2014,24,2,24,15
2014,25,0,25,15
2014,26,0,26,15
2014,27,2,27,17
2014,28,0,28,17
2014,29,0,29,17
2014,30,1,30,18
2014,31,1,31,19
2014,32,3,32,22
2014,33,2,33,24
2014,34,1,34,25
2014,35,1,35,26
2014,36,0,36,26
2014,37,0,37,26
2014,38,0,38,26
2014,39,0,39,26
2014,40,0,40,26
2014,41,1,41,27
2014,42,0,42,27
2014,43,0,43,27
2014,44,3,44,30
2014,45,0,45,30
2014,46,1,46,31
2014,47,0,47,31
2014,48,0,48,31
2014,49,1,49,32
2014,50,0,50,32
2014,51,1,51,33
2014,52,0,52,33
2014,53,0,53,33
2016,1,0,54,33
2016,2,0,55,33
2016,3,0,56,33
2016,4,0,57,33
2016,5,0,58,33
2016,6,0,59,33
2016,7,0,60,33
2016,8,1,61,34
2016,9,1,62,35
2016,10,0,63,35
2016,11,1,64,36
2016,12,0,65,36
2016,13,0,66,36
2016,14,1,67,37
2016,15,1,68,38
2016,16,0,69,38
2016,17,0,70,38
2016,18,0,71,38
2016,19,0,72,38
2016,20,1,73,39
2016,21,1,74,40
2016,22,0,75,40
2016,23,1,76,41
2016,24,2,77,43
2016,25,1,78,44
2016,26,0,79,44
2016,27,0,80,44
2016,28,0,81,44
2016,29,1,82,45
2016,30,0,83,45
2016,31,0,84,45
2016,32,0,85,45
2016,33,0,86,45
2016,34,2,87,47
2016,35,0,88,47
2016,36,0,89,47
2016,37,0,90,47
2016,38,1,91,48
2016,39,0,92,48
2016,40,0,93,48
2016,41,0,94,48
2016,42,0,95,48
2016,43,1,96,49
2016,44,1,97,50
2016,45,1,98,51
2016,46,0,99,51
2016,47,0,100,51
2016,48,0,101,51
2016,49,1,102,52
2016,50,0,103,52
2016,51,0,104,52
2016,52,0,105,52
