Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,1,21,2
2014,22,1,22,3
2014,23,1,23,4
2014,24,0,24,4
2014,25,0,25,4
2014,26,1,26,5
2014,27,0,27,5
2014,28,2,28,7
2014,29,0,29,7
2014,30,1,30,8
2014,31,1,31,9
2014,32,2,32,11
2014,33,0,33,11
2014,34,3,34,14
2014,35,0,35,14
2014,36,1,36,15
2014,37,1,37,16
2014,38,0,38,16
2014,39,2,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,1,42,19
2014,43,0,43,19
2014,44,0,44,19
2014,45,0,45,19
2014,46,0,46,19
2014,47,1,47,20
2014,48,0,48,20
2014,49,0,49,20
2014,50,0,50,20
2014,51,0,51,20
2014,52,0,52,20
2014,53,0,53,20
2016,1,1,54,21
2016,2,0,55,21
2016,3,0,56,21
2016,4,0,57,21
2016,5,2,58,23
2016,6,0,59,23
2016,7,0,60,23
2016,8,0,61,23
2016,9,0,62,23
2016,10,0,63,23
2016,11,0,64,23
2016,12,0,65,23
2016,13,1,66,24
2016,14,0,67,24
2016,15,0,68,24
2016,16,1,69,25
2016,17,0,70,25
2016,18,1,71,26
2016,19,0,72,26
2016,20,0,73,26
2016,21,0,74,26
2016,22,0,75,26
2016,23,1,76,27
2016,24,5,77,32
2016,25,5,78,37
2016,26,0,79,37
2016,27,0,80,37
2016,28,1,81,38
2016,29,0,82,38
2016,30,0,83,38
2016,31,1,84,39
2016,32,3,85,42
2016,33,0,86,42
2016,34,0,87,42
2016,35,0,88,42
2016,36,0,89,42
2016,37,0,90,42
2016,38,0,91,42
2016,39,0,92,42
2016,40,0,93,42
2016,41,0,94,42
2016,42,0,95,42
2016,43,0,96,42
2016,44,1,97,43
2016,45,0,98,43
2016,46,0,99,43
2016,47,0,100,43
2016,48,0,101,43
2016,49,1,102,44
2016,50,1,103,45
2016,51,0,104,45
2016,52,0,105,45
