Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,1,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,2,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,1,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,1,20,5
2014,21,0,21,5
2014,22,1,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,0,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,1,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,1,36,8
2014,37,1,37,9
2014,38,4,38,13
2014,39,0,39,13
2014,40,0,40,13
2014,41,0,41,13
2014,42,0,42,13
2014,43,0,43,13
2014,44,0,44,13
2014,45,1,45,14
2014,46,1,46,15
2014,47,1,47,16
2014,48,1,48,17
2014,49,0,49,17
2014,50,0,50,17
2014,51,0,51,17
2014,52,0,52,17
2014,53,0,53,17
2016,1,0,54,17
2016,2,0,55,17
2016,3,0,56,17
2016,4,0,57,17
2016,5,0,58,17
2016,6,0,59,17
2016,7,0,60,17
2016,8,0,61,17
2016,9,0,62,17
2016,10,0,63,17
2016,11,0,64,17
2016,12,1,65,18
2016,13,0,66,18
2016,14,0,67,18
2016,15,0,68,18
2016,16,0,69,18
2016,17,0,70,18
2016,18,1,71,19
2016,19,0,72,19
2016,20,0,73,19
2016,21,0,74,19
2016,22,0,75,19
2016,23,0,76,19
2016,24,0,77,19
2016,25,0,78,19
2016,26,0,79,19
2016,27,0,80,19
2016,28,1,81,20
2016,29,0,82,20
2016,30,0,83,20
2016,31,0,84,20
2016,32,1,85,21
2016,33,0,86,21
2016,34,1,87,22
2016,35,0,88,22
2016,36,0,89,22
2016,37,1,90,23
2016,38,1,91,24
2016,39,0,92,24
2016,40,1,93,25
2016,41,1,94,26
2016,42,1,95,27
2016,43,2,96,29
2016,44,0,97,29
2016,45,1,98,30
2016,46,0,99,30
2016,47,0,100,30
2016,48,0,101,30
2016,49,0,102,30
2016,50,0,103,30
2016,51,0,104,30
2016,52,0,105,30
