Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,1,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,1,7,3
2014,8,0,8,3
2014,9,0,9,3
2014,10,1,10,4
2014,11,0,11,4
2014,12,0,12,4
2014,13,0,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,1,21,5
2014,22,1,22,6
2014,23,1,23,7
2014,24,0,24,7
2014,25,1,25,8
2014,26,0,26,8
2014,27,0,27,8
2014,28,0,28,8
2014,29,0,29,8
2014,30,1,30,9
2014,31,0,31,9
2014,32,0,32,9
2014,33,0,33,9
2014,34,0,34,9
2014,35,0,35,9
2014,36,0,36,9
2014,37,0,37,9
2014,38,0,38,9
2014,39,0,39,9
2014,40,0,40,9
2014,41,0,41,9
2014,42,0,42,9
2014,43,0,43,9
2014,44,0,44,9
2014,45,0,45,9
2014,46,0,46,9
2014,47,0,47,9
2014,48,0,48,9
2014,49,0,49,9
2014,50,0,50,9
2014,51,0,51,9
2014,52,1,52,10
2014,53,0,53,10
2016,1,0,54,10
2016,2,0,55,10
2016,3,0,56,10
2016,4,0,57,10
2016,5,0,58,10
2016,6,0,59,10
2016,7,0,60,10
2016,8,0,61,10
2016,9,0,62,10
2016,10,0,63,10
2016,11,0,64,10
2016,12,0,65,10
2016,13,0,66,10
2016,14,0,67,10
2016,15,0,68,10
2016,16,0,69,10
2016,17,0,70,10
2016,18,0,71,10
2016,19,1,72,11
2016,20,0,73,11
2016,21,0,74,11
2016,22,0,75,11
2016,23,0,76,11
2016,24,0,77,11
2016,25,2,78,13
2016,26,1,79,14
2016,27,1,80,15
2016,28,1,81,16
2016,29,0,82,16
2016,30,3,83,19
2016,31,3,84,22
2016,32,0,85,22
2016,33,0,86,22
2016,34,0,87,22
2016,35,1,88,23
2016,36,1,89,24
2016,37,0,90,24
2016,38,0,91,24
2016,39,0,92,24
2016,40,0,93,24
2016,41,0,94,24
2016,42,0,95,24
2016,43,0,96,24
2016,44,0,97,24
2016,45,0,98,24
2016,46,0,99,24
2016,47,0,100,24
2016,48,0,101,24
2016,49,0,102,24
2016,50,0,103,24
2016,51,0,104,24
2016,52,0,105,24
