Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,3,9,4
2014,10,1,10,5
2014,11,0,11,5
2014,12,1,12,6
2014,13,0,13,6
2014,14,1,14,7
2014,15,4,15,11
2014,16,1,16,12
2014,17,1,17,13
2014,18,5,18,18
2014,19,3,19,21
2014,20,1,20,22
2014,21,1,21,23
2014,22,7,22,30
2014,23,9,23,39
2014,24,13,24,52
2014,25,7,25,59
2014,26,13,26,72
2014,27,4,27,76
2014,28,7,28,83
2014,29,5,29,88
2014,30,7,30,95
2014,31,10,31,105
2014,32,10,32,115
2014,33,5,33,120
2014,34,2,34,122
2014,35,6,35,128
2014,36,5,36,133
2014,37,6,37,139
2014,38,2,38,141
2014,39,3,39,144
2014,40,1,40,145
2014,41,2,41,147
2014,42,0,42,147
2014,43,0,43,147
2014,44,0,44,147
2014,45,5,45,152
2014,46,4,46,156
2014,47,1,47,157
2014,48,0,48,157
2014,49,0,49,157
2014,50,1,50,158
2014,51,0,51,158
2014,52,0,52,158
2014,53,0,53,158
2016,1,0,54,158
2016,2,0,55,158
2016,3,0,56,158
2016,4,0,57,158
2016,5,0,58,158
2016,6,0,59,158
2016,7,0,60,158
2016,8,0,61,158
2016,9,0,62,158
2016,10,1,63,159
2016,11,1,64,160
2016,12,0,65,160
2016,13,3,66,163
2016,14,1,67,164
2016,15,1,68,165
2016,16,1,69,166
2016,17,2,70,168
2016,18,2,71,170
2016,19,9,72,179
2016,20,2,73,181
2016,21,1,74,182
2016,22,2,75,184
2016,23,4,76,188
2016,24,3,77,191
2016,25,8,78,199
2016,26,5,79,204
2016,27,6,80,210
2016,28,11,81,221
2016,29,4,82,225
2016,30,1,83,226
2016,31,4,84,230
2016,32,4,85,234
2016,33,4,86,238
2016,34,1,87,239
2016,35,5,88,244
2016,36,7,89,251
2016,37,5,90,256
2016,38,7,91,263
2016,39,3,92,266
2016,40,0,93,266
2016,41,0,94,266
2016,42,3,95,269
2016,43,3,96,272
2016,44,1,97,273
2016,45,0,98,273
2016,46,1,99,274
2016,47,0,100,274
2016,48,0,101,274
2016,49,0,102,274
2016,50,3,103,277
2016,51,1,104,278
2016,52,0,105,278
