Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,1,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,1,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,3,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,0,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,1,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,3,36,10
2014,37,1,37,11
2014,38,0,38,11
2014,39,0,39,11
2014,40,0,40,11
2014,41,0,41,11
2014,42,0,42,11
2014,43,0,43,11
2014,44,0,44,11
2014,45,0,45,11
2014,46,0,46,11
2014,47,0,47,11
2014,48,0,48,11
2014,49,0,49,11
2014,50,0,50,11
2014,51,0,51,11
2014,52,0,52,11
2014,53,0,53,11
2016,1,0,54,11
2016,2,0,55,11
2016,3,7,56,18
2016,4,0,57,18
2016,5,0,58,18
2016,6,0,59,18
2016,7,0,60,18
2016,8,5,61,23
2016,9,5,62,28
2016,10,4,63,32
2016,11,0,64,32
2016,12,0,65,32
2016,13,0,66,32
2016,14,0,67,32
2016,15,0,68,32
2016,16,0,69,32
2016,17,0,70,32
2016,18,0,71,32
2016,19,0,72,32
2016,20,0,73,32
2016,21,0,74,32
2016,22,1,75,33
2016,23,0,76,33
2016,24,0,77,33
2016,25,0,78,33
2016,26,0,79,33
2016,27,0,80,33
2016,28,0,81,33
2016,29,0,82,33
2016,30,0,83,33
2016,31,0,84,33
2016,32,0,85,33
2016,33,4,86,37
2016,34,0,87,37
2016,35,0,88,37
2016,36,0,89,37
2016,37,0,90,37
2016,38,0,91,37
2016,39,0,92,37
2016,40,0,93,37
2016,41,0,94,37
2016,42,0,95,37
2016,43,0,96,37
2016,44,0,97,37
2016,45,0,98,37
2016,46,0,99,37
2016,47,0,100,37
2016,48,0,101,37
2016,49,0,102,37
2016,50,0,103,37
2016,51,0,104,37
2016,52,0,105,37
2017,1,0,106,37
2017,2,1,107,38
2017,3,0,108,38
2017,4,0,109,38
2017,5,3,110,41
2017,6,0,111,41
2017,7,0,112,41
2017,8,0,113,41
2017,9,0,114,41
2017,10,0,115,41
2017,11,1,116,42
2017,12,2,117,44
2017,13,2,118,46
2017,14,0,119,46
2017,15,0,120,46
