Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,2,18,2
2014,19,0,19,2
2014,20,4,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,1,23,7
2014,24,0,24,7
2014,25,3,25,10
2014,26,1,26,11
2014,27,0,27,11
2014,28,1,28,12
2014,29,2,29,14
2014,30,0,30,14
2014,31,0,31,14
2014,32,0,32,14
2014,33,0,33,14
2014,34,2,34,16
2014,35,0,35,16
2014,36,0,36,16
2014,37,0,37,16
2014,38,0,38,16
2014,39,2,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,0,42,18
2014,43,3,43,21
2014,44,0,44,21
2014,45,0,45,21
2014,46,0,46,21
2014,47,0,47,21
2014,48,0,48,21
2014,49,0,49,21
2014,50,1,50,22
2014,51,2,51,24
2014,52,0,52,24
2014,53,0,53,24
2016,1,0,54,24
2016,2,0,55,24
2016,3,0,56,24
2016,4,0,57,24
2016,5,0,58,24
2016,6,0,59,24
2016,7,0,60,24
2016,8,0,61,24
2016,9,0,62,24
2016,10,3,63,27
2016,11,0,64,27
2016,12,1,65,28
2016,13,0,66,28
2016,14,1,67,29
2016,15,1,68,30
2016,16,1,69,31
2016,17,1,70,32
2016,18,1,71,33
2016,19,3,72,36
2016,20,1,73,37
2016,21,1,74,38
2016,22,0,75,38
2016,23,0,76,38
2016,24,2,77,40
2016,25,2,78,42
2016,26,2,79,44
2016,27,0,80,44
2016,28,2,81,46
2016,29,1,82,47
2016,30,0,83,47
2016,31,0,84,47
2016,32,0,85,47
2016,33,0,86,47
2016,34,0,87,47
2016,35,1,88,48
2016,36,1,89,49
2016,37,0,90,49
2016,38,0,91,49
2016,39,1,92,50
2016,40,2,93,52
2016,41,2,94,54
2016,42,2,95,56
2016,43,0,96,56
2016,44,1,97,57
2016,45,1,98,58
2016,46,0,99,58
2016,47,0,100,58
2016,48,0,101,58
2016,49,0,102,58
2016,50,0,103,58
2016,51,1,104,59
2016,52,0,105,59
2017,1,0,106,59
2017,2,2,107,61
2017,3,1,108,62
2017,4,0,109,62
2017,5,1,110,63
2017,6,0,111,63
2017,7,0,112,63
2017,8,0,113,63
2017,9,0,114,63
2017,10,1,115,64
2017,11,1,116,65
2017,12,0,117,65
2017,13,0,118,65
2017,14,0,119,65
2017,15,0,120,65
