Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,1,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,1,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,1,29,4
2014,30,1,30,5
2014,31,0,31,5
2014,32,1,32,6
2014,33,1,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,2,36,9
2014,37,2,37,11
2014,38,1,38,12
2014,39,0,39,12
2014,40,0,40,12
2014,41,0,41,12
2014,42,1,42,13
2014,43,0,43,13
2014,44,0,44,13
2014,45,0,45,13
2014,46,0,46,13
2014,47,0,47,13
2014,48,0,48,13
2014,49,0,49,13
2014,50,0,50,13
2014,51,0,51,13
2014,52,0,52,13
2014,53,0,53,13
2016,1,0,54,13
2016,2,0,55,13
2016,3,0,56,13
2016,4,0,57,13
2016,5,0,58,13
2016,6,2,59,15
2016,7,0,60,15
2016,8,0,61,15
2016,9,0,62,15
2016,10,0,63,15
2016,11,1,64,16
2016,12,0,65,16
2016,13,1,66,17
2016,14,0,67,17
2016,15,0,68,17
2016,16,0,69,17
2016,17,0,70,17
2016,18,1,71,18
2016,19,0,72,18
2016,20,2,73,20
2016,21,0,74,20
2016,22,0,75,20
2016,23,0,76,20
2016,24,0,77,20
2016,25,0,78,20
2016,26,1,79,21
2016,27,0,80,21
2016,28,1,81,22
2016,29,0,82,22
2016,30,2,83,24
2016,31,0,84,24
2016,32,0,85,24
2016,33,0,86,24
2016,34,3,87,27
2016,35,0,88,27
2016,36,0,89,27
2016,37,0,90,27
2016,38,0,91,27
2016,39,0,92,27
2016,40,0,93,27
2016,41,1,94,28
2016,42,0,95,28
2016,43,0,96,28
2016,44,1,97,29
2016,45,0,98,29
2016,46,0,99,29
2016,47,0,100,29
2016,48,0,101,29
2016,49,0,102,29
2016,50,0,103,29
2016,51,0,104,29
2016,52,0,105,29
2017,1,0,106,29
2017,2,1,107,30
2017,3,0,108,30
2017,4,1,109,31
2017,5,2,110,33
2017,6,1,111,34
2017,7,0,112,34
2017,8,3,113,37
2017,9,0,114,37
2017,10,2,115,39
2017,11,0,116,39
2017,12,0,117,39
2017,13,0,118,39
2017,14,0,119,39
2017,15,0,120,39
