Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,9,2,12
2014,3,4,3,16
2014,4,2,4,18
2014,5,2,5,20
2014,6,5,6,25
2014,7,4,7,29
2014,8,2,8,31
2014,9,8,9,39
2014,10,3,10,42
2014,11,2,11,44
2014,12,4,12,48
2014,13,1,13,49
2014,14,1,14,50
2014,15,0,15,50
2014,16,2,16,52
2014,17,3,17,55
2014,18,3,18,58
2014,19,2,19,60
2014,20,7,20,67
2014,21,4,21,71
2014,22,4,22,75
2014,23,3,23,78
2014,24,6,24,84
2014,25,4,25,88
2014,26,7,26,95
2014,27,4,27,99
2014,28,1,28,100
2014,29,9,29,109
2014,30,2,30,111
2014,31,6,31,117
2014,32,2,32,119
2014,33,3,33,122
2014,34,2,34,124
2014,35,0,35,124
2014,36,1,36,125
2014,37,0,37,125
2014,38,6,38,131
2014,39,0,39,131
2014,40,0,40,131
2014,41,3,41,134
2014,42,2,42,136
2014,43,3,43,139
2014,44,4,44,143
2014,45,2,45,145
2014,46,1,46,146
2014,47,3,47,149
2014,48,1,48,150
2014,49,4,49,154
2014,50,2,50,156
2014,51,3,51,159
2014,52,0,52,159
2014,53,0,53,159
2016,1,0,54,159
2016,2,3,55,162
2016,3,2,56,164
2016,4,5,57,169
2016,5,5,58,174
2016,6,2,59,176
2016,7,0,60,176
2016,8,4,61,180
2016,9,2,62,182
2016,10,3,63,185
2016,11,2,64,187
2016,12,3,65,190
2016,13,5,66,195
2016,14,7,67,202
2016,15,2,68,204
2016,16,0,69,204
2016,17,4,70,208
2016,18,3,71,211
2016,19,1,72,212
2016,20,5,73,217
2016,21,3,74,220
2016,22,1,75,221
2016,23,2,76,223
2016,24,3,77,226
2016,25,2,78,228
2016,26,6,79,234
2016,27,2,80,236
2016,28,3,81,239
2016,29,0,82,239
2016,30,5,83,244
2016,31,5,84,249
2016,32,4,85,253
2016,33,5,86,258
2016,34,1,87,259
2016,35,1,88,260
2016,36,0,89,260
2016,37,1,90,261
2016,38,7,91,268
2016,39,7,92,275
2016,40,5,93,280
2016,41,3,94,283
2016,42,7,95,290
2016,43,4,96,294
2016,44,1,97,295
2016,45,1,98,296
2016,46,0,99,296
2016,47,1,100,297
2016,48,6,101,303
2016,49,5,102,308
2016,50,1,103,309
2016,51,0,104,309
2016,52,0,105,309
2017,1,2,106,311
2017,2,0,107,311
2017,3,2,108,313
2017,4,1,109,314
2017,5,3,110,317
2017,6,5,111,322
2017,7,6,112,328
2017,8,4,113,332
2017,9,4,114,336
2017,10,2,115,338
2017,11,2,116,340
2017,12,4,117,344
2017,13,0,118,344
2017,14,3,119,347
2017,15,3,120,350
