Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,1,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,0,41,1
2014,42,0,42,1
2014,43,0,43,1
2014,44,0,44,1
2014,45,0,45,1
2014,46,0,46,1
2014,47,1,47,2
2014,48,0,48,2
2014,49,0,49,2
2014,50,0,50,2
2014,51,0,51,2
2014,52,0,52,2
2014,53,0,53,2
2016,1,0,54,2
2016,2,0,55,2
2016,3,0,56,2
2016,4,0,57,2
2016,5,0,58,2
2016,6,0,59,2
2016,7,0,60,2
2016,8,0,61,2
2016,9,0,62,2
2016,10,0,63,2
2016,11,1,64,3
2016,12,0,65,3
2016,13,0,66,3
2016,14,0,67,3
2016,15,0,68,3
2016,16,0,69,3
2016,17,1,70,4
2016,18,0,71,4
2016,19,1,72,5
2016,20,0,73,5
2016,21,0,74,5
2016,22,0,75,5
2016,23,0,76,5
2016,24,0,77,5
2016,25,0,78,5
2016,26,0,79,5
2016,27,0,80,5
2016,28,0,81,5
2016,29,0,82,5
2016,30,1,83,6
2016,31,0,84,6
2016,32,0,85,6
2016,33,0,86,6
2016,34,0,87,6
2016,35,0,88,6
2016,36,0,89,6
2016,37,0,90,6
2016,38,0,91,6
2016,39,0,92,6
2016,40,0,93,6
2016,41,0,94,6
2016,42,0,95,6
2016,43,0,96,6
2016,44,0,97,6
2016,45,0,98,6
2016,46,0,99,6
2016,47,0,100,6
2016,48,0,101,6
2016,49,0,102,6
2016,50,0,103,6
2016,51,0,104,6
2016,52,0,105,6
2017,1,0,106,6
2017,2,0,107,6
2017,3,0,108,6
2017,4,0,109,6
2017,5,0,110,6
2017,6,0,111,6
2017,7,0,112,6
2017,8,0,113,6
2017,9,0,114,6
2017,10,0,115,6
2017,11,0,116,6
2017,12,0,117,6
2017,13,0,118,6
2017,14,0,119,6
2017,15,0,120,6
