Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,2,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,5,21,7
2014,22,0,22,7
2014,23,0,23,7
2014,24,3,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,2,27,12
2014,28,0,28,12
2014,29,0,29,12
2014,30,0,30,12
2014,31,0,31,12
2014,32,0,32,12
2014,33,0,33,12
2014,34,2,34,14
2014,35,0,35,14
2014,36,0,36,14
2014,37,1,37,15
2014,38,0,38,15
2014,39,0,39,15
2014,40,0,40,15
2014,41,0,41,15
2014,42,0,42,15
2014,43,0,43,15
2014,44,0,44,15
2014,45,0,45,15
2014,46,0,46,15
2014,47,0,47,15
2014,48,0,48,15
2014,49,0,49,15
2014,50,0,50,15
2014,51,0,51,15
2014,52,0,52,15
2014,53,0,53,15
2016,1,0,54,15
2016,2,3,55,18
2016,3,0,56,18
2016,4,0,57,18
2016,5,0,58,18
2016,6,0,59,18
2016,7,0,60,18
2016,8,0,61,18
2016,9,0,62,18
2016,10,1,63,19
2016,11,0,64,19
2016,12,0,65,19
2016,13,0,66,19
2016,14,0,67,19
2016,15,0,68,19
2016,16,0,69,19
2016,17,2,70,21
2016,18,0,71,21
2016,19,0,72,21
2016,20,0,73,21
2016,21,0,74,21
2016,22,0,75,21
2016,23,0,76,21
2016,24,0,77,21
2016,25,0,78,21
2016,26,0,79,21
2016,27,0,80,21
2016,28,0,81,21
2016,29,0,82,21
2016,30,0,83,21
2016,31,0,84,21
2016,32,0,85,21
2016,33,0,86,21
2016,34,0,87,21
2016,35,0,88,21
2016,36,0,89,21
2016,37,0,90,21
2016,38,0,91,21
2016,39,0,92,21
2016,40,0,93,21
2016,41,0,94,21
2016,42,0,95,21
2016,43,0,96,21
2016,44,0,97,21
2016,45,1,98,22
2016,46,0,99,22
2016,47,4,100,26
2016,48,0,101,26
2016,49,2,102,28
2016,50,0,103,28
2016,51,0,104,28
2016,52,0,105,28
2017,1,0,106,28
2017,2,0,107,28
2017,3,0,108,28
2017,4,0,109,28
2017,5,0,110,28
2017,6,0,111,28
2017,7,0,112,28
2017,8,0,113,28
2017,9,0,114,28
2017,10,0,115,28
2017,11,0,116,28
2017,12,0,117,28
2017,13,0,118,28
2017,14,0,119,28
2017,15,0,120,28
