Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,1,6,2
2014,7,2,7,4
2014,8,0,8,4
2014,9,3,9,7
2014,10,0,10,7
2014,11,0,11,7
2014,12,1,12,8
2014,13,0,13,8
2014,14,0,14,8
2014,15,1,15,9
2014,16,0,16,9
2014,17,0,17,9
2014,18,0,18,9
2014,19,0,19,9
2014,20,1,20,10
2014,21,0,21,10
2014,22,0,22,10
2014,23,0,23,10
2014,24,0,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,0,30,10
2014,31,0,31,10
2014,32,0,32,10
2014,33,2,33,12
2014,34,0,34,12
2014,35,1,35,13
2014,36,0,36,13
2014,37,3,37,16
2014,38,2,38,18
2014,39,1,39,19
2014,40,2,40,21
2014,41,1,41,22
2014,42,0,42,22
2014,43,1,43,23
2014,44,0,44,23
2014,45,0,45,23
2014,46,2,46,25
2014,47,0,47,25
2014,48,0,48,25
2014,49,0,49,25
2014,50,0,50,25
2014,51,0,51,25
2014,52,0,52,25
2014,53,2,53,27
2016,1,2,54,29
2016,2,0,55,29
2016,3,0,56,29
2016,4,2,57,31
2016,5,3,58,34
2016,6,0,59,34
2016,7,1,60,35
2016,8,0,61,35
2016,9,3,62,38
2016,10,4,63,42
2016,11,3,64,45
2016,12,2,65,47
2016,13,1,66,48
2016,14,2,67,50
2016,15,0,68,50
2016,16,1,69,51
2016,17,0,70,51
2016,18,2,71,53
2016,19,0,72,53
2016,20,1,73,54
2016,21,1,74,55
2016,22,1,75,56
2016,23,0,76,56
2016,24,0,77,56
2016,25,1,78,57
2016,26,0,79,57
2016,27,1,80,58
2016,28,0,81,58
2016,29,3,82,61
2016,30,1,83,62
2016,31,1,84,63
2016,32,0,85,63
2016,33,0,86,63
2016,34,0,87,63
2016,35,1,88,64
2016,36,0,89,64
2016,37,2,90,66
2016,38,0,91,66
2016,39,2,92,68
2016,40,0,93,68
2016,41,1,94,69
2016,42,1,95,70
2016,43,0,96,70
2016,44,2,97,72
2016,45,1,98,73
2016,46,1,99,74
2016,47,0,100,74
2016,48,1,101,75
2016,49,1,102,76
2016,50,2,103,78
2016,51,0,104,78
2016,52,0,105,78
2017,1,0,106,78
2017,2,0,107,78
2017,3,2,108,80
2017,4,0,109,80
2017,5,0,110,80
2017,6,3,111,83
2017,7,0,112,83
2017,8,2,113,85
2017,9,0,114,85
2017,10,1,115,86
2017,11,1,116,87
2017,12,0,117,87
2017,13,1,118,88
2017,14,2,119,90
2017,15,1,120,91
