Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,1,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,1,37,2
2014,38,0,38,2
2014,39,0,39,2
2014,40,0,40,2
2014,41,0,41,2
2014,42,1,42,3
2014,43,1,43,4
2014,44,0,44,4
2014,45,0,45,4
2014,46,0,46,4
2014,47,0,47,4
2014,48,0,48,4
2014,49,1,49,5
2014,50,0,50,5
2014,51,0,51,5
2014,52,0,52,5
2014,53,0,53,5
2016,1,1,54,6
2016,2,0,55,6
2016,3,0,56,6
2016,4,0,57,6
2016,5,0,58,6
2016,6,1,59,7
2016,7,0,60,7
2016,8,1,61,8
2016,9,1,62,9
2016,10,0,63,9
2016,11,0,64,9
2016,12,0,65,9
2016,13,0,66,9
2016,14,1,67,10
2016,15,0,68,10
2016,16,0,69,10
2016,17,0,70,10
2016,18,0,71,10
2016,19,0,72,10
2016,20,0,73,10
2016,21,2,74,12
2016,22,1,75,13
2016,23,0,76,13
2016,24,0,77,13
2016,25,0,78,13
2016,26,1,79,14
2016,27,0,80,14
2016,28,0,81,14
2016,29,1,82,15
2016,30,2,83,17
2016,31,0,84,17
2016,32,0,85,17
2016,33,0,86,17
2016,34,0,87,17
2016,35,1,88,18
2016,36,1,89,19
2016,37,0,90,19
2016,38,0,91,19
2016,39,0,92,19
2016,40,0,93,19
2016,41,0,94,19
2016,42,0,95,19
2016,43,1,96,20
2016,44,0,97,20
2016,45,0,98,20
2016,46,0,99,20
2016,47,0,100,20
2016,48,0,101,20
2016,49,0,102,20
2016,50,0,103,20
2016,51,0,104,20
2016,52,0,105,20
2017,1,0,106,20
2017,2,0,107,20
2017,3,0,108,20
2017,4,0,109,20
2017,5,0,110,20
2017,6,1,111,21
2017,7,0,112,21
2017,8,0,113,21
2017,9,0,114,21
2017,10,0,115,21
2017,11,1,116,22
2017,12,0,117,22
2017,13,0,118,22
2017,14,0,119,22
2017,15,1,120,23
