Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,2,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,1,6,3
2014,7,0,7,3
2014,8,1,8,4
2014,9,0,9,4
2014,10,0,10,4
2014,11,1,11,5
2014,12,1,12,6
2014,13,1,13,7
2014,14,0,14,7
2014,15,1,15,8
2014,16,1,16,9
2014,17,0,17,9
2014,18,1,18,10
2014,19,1,19,11
2014,20,1,20,12
2014,21,0,21,12
2014,22,1,22,13
2014,23,1,23,14
2014,24,0,24,14
2014,25,4,25,18
2014,26,0,26,18
2014,27,0,27,18
2014,28,0,28,18
2014,29,0,29,18
2014,30,0,30,18
2014,31,0,31,18
2014,32,0,32,18
2014,33,0,33,18
2014,34,0,34,18
2014,35,0,35,18
2014,36,0,36,18
2014,37,0,37,18
2014,38,0,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,1,41,19
2014,42,0,42,19
2014,43,2,43,21
2014,44,2,44,23
2014,45,0,45,23
2014,46,0,46,23
2014,47,0,47,23
2014,48,0,48,23
2014,49,0,49,23
2014,50,0,50,23
2014,51,0,51,23
2014,52,0,52,23
2014,53,0,53,23
2016,1,1,54,24
2016,2,0,55,24
2016,3,2,56,26
2016,4,0,57,26
2016,5,0,58,26
2016,6,1,59,27
2016,7,0,60,27
2016,8,0,61,27
2016,9,1,62,28
2016,10,1,63,29
2016,11,2,64,31
2016,12,2,65,33
2016,13,3,66,36
2016,14,1,67,37
2016,15,0,68,37
2016,16,0,69,37
2016,17,0,70,37
2016,18,0,71,37
2016,19,2,72,39
2016,20,2,73,41
2016,21,0,74,41
2016,22,0,75,41
2016,23,1,76,42
2016,24,0,77,42
2016,25,2,78,44
2016,26,1,79,45
2016,27,1,80,46
2016,28,0,81,46
2016,29,1,82,47
2016,30,0,83,47
2016,31,3,84,50
2016,32,1,85,51
2016,33,0,86,51
2016,34,0,87,51
2016,35,0,88,51
2016,36,0,89,51
2016,37,3,90,54
2016,38,0,91,54
2016,39,5,92,59
2016,40,2,93,61
2016,41,1,94,62
2016,42,0,95,62
2016,43,0,96,62
2016,44,1,97,63
2016,45,0,98,63
2016,46,0,99,63
2016,47,1,100,64
2016,48,0,101,64
2016,49,0,102,64
2016,50,0,103,64
2016,51,0,104,64
2016,52,1,105,65
2017,1,0,106,65
2017,2,0,107,65
2017,3,0,108,65
2017,4,0,109,65
2017,5,1,110,66
2017,6,1,111,67
2017,7,1,112,68
2017,8,2,113,70
2017,9,1,114,71
2017,10,1,115,72
2017,11,3,116,75
2017,12,0,117,75
2017,13,1,118,76
2017,14,2,119,78
2017,15,1,120,79
