Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,4,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,0,32,5
2014,33,0,33,5
2014,34,0,34,5
2014,35,1,35,6
2014,36,0,36,6
2014,37,1,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,0,50,7
2014,51,0,51,7
2014,52,0,52,7
2014,53,0,53,7
2016,1,0,54,7
2016,2,0,55,7
2016,3,0,56,7
2016,4,0,57,7
2016,5,0,58,7
2016,6,0,59,7
2016,7,0,60,7
2016,8,0,61,7
2016,9,0,62,7
2016,10,0,63,7
2016,11,0,64,7
2016,12,0,65,7
2016,13,0,66,7
2016,14,0,67,7
2016,15,0,68,7
2016,16,0,69,7
2016,17,0,70,7
2016,18,0,71,7
2016,19,0,72,7
2016,20,0,73,7
2016,21,0,74,7
2016,22,0,75,7
2016,23,0,76,7
2016,24,0,77,7
2016,25,0,78,7
2016,26,0,79,7
2016,27,0,80,7
2016,28,0,81,7
2016,29,0,82,7
2016,30,0,83,7
2016,31,0,84,7
2016,32,0,85,7
2016,33,0,86,7
2016,34,0,87,7
2016,35,0,88,7
2016,36,0,89,7
2016,37,0,90,7
2016,38,0,91,7
2016,39,0,92,7
2016,40,0,93,7
2016,41,0,94,7
2016,42,0,95,7
2016,43,0,96,7
2016,44,0,97,7
2016,45,0,98,7
2016,46,0,99,7
2016,47,0,100,7
2016,48,0,101,7
2016,49,0,102,7
2016,50,0,103,7
2016,51,0,104,7
2016,52,0,105,7
2017,1,0,106,7
2017,2,0,107,7
2017,3,0,108,7
2017,4,0,109,7
2017,5,0,110,7
2017,6,1,111,8
2017,7,0,112,8
2017,8,0,113,8
2017,9,0,114,8
2017,10,0,115,8
2017,11,0,116,8
2017,12,0,117,8
2017,13,0,118,8
2017,14,0,119,8
2017,15,0,120,8
