Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,2,6,2
2014,7,0,7,2
2014,8,2,8,4
2014,9,0,9,4
2014,10,0,10,4
2014,11,0,11,4
2014,12,0,12,4
2014,13,0,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,0,23,4
2014,24,0,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,1,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,1,31,6
2014,32,1,32,7
2014,33,0,33,7
2014,34,1,34,8
2014,35,0,35,8
2014,36,0,36,8
2014,37,0,37,8
2014,38,0,38,8
2014,39,1,39,9
2014,40,2,40,11
2014,41,1,41,12
2014,42,2,42,14
2014,43,0,43,14
2014,44,2,44,16
2014,45,0,45,16
2014,46,0,46,16
2014,47,2,47,18
2014,48,0,48,18
2014,49,3,49,21
2014,50,1,50,22
2014,51,0,51,22
2014,52,0,52,22
2014,53,0,53,22
2016,1,0,54,22
2016,2,0,55,22
2016,3,0,56,22
2016,4,0,57,22
2016,5,0,58,22
2016,6,0,59,22
2016,7,0,60,22
2016,8,0,61,22
2016,9,0,62,22
2016,10,0,63,22
2016,11,0,64,22
2016,12,0,65,22
2016,13,0,66,22
2016,14,0,67,22
2016,15,0,68,22
2016,16,0,69,22
2016,17,0,70,22
2016,18,0,71,22
2016,19,0,72,22
2016,20,0,73,22
2016,21,0,74,22
2016,22,1,75,23
2016,23,0,76,23
2016,24,0,77,23
2016,25,0,78,23
2016,26,11,79,34
2016,27,1,80,35
2016,28,0,81,35
2016,29,0,82,35
2016,30,0,83,35
2016,31,0,84,35
2016,32,0,85,35
2016,33,0,86,35
2016,34,0,87,35
2016,35,0,88,35
2016,36,0,89,35
2016,37,0,90,35
2016,38,1,91,36
2016,39,0,92,36
2016,40,0,93,36
2016,41,1,94,37
2016,42,0,95,37
2016,43,0,96,37
2016,44,0,97,37
2016,45,0,98,37
2016,46,0,99,37
2016,47,0,100,37
2016,48,0,101,37
2016,49,0,102,37
2016,50,0,103,37
2016,51,1,104,38
2016,52,0,105,38
2017,1,0,106,38
2017,2,1,107,39
2017,3,1,108,40
2017,4,0,109,40
2017,5,1,110,41
2017,6,0,111,41
2017,7,0,112,41
2017,8,2,113,43
2017,9,2,114,45
2017,10,0,115,45
2017,11,0,116,45
2017,12,0,117,45
2017,13,0,118,45
2017,14,0,119,45
2017,15,0,120,45
