Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,4,2,4
2014,3,4,3,8
2014,4,5,4,13
2014,5,5,5,18
2014,6,9,6,27
2014,7,6,7,33
2014,8,4,8,37
2014,9,4,9,41
2014,10,6,10,47
2014,11,8,11,55
2014,12,10,12,65
2014,13,9,13,74
2014,14,10,14,84
2014,15,5,15,89
2014,16,10,16,99
2014,17,3,17,102
2014,18,13,18,115
2014,19,11,19,126
2014,20,4,20,130
2014,21,7,21,137
2014,22,14,22,151
2014,23,5,23,156
2014,24,5,24,161
2014,25,10,25,171
2014,26,9,26,180
2014,27,9,27,189
2014,28,11,28,200
2014,29,6,29,206
2014,30,6,30,212
2014,31,9,31,221
2014,32,11,32,232
2014,33,4,33,236
2014,34,4,34,240
2014,35,10,35,250
2014,36,9,36,259
2014,37,14,37,273
2014,38,6,38,279
2014,39,12,39,291
2014,40,11,40,302
2014,41,7,41,309
2014,42,4,42,313
2014,43,7,43,320
2014,44,11,44,331
2014,45,7,45,338
2014,46,9,46,347
2014,47,3,47,350
2014,48,3,48,353
2014,49,9,49,362
2014,50,8,50,370
2014,51,10,51,380
2014,52,6,52,386
2014,53,5,53,391
2016,1,0,54,391
2016,2,6,55,397
2016,3,4,56,401
2016,4,9,57,410
2016,5,9,58,419
2016,6,5,59,424
2016,7,7,60,431
2016,8,9,61,440
2016,9,12,62,452
2016,10,11,63,463
2016,11,7,64,470
2016,12,7,65,477
2016,13,13,66,490
2016,14,6,67,496
2016,15,7,68,503
2016,16,9,69,512
2016,17,8,70,520
2016,18,12,71,532
2016,19,15,72,547
2016,20,16,73,563
2016,21,13,74,576
2016,22,0,75,576
2016,23,11,76,587
2016,24,12,77,599
2016,25,13,78,612
2016,26,10,79,622
2016,27,5,80,627
2016,28,12,81,639
2016,29,12,82,651
2016,30,11,83,662
2016,31,7,84,669
2016,32,10,85,679
2016,33,11,86,690
2016,34,11,87,701
2016,35,7,88,708
2016,36,7,89,715
2016,37,10,90,725
2016,38,10,91,735
2016,39,14,92,749
2016,40,10,93,759
2016,41,5,94,764
2016,42,10,95,774
2016,43,16,96,790
2016,44,10,97,800
2016,45,12,98,812
2016,46,0,99,812
2016,47,7,100,819
2016,48,14,101,833
2016,49,8,102,841
2016,50,19,103,860
2016,51,13,104,873
2016,52,6,105,879
2017,1,1,106,880
2017,2,2,107,882
2017,3,7,108,889
2017,4,19,109,908
2017,5,16,110,924
2017,6,3,111,927
2017,7,8,112,935
2017,8,6,113,941
2017,9,13,114,954
2017,10,12,115,966
2017,11,6,116,972
2017,12,14,117,986
2017,13,11,118,997
2017,14,13,119,1010
2017,15,10,120,1020
