Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,2,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,1,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,1,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,0,30,4
2014,31,0,31,4
2014,32,0,32,4
2014,33,0,33,4
2014,34,0,34,4
2014,35,0,35,4
2014,36,0,36,4
2014,37,0,37,4
2014,38,0,38,4
2014,39,0,39,4
2014,40,0,40,4
2014,41,0,41,4
2014,42,0,42,4
2014,43,0,43,4
2014,44,0,44,4
2014,45,0,45,4
2014,46,0,46,4
2014,47,0,47,4
2014,48,0,48,4
2014,49,0,49,4
2014,50,0,50,4
2014,51,0,51,4
2014,52,0,52,4
2014,53,0,53,4
2016,1,0,54,4
2016,2,0,55,4
2016,3,0,56,4
2016,4,2,57,6
2016,5,0,58,6
2016,6,1,59,7
2016,7,0,60,7
2016,8,0,61,7
2016,9,0,62,7
2016,10,1,63,8
2016,11,0,64,8
2016,12,0,65,8
2016,13,0,66,8
2016,14,0,67,8
2016,15,0,68,8
2016,16,0,69,8
2016,17,0,70,8
2016,18,0,71,8
2016,19,0,72,8
2016,20,0,73,8
2016,21,0,74,8
2016,22,0,75,8
2016,23,0,76,8
2016,24,0,77,8
2016,25,0,78,8
2016,26,0,79,8
2016,27,1,80,9
2016,28,0,81,9
2016,29,0,82,9
2016,30,0,83,9
2016,31,0,84,9
2016,32,0,85,9
2016,33,1,86,10
2016,34,0,87,10
2016,35,0,88,10
2016,36,0,89,10
2016,37,0,90,10
2016,38,0,91,10
2016,39,0,92,10
2016,40,0,93,10
2016,41,1,94,11
2016,42,0,95,11
2016,43,0,96,11
2016,44,0,97,11
2016,45,1,98,12
2016,46,0,99,12
2016,47,0,100,12
2016,48,0,101,12
2016,49,0,102,12
2016,50,0,103,12
2016,51,0,104,12
2016,52,0,105,12
2017,1,0,106,12
2017,2,0,107,12
2017,3,0,108,12
2017,4,0,109,12
2017,5,0,110,12
2017,6,0,111,12
2017,7,0,112,12
2017,8,0,113,12
2017,9,0,114,12
2017,10,0,115,12
2017,11,0,116,12
2017,12,0,117,12
2017,13,0,118,12
2017,14,0,119,12
2017,15,0,120,12
