Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,1,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,1,6,3
2014,7,1,7,4
2014,8,0,8,4
2014,9,0,9,4
2014,10,5,10,9
2014,11,1,11,10
2014,12,0,12,10
2014,13,0,13,10
2014,14,1,14,11
2014,15,0,15,11
2014,16,1,16,12
2014,17,0,17,12
2014,18,1,18,13
2014,19,1,19,14
2014,20,1,20,15
2014,21,0,21,15
2014,22,0,22,15
2014,23,1,23,16
2014,24,1,24,17
2014,25,2,25,19
2014,26,1,26,20
2014,27,0,27,20
2014,28,0,28,20
2014,29,2,29,22
2014,30,2,30,24
2014,31,0,31,24
2014,32,0,32,24
2014,33,1,33,25
2014,34,2,34,27
2014,35,1,35,28
2014,36,0,36,28
2014,37,1,37,29
2014,38,3,38,32
2014,39,1,39,33
2014,40,3,40,36
2014,41,1,41,37
2014,42,0,42,37
2014,43,0,43,37
2014,44,3,44,40
2014,45,0,45,40
2014,46,3,46,43
2014,47,4,47,47
2014,48,1,48,48
2014,49,1,49,49
2014,50,0,50,49
2014,51,0,51,49
2014,52,1,52,50
2014,53,0,53,50
2016,1,3,54,53
2016,2,2,55,55
2016,3,2,56,57
2016,4,0,57,57
2016,5,0,58,57
2016,6,1,59,58
2016,7,4,60,62
2016,8,7,61,69
2016,9,1,62,70
2016,10,0,63,70
2016,11,4,64,74
2016,12,2,65,76
2016,13,4,66,80
2016,14,2,67,82
2016,15,5,68,87
2016,16,4,69,91
2016,17,1,70,92
2016,18,4,71,96
2016,19,1,72,97
2016,20,2,73,99
2016,21,5,74,104
2016,22,2,75,106
2016,23,0,76,106
2016,24,5,77,111
2016,25,5,78,116
2016,26,2,79,118
2016,27,2,80,120
2016,28,1,81,121
2016,29,0,82,121
2016,30,2,83,123
2016,31,2,84,125
2016,32,3,85,128
2016,33,4,86,132
2016,34,1,87,133
2016,35,4,88,137
2016,36,4,89,141
2016,37,3,90,144
2016,38,2,91,146
2016,39,3,92,149
2016,40,0,93,149
2016,41,2,94,151
2016,42,2,95,153
2016,43,4,96,157
2016,44,1,97,158
2016,45,7,98,165
2016,46,0,99,165
2016,47,3,100,168
2016,48,4,101,172
2016,49,3,102,175
2016,50,3,103,178
2016,51,3,104,181
2016,52,0,105,181
2017,1,3,106,184
2017,2,0,107,184
2017,3,1,108,185
2017,4,2,109,187
2017,5,3,110,190
2017,6,3,111,193
2017,7,3,112,196
2017,8,5,113,201
2017,9,5,114,206
2017,10,4,115,210
2017,11,3,116,213
2017,12,4,117,217
2017,13,8,118,225
2017,14,7,119,232
2017,15,1,120,233
