Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,7,1,7
2014,2,11,2,18
2014,3,0,3,18
2014,4,0,4,18
2014,5,0,5,18
2014,6,0,6,18
2014,7,0,7,18
2014,8,16,8,34
2014,9,0,9,34
2014,10,10,10,44
2014,11,17,11,61
2014,12,0,12,61
2014,13,0,13,61
2014,14,15,14,76
2014,15,16,15,92
2014,16,0,16,92
2014,17,21,17,113
2014,18,0,18,113
2014,19,0,19,113
2014,20,14,20,127
2014,21,0,21,127
2014,22,13,22,140
2014,23,0,23,140
2014,24,0,24,140
2014,25,0,25,140
2014,26,0,26,140
2014,27,0,27,140
2014,28,0,28,140
2014,29,0,29,140
2014,30,23,30,163
2014,31,22,31,185
2014,32,0,32,185
2014,33,0,33,185
2014,34,24,34,209
2014,35,0,35,209
2014,36,0,36,209
2014,37,0,37,209
2014,38,0,38,209
2014,39,0,39,209
2014,40,0,40,209
2014,41,22,41,231
2014,42,17,42,248
2014,43,0,43,248
2014,44,0,44,248
2014,45,0,45,248
2014,46,13,46,261
2014,47,0,47,261
2014,48,0,48,261
2014,49,17,49,278
2014,50,0,50,278
2014,51,24,51,302
2014,52,0,52,302
2014,53,8,53,310
2016,1,23,54,333
2016,2,32,55,365
2016,3,12,56,377
2016,4,28,57,405
2016,5,0,58,405
2016,6,25,59,430
2016,7,0,60,430
2016,8,0,61,430
2016,9,21,62,451
2016,10,21,63,472
2016,11,23,64,495
2016,12,12,65,507
2016,13,24,66,531
2016,14,34,67,565
2016,15,35,68,600
2016,16,28,69,628
2016,17,35,70,663
2016,18,24,71,687
2016,19,35,72,722
2016,20,32,73,754
2016,21,30,74,784
2016,22,24,75,808
2016,23,27,76,835
2016,24,32,77,867
2016,25,25,78,892
2016,26,28,79,920
2016,27,20,80,940
2016,28,0,81,940
2016,29,26,82,966
2016,30,0,83,966
2016,31,37,84,1003
2016,32,26,85,1029
2016,33,28,86,1057
2016,34,30,87,1087
2016,35,41,88,1128
2016,36,30,89,1158
2016,37,39,90,1197
2016,38,24,91,1221
2016,39,26,92,1247
2016,40,31,93,1278
2016,41,33,94,1311
2016,42,30,95,1341
2016,43,35,96,1376
2016,44,35,97,1411
2016,45,36,98,1447
2016,46,36,99,1483
2016,47,20,100,1503
2016,48,33,101,1536
2016,49,45,102,1581
2016,50,39,103,1620
2016,51,35,104,1655
2016,52,21,105,1676
2017,1,35,106,1711
2017,2,35,107,1746
2017,3,24,108,1770
2017,4,40,109,1810
2017,5,37,110,1847
2017,6,35,111,1882
2017,7,34,112,1916
2017,8,21,113,1937
2017,9,28,114,1965
2017,10,29,115,1994
2017,11,33,116,2027
2017,12,37,117,2064
2017,13,45,118,2109
2017,14,41,119,2150
2017,15,26,120,2176
