Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,1,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,0,30,2
2014,31,0,31,2
2014,32,0,32,2
2014,33,0,33,2
2014,34,0,34,2
2014,35,0,35,2
2014,36,0,36,2
2014,37,0,37,2
2014,38,0,38,2
2014,39,0,39,2
2014,40,0,40,2
2014,41,0,41,2
2014,42,0,42,2
2014,43,0,43,2
2014,44,0,44,2
2014,45,0,45,2
2014,46,0,46,2
2014,47,0,47,2
2014,48,0,48,2
2014,49,0,49,2
2014,50,0,50,2
2014,51,0,51,2
2014,52,0,52,2
2014,53,0,53,2
2016,1,0,54,2
2016,2,0,55,2
2016,3,0,56,2
2016,4,0,57,2
2016,5,0,58,2
2016,6,0,59,2
2016,7,0,60,2
2016,8,0,61,2
2016,9,0,62,2
2016,10,0,63,2
2016,11,0,64,2
2016,12,0,65,2
2016,13,0,66,2
2016,14,0,67,2
2016,15,0,68,2
2016,16,0,69,2
2016,17,0,70,2
2016,18,0,71,2
2016,19,0,72,2
2016,20,0,73,2
2016,21,0,74,2
2016,22,0,75,2
2016,23,0,76,2
2016,24,0,77,2
2016,25,0,78,2
2016,26,0,79,2
2016,27,0,80,2
2016,28,0,81,2
2016,29,0,82,2
2016,30,0,83,2
2016,31,0,84,2
2016,32,0,85,2
2016,33,0,86,2
2016,34,0,87,2
2016,35,0,88,2
2016,36,0,89,2
2016,37,0,90,2
2016,38,0,91,2
2016,39,0,92,2
2016,40,0,93,2
2016,41,0,94,2
2016,42,0,95,2
2016,43,0,96,2
2016,44,0,97,2
2016,45,0,98,2
2016,46,0,99,2
2016,47,0,100,2
2016,48,0,101,2
2016,49,0,102,2
2016,50,0,103,2
2016,51,0,104,2
2016,52,0,105,2
2017,1,0,106,2
2017,2,0,107,2
2017,3,0,108,2
2017,4,0,109,2
2017,5,0,110,2
2017,6,0,111,2
2017,7,0,112,2
2017,8,0,113,2
2017,9,0,114,2
2017,10,0,115,2
2017,11,0,116,2
2017,12,0,117,2
2017,13,0,118,2
2017,14,0,119,2
2017,15,0,120,2
