Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,2,2,5
2014,3,0,3,5
2014,4,2,4,7
2014,5,18,5,25
2014,6,2,6,27
2014,7,7,7,34
2014,8,7,8,41
2014,9,5,9,46
2014,10,4,10,50
2014,11,4,11,54
2014,12,1,12,55
2014,13,15,13,70
2014,14,6,14,76
2014,15,0,15,76
2014,16,2,16,78
2014,17,0,17,78
2014,18,7,18,85
2014,19,0,19,85
2014,20,14,20,99
2014,21,3,21,102
2014,22,11,22,113
2014,23,6,23,119
2014,24,10,24,129
2014,25,3,25,132
2014,26,7,26,139
2014,27,1,27,140
2014,28,6,28,146
2014,29,4,29,150
2014,30,16,30,166
2014,31,5,31,171
2014,32,3,32,174
2014,33,5,33,179
2014,34,4,34,183
2014,35,3,35,186
2014,36,5,36,191
2014,37,5,37,196
2014,38,1,38,197
2014,39,10,39,207
2014,40,5,40,212
2014,41,4,41,216
2014,42,3,42,219
2014,43,6,43,225
2014,44,2,44,227
2014,45,12,45,239
2014,46,3,46,242
2014,47,8,47,250
2014,48,2,48,252
2014,49,6,49,258
2014,50,5,50,263
2014,51,5,51,268
2014,52,1,52,269
2014,53,2,53,271
2016,1,3,54,274
2016,2,11,55,285
2016,3,2,56,287
2016,4,0,57,287
2016,5,15,58,302
2016,6,3,59,305
2016,7,6,60,311
2016,8,6,61,317
2016,9,6,62,323
2016,10,4,63,327
2016,11,8,64,335
2016,12,13,65,348
2016,13,7,66,355
2016,14,6,67,361
2016,15,0,68,361
2016,16,18,69,379
2016,17,39,70,418
2016,18,6,71,424
2016,19,14,72,438
2016,20,16,73,454
2016,21,4,74,458
2016,22,4,75,462
2016,23,15,76,477
2016,24,3,77,480
2016,25,2,78,482
2016,26,6,79,488
2016,27,0,80,488
2016,28,1,81,489
2016,29,17,82,506
2016,30,40,83,546
2016,31,8,84,554
2016,32,0,85,554
2016,33,0,86,554
2016,34,7,87,561
2016,35,15,88,576
2016,36,0,89,576
2016,37,6,90,582
2016,38,22,91,604
2016,39,0,92,604
2016,40,0,93,604
2016,41,0,94,604
2016,42,0,95,604
2016,43,0,96,604
2016,44,0,97,604
2016,45,0,98,604
2016,46,0,99,604
2016,47,0,100,604
2016,48,0,101,604
2016,49,0,102,604
2016,50,0,103,604
2016,51,0,104,604
2016,52,0,105,604
2017,1,0,106,604
2017,2,0,107,604
2017,3,0,108,604
2017,4,0,109,604
2017,5,0,110,604
2017,6,0,111,604
2017,7,0,112,604
2017,8,0,113,604
2017,9,0,114,604
2017,10,0,115,604
2017,11,0,116,604
2017,12,0,117,604
2017,13,0,118,604
2017,14,0,119,604
2017,15,0,120,604
