Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,1,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,1,20,2
2014,21,0,21,2
2014,22,1,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,1,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,1,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,1,32,6
2014,33,0,33,6
2014,34,1,34,7
2014,35,0,35,7
2014,36,2,36,9
2014,37,0,37,9
2014,38,0,38,9
2014,39,0,39,9
2014,40,0,40,9
2014,41,0,41,9
2014,42,0,42,9
2014,43,0,43,9
2014,44,1,44,10
2014,45,0,45,10
2014,46,0,46,10
2014,47,1,47,11
2014,48,0,48,11
2014,49,0,49,11
2014,50,0,50,11
2014,51,0,51,11
2014,52,0,52,11
2014,53,0,53,11
2016,1,1,54,12
2016,2,0,55,12
2016,3,0,56,12
2016,4,2,57,14
2016,5,0,58,14
2016,6,0,59,14
2016,7,1,60,15
2016,8,2,61,17
2016,9,2,62,19
2016,10,0,63,19
2016,11,0,64,19
2016,12,1,65,20
2016,13,0,66,20
2016,14,0,67,20
2016,15,2,68,22
2016,16,0,69,22
2016,17,0,70,22
2016,18,0,71,22
2016,19,1,72,23
2016,20,0,73,23
2016,21,0,74,23
2016,22,0,75,23
2016,23,0,76,23
2016,24,0,77,23
2016,25,0,78,23
2016,26,0,79,23
2016,27,0,80,23
2016,28,0,81,23
2016,29,1,82,24
2016,30,0,83,24
2016,31,0,84,24
2016,32,0,85,24
2016,33,0,86,24
2016,34,0,87,24
2016,35,0,88,24
2016,36,0,89,24
2016,37,0,90,24
2016,38,0,91,24
2016,39,0,92,24
2016,40,0,93,24
2016,41,0,94,24
2016,42,0,95,24
2016,43,0,96,24
2016,44,0,97,24
2016,45,0,98,24
2016,46,0,99,24
2016,47,0,100,24
2016,48,1,101,25
2016,49,0,102,25
2016,50,0,103,25
2016,51,0,104,25
2016,52,0,105,25
2017,1,1,106,26
2017,2,0,107,26
2017,3,0,108,26
2017,4,0,109,26
2017,5,0,110,26
2017,6,0,111,26
2017,7,1,112,27
2017,8,0,113,27
2017,9,0,114,27
2017,10,0,115,27
2017,11,0,116,27
2017,12,14,117,41
2017,13,2,118,43
2017,14,0,119,43
2017,15,0,120,43
