Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,2,3,2
2014,4,6,4,8
2014,5,0,5,8
2014,6,0,6,8
2014,7,0,7,8
2014,8,2,8,10
2014,9,0,9,10
2014,10,3,10,13
2014,11,0,11,13
2014,12,8,12,21
2014,13,6,13,27
2014,14,5,14,32
2014,15,11,15,43
2014,16,0,16,43
2014,17,0,17,43
2014,18,14,18,57
2014,19,3,19,60
2014,20,1,20,61
2014,21,6,21,67
2014,22,2,22,69
2014,23,3,23,72
2014,24,5,24,77
2014,25,2,25,79
2014,26,0,26,79
2014,27,1,27,80
2014,28,1,28,81
2014,29,0,29,81
2014,30,4,30,85
2014,31,3,31,88
2014,32,0,32,88
2014,33,2,33,90
2014,34,3,34,93
2014,35,3,35,96
2014,36,6,36,102
2014,37,2,37,104
2014,38,3,38,107
2014,39,4,39,111
2014,40,3,40,114
2014,41,2,41,116
2014,42,2,42,118
2014,43,1,43,119
2014,44,2,44,121
2014,45,1,45,122
2014,46,3,46,125
2014,47,2,47,127
2014,48,2,48,129
2014,49,6,49,135
2014,50,2,50,137
2014,51,2,51,139
2014,52,0,52,139
2014,53,2,53,141
2015,1,1,54,142
2015,2,0,55,142
2015,3,0,56,142
2015,4,0,57,142
2015,5,2,58,144
2015,6,3,59,147
2015,7,2,60,149
2015,8,7,61,156
2015,9,7,62,163
2015,10,7,63,170
2015,11,2,64,172
2015,12,0,65,172
2015,13,1,66,173
2015,14,3,67,176
2015,15,2,68,178
2015,16,4,69,182
2015,17,5,70,187
2015,18,7,71,194
2015,19,3,72,197
2015,20,6,73,203
2015,21,3,74,206
2015,22,3,75,209
2015,23,1,76,210
2015,24,0,77,210
2015,25,2,78,212
2015,26,1,79,213
2015,27,1,80,214
2015,28,1,81,215
2015,29,1,82,216
2015,30,3,83,219
2015,31,4,84,223
2015,32,6,85,229
2015,33,3,86,232
2015,34,8,87,240
2015,35,6,88,246
2015,36,3,89,249
2015,37,5,90,254
2015,38,8,91,262
2015,39,6,92,268
2015,40,3,93,271
2015,41,8,94,279
2015,42,8,95,287
2015,43,2,96,289
2015,44,7,97,296
2015,45,4,98,300
2015,46,3,99,303
2015,47,2,100,305
2015,48,2,101,307
2015,49,2,102,309
2015,50,4,103,313
2015,51,0,104,313
2015,52,3,105,316
2016,1,5,106,321
2016,2,7,107,328
2016,3,3,108,331
2016,4,4,109,335
2016,5,5,110,340
2016,6,3,111,343
2016,7,3,112,346
2016,8,6,113,352
2016,9,5,114,357
2016,10,5,115,362
2016,11,4,116,366
2016,12,4,117,370
2016,13,6,118,376
2016,14,5,119,381
2016,15,5,120,386
2016,16,3,121,389
2016,17,0,122,389
2016,18,10,123,399
2016,19,6,124,405
2016,20,3,125,408
2016,21,6,126,414
2016,22,0,127,414
2016,23,0,128,414
2016,24,3,129,417
2016,25,2,130,419
2016,26,3,131,422
2016,27,1,132,423
2016,28,6,133,429
2016,29,2,134,431
2016,30,2,135,433
2016,31,2,136,435
2016,32,2,137,437
2016,33,2,138,439
2016,34,2,139,441
2016,35,3,140,444
2016,36,11,141,455
2016,37,3,142,458
2016,38,13,143,471
2016,39,4,144,475
2016,40,3,145,478
2016,41,2,146,480
2016,42,6,147,486
2016,43,8,148,494
2016,44,2,149,496
2016,45,3,150,499
2016,46,3,151,502
2016,47,3,152,505
2016,48,9,153,514
2016,49,2,154,516
2016,50,6,155,522
2016,51,2,156,524
2016,52,1,157,525
2017,1,1,158,526
2017,2,4,159,530
2017,3,2,160,532
2017,4,4,161,536
2017,5,5,162,541
2017,6,2,163,543
2017,7,2,164,545
2017,8,2,165,547
2017,9,4,166,551
2017,10,5,167,556
2017,11,0,168,556
2017,12,1,169,557
2017,13,3,170,560
2017,14,3,171,563
2017,15,6,172,569
